# pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T velx vely velz mu a Re y+ tau_wall_x tau_wall_y tau_wall_z q_total q_cond q_diff
6.8478842822934927e-03 7.1974164067830336e-04 0.0000000000000000e+00 -1.0452846326765350e-01 9.9452189536827329e-01 0.0000000000000000e+00 2.4504948553149345e-07 2.6274892358456549e-08 -1.0000000000000000e+00 2.2586570267041670e+03 2.6223516676810648e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4737836189484324e+02 1.2959553613977597e-02 2.2800992656325787e-03 -3.9062788792502096e+02 -3.0509626974578943e+01 0.0000000000000000e+00 3.1163170017372537e+05 3.1163170017372537e+05 0.0000000000000000e+00
7.1867126016786822e-03 7.5535393207363816e-04 0.0000000000000000e+00 -1.0452846326765364e-01 9.9452189536827329e-01 0.0000000000000000e+00 2.5751577775851565e-07 2.6337652637670926e-08 -1.0000000000000000e+00 2.2549724204105964e+03 2.6180737568055071e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4737538650520418e+02 1.2969205996313951e-02 2.2563699824209122e-03 -3.8134212161383903e+02 -2.9766255469224049e+01 0.0000000000000000e+00 3.0410054077067511e+05 3.0410054077067511e+05 0.0000000000000000e+00
7.5259907465761167e-03 7.9101350203544026e-04 0.0000000000000000e+00 -1.0452846326765311e-01 9.9452189536827340e-01 0.0000000000000000e+00 2.7003087800668118e-07 2.6400466242541854e-08 -1.0000000000000000e+00 2.2496864047266504e+03 2.6119365735677264e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4737258813321620e+02 1.2969557838875417e-02 2.2329370819549619e-03 -3.7256204723793621e+02 -2.9066541123001969e+01 0.0000000000000000e+00 2.9700737910584401e+05 2.9700737910584401e+05 0.0000000000000000e+00
7.8657193141701831e-03 8.2672041333031829e-04 0.0000000000000000e+00 -1.0452846326765387e-01 9.9452189536827329e-01 0.0000000000000000e+00 2.8259493678054224e-07 2.6463333204855779e-08 -1.0000000000000000e+00 2.2452484360558856e+03 2.6067839920082859e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4737002679827867e+02 1.2974700304995066e-02 2.2112072401574787e-03 -3.6433253405902366e+02 -2.8405713407049298e+01 0.0000000000000000e+00 2.9048526131653704e+05 2.9048526131653704e+05 0.0000000000000000e+00
8.2058989024381308e-03 8.6247472880821377e-04 0.0000000000000000e+00 -1.0452846326765312e-01 9.9452189536827340e-01 0.0000000000000000e+00 2.9520810501217686e-07 2.6526253556781646e-08 -1.0000000000000000e+00 2.2417663086647153e+03 2.6027411636977665e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4736768077996328e+02 1.2985291665922553e-02 2.1914975428374245e-03 -3.5672560406322731e+02 -2.7792214919332672e+01 0.0000000000000000e+00 2.8448098636876483e+05 2.8448098636876483e+05 0.0000000000000000e+00
8.5465301101510932e-03 8.9827651140250838e-04 0.0000000000000000e+00 -1.0452846326765385e-01 9.9452189536827329e-01 0.0000000000000000e+00 3.0787053406232198e-07 2.6589227330469693e-08 -1.0000000000000000e+00 2.2385514687799441e+03 2.5990086622008666e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4736548685037218e+02 1.2997370909180144e-02 2.1730715087061045e-03 -3.4959532140994435e+02 -2.7219879180789107e+01 0.0000000000000000e+00 2.7884813570226775e+05 2.7884813570226775e+05 0.0000000000000000e+00
8.8876135368750712e-03 9.3412582413012857e-04 0.0000000000000000e+00 -1.0452846326765332e-01 9.9452189536827329e-01 0.0000000000000000e+00 3.2058237572152618e-07 2.6652254557873499e-08 -1.0000000000000000e+00 2.2367506388743927e+03 2.5969178581300406e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4736350488278680e+02 1.3017624984514500e-02 2.1568506626213034e-03 -3.4304643269694878e+02 -2.6688169566441914e+01 0.0000000000000000e+00 2.7371894908539962e+05 2.7371894908539962e+05 0.0000000000000000e+00
9.2291497829720230e-03 9.7002273009165843e-04 0.0000000000000000e+00 -1.0452846326765339e-01 9.9452189536827340e-01 0.0000000000000000e+00 3.3334378221148221e-07 2.6715335271626022e-08 -1.0000000000000000e+00 2.2345154012505382e+03 2.5943226969164179e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4736164673522262e+02 1.3035325837478906e-02 2.1419084103516568e-03 -3.3705228732860417e+02 -2.6203104190096191e+01 0.0000000000000000e+00 2.6889175767274416e+05 2.6889175767274416e+05 0.0000000000000000e+00
9.5711394496010328e-03 1.0059672924714641e-03 0.0000000000000000e+00 -1.0452846326765379e-01 9.9452189536827329e-01 0.0000000000000000e+00 3.4615490618627739e-07 2.6778469503893135e-08 -1.0000000000000000e+00 2.2306648163367222e+03 2.5898520811253049e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4735985040842974e+02 1.3043547781046301e-02 2.1267940908084367e-03 -3.3131914566187476e+02 -2.5743898365161307e+01 0.0000000000000000e+00 2.6422559789808787e+05 2.6422559789808787e+05 0.0000000000000000e+00
9.9135831387192341e-03 1.0419595745377900e-03 0.0000000000000000e+00 -1.0452846326765315e-01 9.9452189536827340e-01 0.0000000000000000e+00 3.5901590073298854e-07 2.6841657286124682e-08 -1.0000000000000000e+00 2.2269440254738574e+03 2.5855321591500044e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4735816086124390e+02 1.3052454263709540e-02 2.1122252293299627e-03 -3.2580342597786341e+02 -2.5298930513477664e+01 0.0000000000000000e+00 2.5981987997924787e+05 2.5981987997924787e+05 0.0000000000000000e+00
