x [m], y [m], p [Pa], q_wall [W/m2]
0.024662865325808525,0.002592171309515834,5363.9929339836035,28822.141020072293
0.024662865325808525,0.002592171309515834,5289.21459613192,27946.41499099287
0.0249946266412735,0.002627040958032012,5289.214596131919,27976.502802433963
0.025326387956738472,0.0026619103737175465,5289.214596131918,27978.080356665727
0.025658149272203445,0.002696779789403081,5289.214596131919,27951.14765368817
0.025658149272203445,0.002696779789403081,5219.989929199671,27126.16923769257
0.02598991058766842,0.002731649437919259,5219.989929199674,27154.03103546241
0.026321671903133392,0.0027665188536047935,5219.98992919967,27155.420074135545
0.026653433218598366,0.0028013885021209717,5219.98992919967,27130.336353711973
0.026653433218598366,0.0028013885021209717,5155.449663322698,26351.61534795056
0.02698519453406334,0.002836257917806506,5155.449663322701,26377.474562828895
0.027316955849528313,0.0028711275663226843,5155.449663322698,26378.704213280434
