Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Y+
1.367945649,0.044793054
1.36814416,0.044796138
1.368341247,0.044799098
1.368539758,0.044802173
1.368739693,0.044805108
1.368938204,0.044808074
1.369136715,0.044810979
1.369335165,0.044813817
1.369533676,0.044816628
1.369732247,0.044819379
1.369930758,0.04482208
1.370129269,0.044824711
1.370329082,0.044827339
1.370527593,0.044829798
1.370724802,0.044832266
1.370923313,0.04483464
1.371121824,0.044836924
1.371321935,0.044839174
1.371520446,0.044841242
1.371717356,0.04484329
1.483081718,0.044431862
1.483280229,0.044430729
1.482883461,0.044433111
1.483478994,0.044429679
1.482684951,0.044434424
1.483677505,0.044428753
1.483876016,0.044427921
1.48248644,0.044435794
1.484075636,0.044427189
1.482286311,0.044437238
1.473554327,0.04454128
1.473752838,0.044539229
1.4820878,0.044438717
1.473354938,0.044543369
1.473950471,0.044537033
1.481890907,0.044440232
1.476531113,0.044504797
1.476332602,0.044507493
1.474148982,0.044534827
1.473156427,0.044545351
1.481692396,0.044441861
1.463627904,0.044521142
1.463826415,0.044523327
1.479508776,0.04446476
1.479310265,0.044467236
1.476134091,0.044510164
1.476729623,0.044502075
1.477920689,0.044485612
1.4781192,0.044482897
1.474347493,0.044532564
1.472957916,0.044547286
1.481493885,0.044443603
1.463429393,0.044518957
1.464026937,0.044525574
1.479707287,0.044462363
1.479111754,0.044469737
1.47593558,0.044512803
1.476928134,0.044499352
1.477722178,0.044488353
1.478317711,0.044480202
1.474943025,0.044525455
1.475141536,0.044523016
1.474548245,0.044530183
1.472758921,0.044549129
1.481293584,0.044445396
1.470772367,0.044562688
1.470972807,0.044561869
1.464225448,0.04452768
1.46323153,0.044516749
1.479905798,0.044460014
1.478913243,0.044472297
1.475737069,0.044515422
1.478516222,0.04447753
1.477126645,0.0444966
1.477523667,0.044491101
1.474746756,0.04452794
1.475340047,0.044520529
1.47256041,0.04455093
1.481095073,0.044447292
1.469186209,0.044564608
1.46938472,0.044564861
1.470573856,0.044563461
1.471171318,0.044560842
1.467399611,0.044557515
1.4672011,0.044556175
1.465414502,0.044540491
1.465613013,0.044542497
1.464421948,0.044529925
1.463033019,0.044514612
1.480501331,0.044453336
1.480699841,0.044451243
1.480104309,0.044457722
1.478714732,0.044474897
1.475538558,0.044517983
1.477325156,0.044493852
1.472362384,0.044552618
1.480898352,0.044449213
1.468987698,0.044564233
1.469583231,0.044564989
1.470377275,0.044564013
1.471369829,0.044559749
1.467598122,0.044558731
1.467002589,0.044554756
1.465218019,0.044538393
1.465811524,0.044544443
1.464620458,0.044532094
1.46283386,0.044512443
1.48030282,0.044455489
1.472163873,0.044554252
1.468193655,0.044561773
1.468392166,0.044562548
1.471965362,0.04455582
1.468789187,0.04456376
1.469781742,0.044564974
1.470178764,0.044564483
1.471566492,0.044558586
1.471765003,0.044557205
1.467796633,0.044559859
1.466804078,0.044553235
1.465019508,0.044536388
1.466010035,0.044546345
1.464818969,0.044534224
1.462635349,0.044510317
1.453305337,0.0445022
1.453106826,0.044504278
1.450923206,0.044528385
1.451121717,0.044526109
1.45846662,0.044477684
1.458665131,0.044478399
1.467995144,0.044560853
1.468590676,0.044563198
1.469980253,0.044564803
1.466605567,0.04455162
1.466208546,0.044548182
1.462436839,0.044508192
1.455091935,0.044485304
1.455290446,0.044483661
1.453505629,0.044500105
1.452908315,0.044506386
1.450722387,0.044530633
1.451320228,0.044523849
1.45826811,0.044477072
1.458863642,0.044479226
1.466407057,0.044549935
1.462237613,0.044506156
1.454893424,0.044486987
1.455488957,0.044482177
1.45370414,0.044498106
1.452710222,0.044508528
1.450523876,0.044533
1.451517794,0.044521646
1.458069599,0.044476596
1.459062153,0.044480167
1.460251151,0.044487882
1.460451729,0.044489377
1.462039102,0.044504076
1.454696802,0.044488707
1.455687468,0.044480843
1.45390087,0.044496118
1.452511711,0.044510666
1.450327673,0.04453523
1.451716305,0.0445194
1.456680022,0.044476738
1.456878533,0.044476333
1.459260664,0.044481207
1.457871088,0.044476222
1.46005264,0.044486269
1.46065024,0.044491081
1.461841306,0.044502109
1.454498292,0.044490461
1.455885979,0.04447971
1.454099381,0.044494189
1.452312782,0.044512825
1.451915761,0.044517197
1.450129163,0.04453754
1.456481511,0.044477269
1.457077044,0.044476052
1.459459175,0.044482354
1.457672577,0.044475997
1.459856197,0.044484946
1.460848751,0.044492794
1.461642795,0.044500158
1.45608449,0.044478736
1.454297892,0.044492285
1.452114272,0.044515005
1.449930652,0.044539863
1.457275555,0.044475913
1.456283001,0.044477926
1.459657686,0.044483585
1.457474066,0.044475891
1.461045184,0.044494467
1.461444284,0.04449819
1.449732141,0.044542161
1.461243695,0.044496393
1.448739586,0.044553535
1.448938097,0.044551311
1.44953363,0.044544478
1.449136608,0.044549049
1.448541075,0.044555723
1.449335119,0.044546774
1.448342564,0.044557866
1.448144054,0.044559969
1.447945543,0.044562001
1.447747032,0.044563976
1.447548521,0.044565874
1.44735001,0.044567694
1.447151499,0.044569435
1.446952988,0.044571097
1.446754477,0.044572666
1.446555966,0.044574149
1.446357455,0.044575565
1.446158945,0.044576887
1.445960434,0.044578137
1.445761923,0.044579318
1.445563412,0.04458043
1.445364901,0.044581459
1.44516639,0.044582438
1.444967879,0.044583357
1.444769368,0.044584207
1.444570857,0.044585028
1.444372346,0.044585781
1.444175586,0.044586515
1.443977075,0.044587166
1.443776814,0.044587824
1.443578303,0.044588428
1.443379792,0.044588997
1.443182832,0.044589546
1.442984321,0.044590027
1.442784259,0.044590505
1.442585748,0.044590925
1.442387237,0.044591322
1.442188914,0.044591679
1.441990403,0.044591991
1.441791705,0.044592269
1.441593194,0.044592499
1.441394683,0.044592705
1.441194997,0.04459287
1.440996486,0.04459303
1.44079915,0.044593162
1.440600639,0.044593302
1.440402128,0.044593411
1.440201079,0.044593495
1.440002568,0.044593559
1.439806596,0.044593591
1.439608085,0.044593586
1.439409574,0.044593563
1.439211063,0.044593514
1.439012552,0.044593461
1.438814041,0.044593367
1.43861553,0.04459326
1.438417019,0.044593129
1.438218508,0.044592994
1.438019998,0.04459284
1.437821487,0.044592674
1.437622976,0.044592498
1.437424465,0.044592316
1.437225954,0.044592129
1.437027443,0.044591954
1.436828932,0.044591751
1.436630421,0.044591566
1.43643191,0.044591391
1.436233399,0.044591206
1.436034889,0.044591037
1.435836378,0.04459086
1.435637867,0.044590707
1.435439356,0.044590534
1.435240845,0.044590377
1.435042334,0.044590203
1.434843823,0.044590034
1.434645312,0.044589857
1.434446801,0.044589663
1.43424829,0.044589448
1.434049779,0.044589204
1.433851269,0.044588944
1.433654369,0.04458861
1.433455859,0.044588258
1.433255736,0.044587818
1.433057225,0.044587326
1.432858714,0.044586776
1.432661524,0.044586109
1.432463013,0.044585386
1.432263181,0.044584511
