x (mm),P (Pa)
2352.1,67292.7
2353,67254
2353.7,64573
2354.3,63270.6
2355,62335.7
2355.7,62306.3
2356.4,62725.2
2357,63503.8
2357.7,64528.7
2358.4,65761.5
2359,67158
2359.7,68706
2360.4,70390.2
2361.1,72205.8
2361.7,74145.6
2362.4,76205.3
2363.1,78378.6
2363.7,80659.1
2364.4,83038.1
2365.1,85505.6
2365.8,88051.3
2366.4,90672.3
2367.1,93363.3
2367.8,96117.4
2368.4,98935.3
2369.1,101816
2369.8,104759
2370.5,107765
2370.5,107765
2371.1,110834
2371.8,113963
2372.5,117151
2373.1,120396
2373.8,123698
2374.5,127056
2375.2,130469
2375.8,133936
2376.5,137457
2377.2,141033
2377.8,144664
2378.5,148351
2379.2,152090
2379.9,155878
2380.5,159711
2381.2,163582
2381.9,167490
2382.5,171429
2383.2,175394
2383.9,179375
2384.6,183362
2385.2,187344
2385.9,191312
2386.6,195262
2387.2,199193
2387.9,203106
2388.6,206997
2389.3,210858
2389.9,214681
2390.6,218460
2391.3,222196
2391.9,225886
2392.6,229523
2393.3,233086
2394,236561
2394.6,239949
2395.3,243271
2396,246555
2396.6,249816
2397.3,253048
2398,256233
2398.7,259347
2398.7,259347
2399.3,262363
2400,265260
2400.7,268045
2401.3,270752
2402,273430
2402.7,276114
2403.4,278793
2404,281383
2404.7,283720
2405.4,285566
2406,286656
2406.7,286698
2407.4,285533
2408.1,283365
2408.7,280656
2409.4,277905
2410.1,275494
2410.7,273596
2411.4,272179
2412.1,271077
2412.8,270081
2413.4,269035
2414.1,267903
2414.8,266756
2415.4,265720
2416.1,264900
2416.8,264325
2417.5,263938
2418.1,263611
2418.8,263197
2419.5,262582
2420.1,261723
2420.8,260654
2421.5,259463
2422.2,258257
2422.8,257127
2423.5,256129
2424.2,255279
2424.8,254556
2425.5,253920
2426.2,253326
2426.9,252742
2427.5,252152
2428.2,251556
2428.9,250963
2429.5,250386
2430.2,249830
2430.9,249294
2431.6,248768
2432.2,248241
2432.9,247699
2433.6,247135
2434.2,246554
2434.9,245975
2435.6,245418
2436.3,244908
2436.9,244462
2437.6,244091
2438.3,243795
2438.9,243564
2439.6,243385
2440.3,243237
2441,243102
2441.6,242969
2442.3,242827
2443,242677
2443.6,242520
2444.3,242361
2445,242206
2445.7,242059
2446.3,241927
2447,241814
2447.7,241730
2448.3,241683
2449,241680
2449.7,241716
2450.4,241777
2451,241845
2451.7,241897
2452.4,241910
2453,241866
2453.7,241757
2454.4,241590
2455.1,241383
2455.7,241165
2456.4,240963
2457.1,240806
2457.7,240709
2458.4,240682
2459.1,240719
2459.8,240806
2460.4,240921
2461.1,241039
2461.8,241138
2462.4,241203
2463.1,241228
2463.8,241213
2464.5,241165
2465.1,241097
2465.8,241019
2466.5,240935
2467.1,240855
2467.8,240787
2468.5,240739
2469.2,240718
2469.8,240729
2470.5,240776
2471.2,240850
2471.8,240940
2472.5,241026
2473.2,241095
2473.9,241140
2474.5,241161
2475.2,241162
2475.9,241145
2476.5,241105
2477.2,241037
2477.9,240932
2478.6,240786
2479.2,240602
2479.9,240390
2480.6,240172
2481.2,239976
2481.9,239829
2482.6,239751
2483.3,239750
2483.9,239822
2484.6,239952
2485.3,240113
2486,240277
2486.6,240421
2487.3,240529
2488,240593
2488.6,240608
2489.3,240575
2490,240503
2490.7,240410
2491.3,240320
2492,240260
2492.7,240248
2493.3,240295
2494,240396
2494.7,240537
2495.3,240690
2496,240820
2496.7,240902
2497.4,240941
2498,240964
2498.6,240921
2499.2,240752
2499.6,240573
2500,240597
2500.2,240924
2500.5,241224
2500.7,238768
2500.8,222798
2501,185245
2501.2,139869
2501.3,103485
2501.5,75014.6
2501.7,53309.3
2501.9,37102.9
2502.1,25216.5
2502.4,16861.2
2502.6,11119.9
2502.8,7279.47
2502.8,7279.47
2502.9,4719.02
2503.1,3049.08
2503.3,1962.44
2503.5,1268.33
2503.6,820.268
2503.7,537.219
2503.8,353.605
2503.9,237.298
2504,171.374
2504.1,157.253
2504.1,188.284
2504.1,226.232
2504.1,226.232
2504.1,248.993
2504.1,263.51
2504.1,271.337
2504.1,277.195
2504.1,281.398
2504.1,284.82
2504.1,286.97
2504.1,288.042
2504.1,288.578
2504.1,288.965
2504.1,289.334
2504.1,289.749
2504.1,290.202
2504.1,290.689
2504.1,291.188
2504.1,291.691
2504.1,292.185
2504.1,577.608
2504.1,576.786
2504.1,574.632
2504.1,571.607
2504.1,567.585
2504.1,562.514
2504.1,556.477
2504.1,549.511
2504.1,541.713
2504.1,533.149
2504.1,523.902
2504.1,514.042
2504.1,503.641
2504.1,492.784
2504.1,481.565
2504.1,470.07
2504.1,458.373
2504.1,446.535
2504.1,434.625
2504.1,422.712
2504.1,410.86
2504.1,399.12
2504.1,387.541
2504.1,376.165
2504.1,365.033
2504.1,354.176
2504.1,343.627
2504.1,333.416
2504.1,323.577
2504.1,314.146
2504.1,305.162
2504.1,296.664
2504.1,288.688
2504.1,281.264
2504.1,274.413
2504.1,268.145
2504.1,262.475
2504.1,257.421
2504.1,253.019
2504.1,249.31
2504.1,246.335
2504.1,244.174
2504.1,242.505
2504.1,241.138
2504.1,239.996
2504.1,239.094
2504.1,238.437
2504.1,238.02
2504.1,237.837
2504.1,237.878
2504.1,238.136
2504.1,238.603
2504.1,239.271
2504.1,240.134
2504.1,241.186
2504.1,242.421
2504.1,243.836
2504.1,245.425
2504.1,247.185
2504.1,249.109
2504.1,251.193
2504.1,253.431
2504.1,255.814
2504.1,258.331
2504.1,260.969
2504.1,263.707
2504.1,266.519
2504.1,269.352
2504.1,272.092
2504.1,274.452
2504.1,276.41
2504.1,277.968
2504.1,279.212
2504.1,280.185
2504.1,280.992
2504.1,281.632
2504.1,282.213
2504.1,282.787
2504.1,283.315
2504.1,283.839
2504.1,284.337
2504.1,284.824
2504.1,285.29
2504.1,285.743
2504.1,286.177
2504.1,286.595
2504.1,286.997
2504.1,287.384
2504.1,287.756
2504.1,288.113
2504.1,288.455
2504.1,288.785
2504.1,289.1
2504.1,289.404
2504.1,289.695
2504.1,289.975
2504.1,290.244
2504.1,290.502
2504.1,290.75
2504.1,290.989
2504.1,291.219
2504.1,291.441
2504.1,291.654
2504.1,291.86
2504.1,292.059
2504.1,292.252
2504.1,292.439
2504.1,292.619
2504.1,292.795
2504.1,292.965
2504.1,293.131
2504.1,293.293
2504.1,293.45
2504.1,293.604
2504.1,293.755
2504.1,293.902
2504.1,294.047
2504.1,294.188
2504.1,294.327
2504.1,294.464
2504.1,294.598
2504.1,294.73
2504.1,294.859
2504.1,294.986
2504.1,295.112
2504.1,295.235
2504.1,295.355
2504.1,295.474
2504.1,295.59
2504.1,295.704
2504.1,295.816
2504.1,295.925
2504.1,296.032
2504.1,296.136
2504.1,296.237
2504.1,296.335
2504.1,296.429
2504.1,296.519
2504.1,296.606
2504.1,296.688
2504.1,296.764
2504.1,296.835
2504.1,296.899
2504.1,296.956
2504.1,297.004
2504.1,297.044
2504.1,297.072
2504.1,297.089
2504.1,297.093
2504.1,297.083
2504.1,297.057
2504.1,297.015
2504.1,296.953
2504.1,296.872
2504.1,296.77
2504.1,296.646
2504.1,296.498
2504.1,296.325
2504.1,296.126
2504.1,295.901
2504.1,295.649
2504.1,295.37
2504.1,295.063
2504.1,294.728
2504.1,294.366
2504.1,293.978
2504.1,293.564
2504.1,293.125
2504.1,292.665
2504.1,292.185
