x (mm),Q (W/m2)
1884,432293
1885.8,432104
1887.7,431931
1889.5,431772
1891.3,431623
1893.2,431482
1895,431349
1896.8,431225
1898.7,431108
1900.5,430997
1902.3,430892
1904.2,430793
1906,430699
1907.8,430609
1909.7,430523
1911.5,430441
1913.3,430359
1915.2,430283
1917,430224
1918.8,430168
1920.7,430046
1922.5,429960
1924.3,429989
1926.2,430016
1928,429984
1929.9,429906
1931.7,429825
1933.5,429765
1935.4,429724
1937.2,429694
1939,429668
1940.9,429643
1942.7,429617
1944.5,429591
1946.4,429564
1948.2,429536
1950,429507
1951.9,429477
1953.7,429448
1955.5,429417
1957.4,429386
1959.2,429347
1961,429311
1962.9,429227
1964.7,428945
1966.5,428399
1968.3,426917
1970,424964
1971.7,423123
1973.1,421739
1974.5,421111
1975.6,421009
1976.8,421459
1977.7,422021
1978.7,422407
1979.4,422516
1980.2,422659
1980.8,422965
1981.5,423532
1982,424063
1982.5,424839
1982.9,425615
1983.4,425952
1983.8,426100
1984.2,426922
1984.7,428050
1985.1,428626
1985.5,429018
1986,429298
1986.4,429440
1986.8,429466
1987.3,429429
1987.7,429369
1988.1,429304
1988.6,429237
1989,429163
1989.4,429081
1989.9,428993
1990.3,428904
1990.7,428819
1991.2,428740
1991.6,428670
1992,428607
1992.5,428552
1992.9,428503
1993.3,428459
1993.8,428421
1994.2,428388
1994.6,428360
1995.1,428337
1995.5,428318
1995.9,428305
1996.4,428297
1996.8,428295
1997.2,428297
1997.7,428304
1998.1,428315
1998.5,428329
1999,428346
1999.4,428366
1999.8,428389
2000.3,428413
2000.7,428439
2001.1,428466
2001.6,428492
2002,428518
2002.4,428543
2002.9,428567
2003.3,428590
2003.8,428613
2004.2,428634
2004.6,428654
2005.1,428672
2005.5,428689
2005.9,428702
2006.4,428714
2006.8,428723
2007.2,428731
2007.7,428737
2008.1,428744
2008.5,428750
2009,428758
2009.4,428767
2009.8,428778
2010.3,428790
2010.7,428803
2011.1,428816
2011.6,428828
2012,428840
2012.4,428850
2012.9,428858
2013.3,428864
2013.7,428866
2014.2,428866
2014.6,428863
2015,428858
2015.5,428849
2015.9,428838
2016.3,428825
2016.8,428810
2017.2,428792
2017.6,428772
2018.1,428751
2018.5,428727
2018.9,428702
2019.4,428675
2019.8,428646
2020.2,428616
2020.7,428585
2021.1,428552
2021.5,428519
2022,428484
2022.4,428448
2022.8,428412
2023.3,428375
2023.7,428338
2024.1,428300
2024.6,428263
2025,428225
2025.4,428187
2025.9,428148
2026.3,428110
2026.7,428072
2027.2,428033
2027.6,427995
2028,427957
2028.5,427919
2028.9,427882
2029.3,427845
2029.8,427809
2030.2,427773
2030.6,427739
2031.1,427705
2031.5,427672
2032,427639
2032.4,427608
2032.8,427579
2033.3,427550
2033.7,427522
2034.1,427496
2034.6,427471
2035,427447
2035.4,427424
2035.9,427402
2036.3,427382
2036.7,427362
2037.2,427343
2037.6,427325
2038,427308
2038,427308
2038.5,427291
2038.9,427276
2039.3,427262
2039.8,427248
2040.2,427235
2040.6,427224
2041.1,427213
2041.5,427203
2041.9,427194
2042.4,427185
2042.8,427178
2043.2,427171
2043.7,427166
2044.1,427161
2044.5,427157
2045,427154
2045.4,427152
2045.8,427151
2046.3,427151
2046.7,427152
2047.1,427153
2047.6,427156
2048,427160
2048.4,427165
2048.9,427171
2049.3,427177
2049.7,427185
2050.2,427193
2050.6,427201
2051,427210
2051.5,427219
2051.9,427229
2052.3,427239
2052.8,427249
2053.2,427259
2053.6,427269
2054.1,427279
2054.5,427288
2054.9,427298
2055.4,427308
2055.8,427317
2056.2,427326
2056.7,427335
2057.1,427343
2057.5,427352
2058,427360
2058.4,427367
2058.8,427375
2059.3,427382
2059.7,427389
2060.2,427396
2060.6,427402
2061,427408
2061.5,427414
2061.9,427420
2062.3,427425
2062.8,427431
2063.2,427436
2063.6,427441
2064.1,427446
2064.5,427450
2064.9,427455
2065.4,427459
2065.8,427463
2066.2,427468
2066.7,427471
2067.1,427475
2067.5,427479
2068,427482
2068.4,427485
2068.8,427488
2069.3,427490
2069.7,427492
2070.1,427494
2070.6,427495
2071,427496
2071.4,427496
2071.9,427496
2072.3,427496
2072.7,427494
2073.2,427493
2073.6,427491
2074,427489
2074.5,427486
2074.9,427482
2075.3,427479
2075.8,427475
2076.2,427471
2076.6,427466
2077.1,427461
2077.5,427456
2077.9,427451
2078.4,427446
2078.8,427441
2079.2,427435
2079.7,427430
2080.1,427424
2080.5,427419
2081,427413
2081.4,427408
2081.8,427402
2082.3,427397
2082.7,427392
2083.1,427387
2083.6,427382
2084,427376
2084.4,427371
2084.9,427366
2085.3,427361
2085.7,427356
2086.2,427350
2086.6,427345
2087,427340
2087.5,427334
2087.9,427328
2088.4,427323
2088.8,427317
2089.2,427311
2089.7,427305
2090.1,427299
