x(mm),Q (W/m2)
712.022,300349
712.748,300301
713.474,300253
714.199,300205
714.924,300158
715.649,300110
716.373,300062
717.097,300014
717.821,299967
718.545,299919
719.268,299872
719.991,299824
720.713,299777
721.436,299730
722.158,299683
722.88,299636
723.601,299589
724.322,299542
725.043,299496
725.764,299449
726.484,299403
727.204,299356
727.924,299309
728.643,299263
729.362,299217
730.081,299170
730.8,299124
731.518,299078
732.236,299032
732.954,298986
733.671,298940
734.389,298894
735.106,298849
735.822,298803
736.538,298757
737.254,298712
737.97,298666
738.686,298621
739.401,298575
740.116,298530
740.83,298485
741.544,298439
742.258,298394
742.972,298350
743.685,298305
744.399,298260
745.112,298215
745.824,298171
746.536,298126
747.248,298081
747.96,298037
748.671,297992
749.383,297948
750.093,297903
750.804,297859
751.514,297815
752.224,297771
752.934,297727
753.643,297683
754.353,297639
755.061,297596
755.77,297552
756.478,297509
757.186,297465
757.894,297421
758.601,297378
759.309,297334
760.015,297291
760.722,297248
761.428,297204
762.134,297161
762.84,297118
763.546,297075
764.251,297032
764.956,296989
765.66,296946
766.365,296904
767.069,296861
767.772,296818
768.476,296776
769.179,296733
769.882,296691
770.585,296648
771.287,296606
771.989,296564
772.691,296521
773.392,296479
774.093,296437
774.794,296395
775.495,296353
776.195,296312
776.896,296270
777.595,296228
778.295,296187
778.994,296145
779.693,296104
780.392,296062
781.09,296021
781.788,295979
782.486,295938
783.184,295896
783.881,295855
784.578,295814
785.275,295773
785.971,295732
786.667,295691
787.363,295650
788.059,295610
788.754,295569
789.449,295528
790.144,295488
790.839,295447
791.533,295407
792.227,295366
792.92,295326
793.614,295285
794.307,295245
795,295205
795.692,295164
796.384,295124
797.076,295084
797.768,295044
798.46,295004
799.151,294965
799.842,294925
800.532,294885
801.223,294845
801.913,294806
802.602,294766
803.292,294727
803.981,294687
804.67,294647
805.359,294608
806.047,294568
806.735,294529
807.423,294490
808.111,294451
808.798,294412
809.485,294373
810.172,294334
810.858,294295
811.544,294256
812.23,294217
812.916,294179
813.601,294140
814.286,294101
814.971,294063
815.656,294024
816.34,293985
817.024,293947
817.708,293908
818.391,293870
819.074,293832
819.757,293794
820.44,293755
821.122,293717
821.804,293680
822.486,293642
823.167,293604
823.849,293566
824.53,293528
825.21,293491
825.891,293453
826.571,293415
827.251,293378
827.93,293340
828.61,293302
829.289,293265
829.968,293227
830.646,293190
831.324,293152
832.002,293115
832.68,293078
833.357,293041
834.035,293004
834.712,292967
835.388,292930
836.065,292893
836.741,292856
837.416,292819
838.092,292783
838.767,292746
839.442,292709
840.117,292672
840.791,292635
841.466,292599
842.139,292562
842.813,292526
843.486,292489
844.16,292453
844.832,292417
845.505,292380
846.177,292344
846.849,292308
847.521,292272
848.192,292236
848.864,292201
849.535,292165
850.205,292129
850.876,292093
851.546,292057
852.216,292021
852.885,291985
853.555,291949
854.224,291914
854.892,291878
855.561,291842
856.229,291807
856.897,291771
857.565,291736
858.232,291701
858.899,291666
859.566,291631
860.23,291596
860.9,291560
861.57,291525
862.23,291490
862.9,291455
863.56,291420
864.23,291385
864.89,291350
865.56,291315
866.22,291280
866.88,291246
867.55,291211
868.21,291176
868.88,291142
869.54,291107
870.2,291073
870.86,291038
871.53,291004
872.19,290970
872.85,290936
873.51,290901
874.17,290867
874.83,290833
875.49,290799
876.15,290765
876.81,290731
877.47,290697
878.13,290663
878.79,290629
879.45,290595
880.11,290561
880.77,290527
881.42,290493
882.08,290459
882.74,290426
883.4,290392
884.05,290359
884.71,290326
885.37,290292
886.02,290259
886.68,290226
887.34,290192
887.99,290159
888.65,290126
889.3,290092
889.96,290059
890.61,290026
891.27,289993
891.92,289959
892.57,289926
893.23,289893
893.88,289860
894.53,289827
895.18,289795
895.84,289762
896.49,289729
897.14,289697
897.79,289664
898.44,289632
899.1,289599
899.75,289567
900.4,289534
901.05,289502
901.7,289469
902.35,289437
903,289404
903.65,289372
904.29,289340
