x(mm),Q (W/m2)
872.85,288154
873.51,288120
874.17,288086
874.83,288052
875.49,288018
876.15,287984
876.81,287951
877.47,287917
878.13,287883
878.79,287850
879.45,287816
880.11,287783
880.77,287750
881.42,287717
882.08,287683
882.74,287650
883.4,287617
884.05,287584
884.71,287551
885.37,287518
886.02,287485
886.68,287452
887.34,287419
887.99,287386
888.65,287353
889.3,287320
889.96,287287
890.61,287254
891.27,287221
891.92,287189
892.57,287156
893.23,287124
893.88,287091
894.53,287059
895.18,287027
895.84,286994
896.49,286962
897.14,286930
897.79,286898
898.44,286866
899.1,286833
899.75,286801
900.4,286769
901.05,286737
901.7,286705
902.35,286673
903,286640
903.65,286608
904.29,286577
904.94,286545
905.59,286513
906.24,286481
906.89,286450
907.53,286418
908.18,286387
908.83,286355
909.48,286324
910.12,286292
910.77,286261
911.42,286230
912.06,286198
912.71,286167
913.35,286136
914,286104
914.64,286073
915.29,286041
915.93,286010
916.57,285979
917.22,285948
917.86,285917
918.51,285886
919.15,285855
919.79,285824
920.43,285793
921.08,285762
921.72,285732
922.36,285701
923,285671
923.64,285640
924.28,285610
924.92,285579
925.56,285548
926.2,285518
926.84,285487
927.48,285457
928.12,285426
928.76,285396
929.4,285365
930.04,285335
930.68,285304
931.32,285274
931.95,285244
932.59,285214
933.23,285184
933.87,285154
934.5,285124
935.14,285094
935.78,285064
936.41,285034
937.05,285005
937.68,284975
938.32,284945
938.95,284915
939.59,284886
940.22,284856
940.86,284826
941.49,284796
942.13,284767
942.76,284737
943.39,284707
944.03,284677
944.66,284648
945.29,284618
945.92,284589
946.55,284559
947.19,284530
947.82,284501
948.45,284472
949.08,284443
949.71,284414
950.34,284385
950.97,284356
951.6,284327
952.23,284298
952.86,284269
953.49,284240
954.12,284211
954.75,284182
955.38,284153
956,284124
956.63,284095
957.26,284066
957.89,284037
958.51,284008
959.14,283980
959.77,283951
960.39,283922
961.02,283894
961.65,283865
962.27,283837
962.9,283809
963.52,283780
964.15,283752
964.77,283724
965.4,283696
966.02,283668
966.64,283639
967.27,283611
967.89,283583
968.52,283555
969.14,283527
969.76,283499
970.38,283470
971.01,283442
971.63,283414
972.25,283386
972.87,283358
973.49,283330
974.11,283302
974.73,283274
975.35,283246
975.97,283219
976.59,283191
977.21,283163
977.83,283136
978.45,283108
979.07,283081
979.69,283053
980.31,283026
980.93,282999
981.54,282971
982.16,282944
982.78,282916
983.4,282889
984.01,282861
984.63,282834
985.25,282807
985.86,282779
986.48,282752
987.09,282724
987.71,282697
988.33,282670
988.94,282643
989.56,282615
990.17,282588
990.78,282561
991.4,282535
992.01,282508
992.63,282481
993.24,282454
993.85,282427
994.46,282401
995.08,282374
995.69,282348
996.3,282321
996.91,282294
997.52,282268
998.14,282241
998.75,282215
999.36,282188
999.97,282161
1000.58,282135
1001.19,282108
1001.8,282081
1002.41,282055
1003.02,282028
1003.63,282002
1004.24,281976
1004.84,281949
1005.45,281923
1006.06,281897
1006.67,281870
1007.28,281844
1007.88,281818
1008.49,281792
1009.1,281766
1009.7,281740
1010.31,281714
1010.92,281689
1011.52,281663
1012.13,281637
1012.73,281611
1013.34,281585
1013.94,281559
1014.55,281533
1015.15,281507
1015.76,281482
1016.36,281456
1016.96,281430
1017.57,281404
1018.17,281378
1018.77,281353
1019.38,281327
1019.98,281301
1020.58,281276
1021.18,281250
1021.79,281225
1022.39,281199
1022.99,281174
