x(mm),P (Pa)
670.164,15371.9
670.907,15371.9
671.649,15371.8
672.391,15371.8
673.133,15371.8
673.874,15371.7
674.616,15371.7
675.356,15371.7
676.097,15371.7
676.837,15371.6
677.577,15371.6
678.317,15371.6
679.056,15371.5
679.795,15371.5
680.534,15371.4
681.273,15371.4
682.011,15371.4
682.749,15371.4
683.486,15371.3
684.223,15371.3
684.96,15371.3
685.697,15371.3
686.434,15371.2
687.17,15371.2
687.906,15371.2
688.641,15371.1
689.376,15371.1
690.111,15371.1
690.846,15371
691.58,15371
692.314,15371
693.048,15371
693.781,15370.9
694.515,15370.9
695.247,15370.9
695.98,15370.8
696.712,15370.8
697.444,15370.8
698.176,15370.7
698.907,15370.7
699.638,15370.7
700.369,15370.6
701.1,15370.6
701.83,15370.6
702.56,15370.6
703.29,15370.5
704.019,15370.5
704.748,15370.5
705.477,15370.5
706.205,15370.4
706.933,15370.4
707.661,15370.3
708.389,15370.3
709.116,15370.3
709.843,15370.2
710.57,15370.2
711.296,15370.2
712.022,15370.2
712.748,15370.1
713.474,15370.1
714.199,15370.1
714.924,15370.1
715.649,15370
716.373,15370
717.097,15370
717.821,15369.9
718.545,15369.9
719.268,15369.9
719.991,15369.8
720.713,15369.8
721.436,15369.8
722.158,15369.8
722.88,15369.7
723.601,15369.7
724.322,15369.7
725.043,15369.7
725.764,15369.6
726.484,15369.6
727.204,15369.6
727.924,15369.5
728.643,15369.5
729.362,15369.5
730.081,15369.5
730.8,15369.4
731.518,15369.4
732.236,15369.4
732.954,15369.4
733.671,15369.3
734.389,15369.3
735.106,15369.3
735.822,15369.3
736.538,15369.2
737.254,15369.2
737.97,15369.2
738.686,15369.1
739.401,15369.1
740.116,15369.1
740.83,15369
741.544,15369
742.258,15369
742.972,15369
743.685,15368.9
744.399,15368.9
745.112,15368.9
745.824,15368.9
746.536,15368.8
747.248,15368.8
747.96,15368.8
748.671,15368.8
749.383,15368.7
750.093,15368.7
750.804,15368.7
751.514,15368.6
752.224,15368.6
752.934,15368.6
753.643,15368.6
754.353,15368.5
755.061,15368.5
755.77,15368.5
756.478,15368.5
757.186,15368.4
757.894,15368.4
758.601,15368.4
759.309,15368.4
760.015,15368.3
760.722,15368.3
761.428,15368.3
762.134,15368.2
762.84,15368.2
763.546,15368.2
764.251,15368.2
764.956,15368.1
765.66,15368.1
766.365,15368.1
767.069,15368.1
767.772,15368
768.476,15368
769.179,15368
769.882,15368
770.585,15367.9
771.287,15367.9
771.989,15367.9
772.691,15367.8
773.392,15367.8
774.093,15367.8
774.794,15367.8
775.495,15367.8
776.195,15367.7
776.896,15367.7
777.595,15367.7
778.295,15367.7
778.994,15367.7
779.693,15367.6
780.392,15367.6
781.09,15367.6
781.788,15367.5
782.486,15367.5
783.184,15367.5
783.881,15367.5
784.578,15367.4
785.275,15367.4
785.971,15367.4
786.667,15367.4
787.363,15367.3
788.059,15367.3
788.754,15367.3
789.449,15367.3
790.144,15367.3
790.839,15367.2
791.533,15367.2
792.227,15367.2
792.92,15367.1
793.614,15367.1
794.307,15367.1
795,15367.1
795.692,15367
796.384,15367
797.076,15367
797.768,15367
798.46,15367
799.151,15366.9
799.842,15366.9
800.532,15366.9
801.223,15366.9
801.913,15366.8
802.602,15366.8
803.292,15366.8
803.981,15366.8
804.67,15366.7
805.359,15366.7
806.047,15366.7
806.735,15366.6
807.423,15366.6
808.111,15366.6
808.798,15366.6
809.485,15366.6
810.172,15366.5
810.858,15366.5
811.544,15366.5
812.23,15366.5
812.916,15366.5
813.601,15366.4
814.286,15366.4
814.971,15366.4
815.656,15366.4
816.34,15366.3
817.024,15366.3
817.708,15366.3
818.391,15366.2
819.074,15366.2
819.757,15366.2
820.44,15366.2
821.122,15366.2
821.804,15366.2
822.486,15366.1
823.167,15366.1
823.849,15366.1
824.53,15366.1
825.21,15366.1
825.891,15366
826.571,15366
827.251,15366
827.93,15366
828.61,15365.9
829.289,15365.9
829.968,15365.9
830.646,15365.8
831.324,15365.8
832.002,15365.8
832.68,15365.8
833.357,15365.8
834.035,15365.8
834.712,15365.7
835.388,15365.7
836.065,15365.7
836.741,15365.7
837.416,15365.7
838.092,15365.6
838.767,15365.6
839.442,15365.6
840.117,15365.5
840.791,15365.5
841.466,15365.5
842.139,15365.5
842.813,15365.4
843.486,15365.4
844.16,15365.4
844.832,15365.4
845.505,15365.4
846.177,15365.4
846.849,15365.3
847.521,15365.3
848.192,15365.3
848.864,15365.3
849.535,15365.3
850.205,15365.2
850.876,15365.2
851.546,15365.2
852.216,15365.2
852.885,15365.1
853.555,15365.1
854.224,15365.1
854.892,15365.1
855.561,15365
856.229,15365
856.897,15365
857.565,15365
858.232,15365
858.899,15364.9
859.566,15364.9
860.23,15364.9
860.9,15364.9
861.57,15364.9
862.23,15364.9
862.9,15364.8
863.56,15364.8
864.23,15364.8
864.89,15364.7
865.56,15364.7
866.22,15364.7
866.88,15364.7
867.55,15364.6
868.21,15364.6
868.88,15364.6
869.54,15364.6
870.2,15364.6
870.86,15364.6
871.53,15364.5
872.19,15364.5
872.85,15364.5
873.51,15364.5
874.17,15364.5
874.83,15364.5
875.49,15364.4
876.15,15364.4
876.81,15364.4
877.47,15364.4
878.13,15364.3
878.79,15364.3
879.45,15364.3
880.11,15364.3
880.77,15364.2
881.42,15364.2
882.08,15364.2
882.74,15364.2
883.4,15364.2
884.05,15364.2
884.71,15364.2
885.37,15364.1
886.02,15364.1
886.68,15364.1
887.34,15364.1
887.99,15364.1
888.65,15364
889.3,15364
889.96,15364
890.61,15364
891.27,15363.9
891.92,15363.9
892.57,15363.9
893.23,15363.9
893.88,15363.8
894.53,15363.8
895.18,15363.8
895.84,15363.8
896.49,15363.8
897.14,15363.8
897.79,15363.7
898.44,15363.7
899.1,15363.7
899.75,15363.7
900.4,15363.7
901.05,15363.7
901.7,15363.6
902.35,15363.6
903,15363.6
903.65,15363.6
904.29,15363.5
904.94,15363.5
905.59,15363.5
906.24,15363.5
906.89,15363.4
907.53,15363.4
908.18,15363.4
908.83,15363.4
909.48,15363.4
910.12,15363.4
910.77,15363.3
911.42,15363.3
