x(mm),P (Pa)
782.222,15370.2
783.268,15370.2
784.314,15370.2
785.359,15370.1
786.404,15370.1
787.448,15370
788.492,15369.9
789.534,15369.9
790.577,15369.8
791.618,15369.8
792.659,15369.7
793.699,15369.7
794.739,15369.7
795.778,15369.7
796.816,15369.6
797.854,15369.6
798.891,15369.6
799.928,15369.6
800.963,15369.6
801.999,15369.6
803.033,15369.5
804.067,15369.4
805.101,15369.4
806.133,15369.3
807.166,15369.2
808.197,15369.2
809.228,15369.1
810.258,15369.1
811.288,15369.1
812.317,15369
813.346,15369
814.373,15369
815.401,15369
816.427,15369
817.453,15369
818.478,15369
819.503,15369
820.527,15368.9
821.551,15368.9
822.574,15368.8
823.596,15368.7
824.617,15368.7
825.639,15368.6
826.659,15368.6
827.679,15368.5
828.698,15368.5
829.716,15368.5
830.734,15368.5
831.752,15368.5
832.768,15368.5
833.785,15368.4
834.8,15368.4
835.815,15368.4
836.829,15368.4
837.843,15368.4
838.856,15368.3
839.868,15368.3
840.88,15368.2
841.892,15368.1
842.902,15368.1
843.912,15368
844.922,15368
845.93,15367.9
846.939,15367.9
847.946,15367.9
848.953,15367.9
849.96,15367.9
850.965,15367.9
851.971,15367.9
852.975,15367.8
853.979,15367.8
854.982,15367.8
855.985,15367.8
856.987,15367.7
857.989,15367.7
858.99,15367.6
859.99,15367.6
860.99,15367.5
861.99,15367.5
862.99,15367.4
863.99,15367.4
864.98,15367.3
865.98,15367.3
866.98,15367.3
867.97,15367.3
868.97,15367.3
869.96,15367.3
870.95,15367.3
871.95,15367.3
872.94,15367.3
873.93,15367.2
874.92,15367.2
875.91,15367.1
876.9,15367.1
877.89,15367
878.88,15367
879.87,15366.9
880.86,15366.9
881.85,15366.8
882.83,15366.8
883.82,15366.7
884.8,15366.7
885.79,15366.7
886.77,15366.7
887.76,15366.7
888.74,15366.7
889.72,15366.7
890.7,15366.7
891.68,15366.7
892.67,15366.6
893.65,15366.6
894.63,15366.6
895.6,15366.5
896.58,15366.5
897.56,15366.4
898.54,15366.4
899.51,15366.3
900.49,15366.3
901.47,15366.2
902.44,15366.2
903.41,15366.1
904.39,15366.1
905.36,15366.1
906.33,15366.1
907.3,15366.1
908.28,15366.1
909.25,15366.1
910.22,15366.1
911.19,15366.1
912.16,15366.1
913.12,15366.1
914.09,15366
915.06,15366
916.03,15366
916.99,15365.9
917.96,15365.8
918.92,15365.8
919.89,15365.7
920.85,15365.7
921.81,15365.6
922.78,15365.6
923.74,15365.5
924.7,15365.5
925.66,15365.5
926.62,15365.5
927.58,15365.5
928.54,15365.5
929.5,15365.5
930.45,15365.5
931.41,15365.5
932.37,15365.5
933.32,15365.5
934.28,15365.5
935.24,15365.5
936.19,15365.4
937.14,15365.4
938.1,15365.3
939.05,15365.2
940,15365.2
940.95,15365.1
941.9,15365
942.85,15365
943.8,15364.9
944.75,15364.9
945.7,15364.9
946.65,15364.9
947.6,15364.8
948.55,15364.9
949.49,15364.9
950.44,15364.9
951.38,15364.9
952.33,15364.9
953.27,15364.9
954.22,15364.9
955.16,15364.9
956.1,15364.9
957.04,15364.9
957.98,15364.8
958.92,15364.8
959.87,15364.7
960.8,15364.7
961.74,15364.6
962.68,15364.5
963.62,15364.5
964.56,15364.4
965.49,15364.3
966.43,15364.3
967.37,15364.3
968.3,15364.2
969.24,15364.2
970.17,15364.2
971.1,15364.2
972.04,15364.2
972.97,15364.3
973.9,15364.3
974.83,15364.3
975.76,15364.3
976.69,15364.3
977.62,15364.3
978.55,15364.3
979.48,15364.3
980.41,15364.2
981.33,15364.2
982.26,15364.1
983.19,15364.1
984.11,15364
985.04,15364
985.96,15363.9
986.89,15363.8
987.81,15363.8
988.73,15363.7
989.65,15363.7
990.58,15363.6
991.5,15363.6
992.42,15363.6
993.34,15363.6
994.26,15363.6
995.18,15363.6
996.09,15363.6
997.01,15363.6
997.93,15363.6
998.85,15363.6
999.76,15363.6
1000.68,15363.6
1001.59,15363.6
1002.51,15363.6
1003.42,15363.6
1004.33,15363.6
1005.25,15363.5
1006.16,15363.5
1007.07,15363.4
1007.98,15363.4
1008.89,15363.3
1009.8,15363.3
1010.71,15363.2
1011.62,15363.2
1012.53,15363.2
1013.44,15363.1
1014.35,15363.1
1015.25,15363.1
1016.16,15363.1
1017.06,15363
1017.97,15363
1018.87,15363
1019.78,15363
1020.68,15363
1021.59,15363
1022.49,15363
1023.39,15363
1024.29,15363
1025.19,15362.9
1026.09,15362.9
1026.99,15362.9
