Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Absolute Pressure (Pa)
1.078412821,7023.578607
1.078113248,7023.659295
1.082581727,7019.396923
1.079901716,7022.577033
1.082879506,7019.022206
1.083775217,7017.917698
1.084070923,7017.561785
1.094492889,7005.358336
1.09419511,7005.300768
1.069777228,7014.819006
1.069479449,7014.320014
1.070075008,7015.313794
1.074839472,7022.092691
1.075732809,7022.909596
1.0787106,7023.454741
1.077816764,7023.698558
1.079603937,7022.846973
1.06918167,7013.816258
1.070372787,7015.803092
1.074541693,7021.772758
1.076030588,7023.12764
1.079008379,7023.289358
1.077520779,7023.699032
1.079306158,7023.085651
1.072159461,7018.608068
1.07245724,7019.048182
1.068883891,7013.30957
1.070670566,7016.286888
1.074243914,7021.432078
1.076328367,7023.314143
1.077221704,7023.660698
1.071858864,7018.154996
1.072755019,7019.47849
1.068586112,7012.799411
1.070968345,7016.76486
1.073946135,7021.072775
1.076626146,7023.46665
1.076923925,7023.583352
1.071561302,7017.69675
1.073052798,7019.897658
1.068288333,7012.288656
1.071266341,7017.237143
1.073648356,7020.696248
1.073350577,7020.304058
1.067990554,7011.775557
1.067692775,7011.264103
1.067394996,7010.752338
1.067097217,7010.243942
1.066799438,7009.736925
1.066501659,7009.235164
1.06620388,7008.736058
1.065906101,7008.244945
1.065606308,7007.757085
1.065309128,7007.283348
1.065013364,7006.822468
1.064714985,7006.370239
1.064417206,7005.933036
1.064119427,7005.508093
1.063821648,7005.103603
1.063523869,7004.710382
1.06322609,7004.338938
1.062928311,7003.980337
1.062630532,7003.643529
1.062332752,7003.31701
1.062034973,7003.012381
1.061737194,7002.717541
1.061439415,7002.444851
1.061141636,7002.181177
1.060843857,7001.941504
1.060546078,7001.71128
1.060248299,7001.506962
1.05995052,7001.311183
1.059652741,7001.144225
1.059354962,7000.988455
1.059056438,7000.864798
1.058762095,7000.755091
1.058465062,7000.679111
1.058163846,7000.617049
1.057866067,7000.594202
1.057568288,7000.589295
1.057270509,7000.624793
1.05697273,7000.686462
1.056674951,7000.784632
1.056377172,7000.914517
1.056079393,7001.083633
1.055781614,7001.287322
1.055483835,7001.532592
1.055186056,7001.814616
1.054888277,7002.138309
1.054590497,7002.499953
1.054292718,7002.902528
1.053994939,7003.343285
1.05369716,7003.82239
1.053399381,7004.33814
1.053101602,7004.889271
1.052801733,7005.478436
1.052506312,7006.091606
1.052210624,7006.731198
1.051910486,7007.41024
1.051612707,7008.105241
1.051314928,7008.820513
1.051017149,7009.551452
1.05071937,7010.294167
1.050421591,7011.044762
1.050123812,7011.799294
1.049826033,7012.554084
1.049528254,7013.30502
1.049230475,7014.047796
1.048932696,7014.778704
1.048634917,7015.493822
1.048337138,7016.188633
1.048039359,7016.85888
1.04774158,7017.500654
1.047443801,7018.110144
1.047146021,7018.683813
1.046848242,7019.218069
1.046548656,7019.71224
1.046252157,7020.154526
1.045956186,7020.543191
1.045657126,7020.885294
1.045359347,7021.169184
1.045061568,7021.398174
1.044763789,7021.567877
1.04446601,7021.677006
1.044168231,7021.727363
1.043870452,7021.724325
1.043572673,7021.667348
1.043274894,7021.558794
1.042977115,7021.398155
1.042679336,7021.191626
1.042381557,7020.939217
1.042083778,7020.653076
1.041785999,7020.32908
1.04148822,7019.986151
1.041190441,7019.616132
1.040892662,7019.242403
1.040594883,7018.852995
1.040294272,7018.4724
1.039996696,7018.102523
1.039701748,7017.751914
1.039403766,7017.434402
1.039105987,7017.136347
1.038808208,7016.896762
1.038510429,7016.692323
1.03821265,7016.556292
1.037914871,7016.463801
1.037617092,7016.440395
1.037319313,7016.474242
1.037021534,7016.569364
1.036723755,7016.73162
1.036425976,7016.953672
1.036128197,7017.243837
1.035830418,7017.59267
1.035532639,7018.005341
1.03523486,7018.47188
1.034937081,7018.992505
1.034639302,7019.560511
1.034341523,7020.173851
1.034041717,7020.832943
1.033744519,7021.524294
1.033448767,7022.243008
1.033150407,7022.998573
1.032852628,7023.776679
1.032554849,7024.576104
1.03225707,7025.393868
1.03195929,7026.225975
1.031661511,7027.069792
1.031363732,7027.921712
1.031065953,7028.778797
1.030768174,7029.637194
1.030470395,7030.493559
1.030172616,7031.343894
1.029874837,7032.183786
1.029577058,7033.008612
1.029279279,7033.81387
1.0289815,7034.594189
1.028683721,7035.345147
1.028385942,7036.062493
1.028088163,7036.741795
1.027790384,7037.379107
1.027491842,7037.973484
1.027197485,7038.512788
1.02690047,7039.005895
1.026599268,7039.453121
1.026301489,7039.835774
1.02600371,7040.163919
1.025705931,7040.434598
1.025408152,7040.64836
1.025110373,7040.801939
1.024812594,7040.892703
1.024514815,7040.925922
1.024217035,7040.908779
1.023919256,7040.838315
1.023621477,7040.713155
1.023323698,7040.539597
1.023025919,7040.318864
1.02272814,7040.055242
1.022430361,7039.750283
1.022132582,7039.411356
1.021834803,7039.038458
1.021537024,7038.64257
1.021237137,7038.215681
1.020941701,7037.779162
1.020646031,7037.324355
1.020345908,7036.854975
1.020048129,7036.378207
1.01975035,7035.904527
1.019452571,7035.426858
1.019154792,7034.962124
1.018857013,7034.502388
1.018559234,7034.063374
1.018261455,7033.637676
1.017963676,7033.239575
1.017665897,7032.862007
1.017368118,7032.518603
1.017070339,7032.201194
1.016772559,7031.924471
1.01647478,7031.681147
1.016177001,7031.483439
1.015879222,7031.319186
1.015581443,7031.197424
1.015283664,7031.112292
1.014984064,7031.061915
1.014687551,7031.046308
0.86162968,7036.442386
0.861927459,7036.474261
0.862225238,7036.478944
0.864309692,7035.89636
0.864607471,7035.741509
0.862523017,7036.463816
0.864011913,7036.036264
0.86490525,7035.571186
0.862823068,7036.420748
0.863714134,7036.160547
0.865203029,7035.384839
0.863118647,7036.355407
0.863414156,7036.268146
0.865500808,7035.181839
0.868180819,7032.69621
0.868478598,7032.380835
0.865798587,7034.961904
0.866691924,7034.202057
0.866989703,7033.918972
0.86788304,7033.010466
0.868776377,7032.067544
0.866096366,7034.724838
0.866394145,7034.471125
0.867287482,7033.62444
0.867585261,7033.320643
0.869077506,7031.753749
0.87115861,7029.795444
0.871456389,7029.548132
0.86937443,7031.451517
0.873243063,7028.229463
0.873540842,7028.042087
0.87086083,7030.050802
0.871754168,7029.308196
0.877709748,7027.087691
0.878007527,7027.123084
0.86966886,7031.157503
0.872945284,7028.427545
0.873838621,7027.866987
0.872051947,7029.076246
0.870563051,7030.314671
0.88336755,7024.959355
0.883069771,7025.320516
0.877411969,7027.057366
0.878305306,7027.160712
0.869967493,7030.867622
0.875327516,7027.226213
0.875625786,7027.151495
0.872647505,7028.635381
0.8741364,7027.705452
0.872349726,7028.851643
0.870265272,7030.586824
0.887834236,7018.103061
0.888133222,7017.65002
0.883665329,7024.573154
0.882771992,7025.653427
0.87711419,7027.038345
0.878603085,7027.196169
0.875029737,7027.31888
0.875921476,7027.095531
0.874434179,7027.559409
0.887536457,7018.562752
0.888429124,7017.214138
0.883963108,7024.164804
0.880687539,7027.086415
0.880985318,7026.977068
0.882471312,7025.957935
0.876816411,7027.029666
0.878900865,7027.226269
0.876218765,7027.056552
0.874731958,7027.430153
0.889918689,7015.247565
0.887238678,7019.029908
0.888725696,7016.788244
0.88962091,7015.602851
0.885749782,7021.422265
0.886047561,7020.941895
0.884260887,7023.737449
0.88038976,7027.166436
0.881283097,7026.837339
0.882173663,7026.22785
