Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Skin Friction Coefficient
1.136777512,467.8700304
1.137075291,467.857863
1.13737307,467.8441792
1.137670849,467.8286298
1.137968629,467.8115711
1.138266408,467.7920661
1.138564187,467.7706953
1.138861966,467.7474851
1.139159745,467.7216864
1.139457524,467.6939993
1.139755303,467.6636803
1.140053082,467.630853
1.140350861,467.5955573
1.140649964,467.5575646
1.140945977,467.5187985
1.141242432,467.476842
1.141541977,467.4336276
1.141839756,467.3889514
1.142137535,467.343053
1.142435314,467.2960881
1.142733093,467.2485997
1.143030872,467.200968
1.143328651,467.1534708
1.14362643,467.106517
1.143924209,467.060395
1.144221988,467.0148697
1.144519767,466.9711936
1.144817546,466.9290355
1.145115325,466.8887183
1.145413105,466.8501889
1.145710884,466.8139445
1.146008663,466.7798681
1.146306442,466.748374
1.146604221,466.7187603
1.146904402,466.6913883
1.147200145,466.6666302
1.147495522,466.6434296
1.147795337,466.6217882
1.148093116,466.6014228
1.148390895,466.5821584
1.148688674,466.5640863
1.148986453,466.5460169
1.149284232,466.5283003
1.149582011,466.510358
1.14987979,466.4923068
1.150177569,466.473747
1.150475348,466.4547196
1.150773127,466.4351584
1.151070906,466.4149504
1.151368685,466.3938922
1.151666464,466.3714458
1.151964243,466.3480245
1.152262022,466.3233939
1.152559801,466.2972969
1.15285758,466.2699082
1.153157312,466.2406387
1.1534544,466.2106332
1.153750227,466.1785624
1.154048697,466.1445547
1.154346476,466.1087059
1.154644255,466.071088
1.154942034,466.0315958
1.155239813,465.9905167
1.155537592,465.9475702
1.155835371,465.9029049
1.15613315,465.8565764
1.156430929,465.8085949
1.156728708,465.7592901
1.157026487,465.7086266
1.157324266,465.6567939
1.157622045,465.6040055
1.157919824,465.5504447
1.158217603,465.4964421
1.158515382,465.441996
1.158813161,465.387985
1.15911094,465.3342488
1.159408719,465.2810872
1.159707153,465.2293933
1.160002954,465.179872
1.16030008,465.1310983
1.160599836,465.0843553
1.160897615,465.0398677
1.161195394,464.9974076
1.161493173,464.9578209
1.161790952,464.9202518
1.162088731,464.8860994
1.16238651,464.8538799
1.162684289,464.8239047
1.162982068,464.7971326
1.163279847,464.771329
1.163577626,464.7488367
1.163875405,464.7274594
1.164173184,464.7087896
1.164470963,464.6913905
1.164768742,464.6764533
1.165066521,464.6622702
1.1653643,464.6501355
1.165662079,464.6386278
1.165960119,464.6287484
1.166255122,464.6205848
1.16655264,464.6139685
1.166853195,464.6086649
1.167150974,464.6045638
1.167448753,464.6015122
1.167746532,464.5986512
1.168044312,464.5965198
1.168342091,464.5936745
1.16863987,464.589774
1.168937649,464.5841275
1.169235428,464.5767942
1.169533207,464.5680406
1.169830986,464.5566184
1.170128765,464.5427522
1.170426544,464.5261518
1.170724323,464.5070697
1.171022102,464.4855412
1.171319881,464.4617136
1.17161766,464.435925
1.171915439,464.4089561
1.172214557,464.3818162
1.172510584,464.3542516
1.172807024,464.3267734
1.173106555,464.2986265
1.173404334,464.2726245
1.173702113,464.2481805
1.173999892,464.2264959
1.174297671,464.2082612
1.17459545,464.192994
1.174893229,464.1817453
1.175191008,464.1728499
1.175488788,464.16815
1.175786567,464.166543
1.176084346,464.1689665
1.176382125,464.1742418
1.176679904,464.1829297
1.176977683,464.1939687
1.177275462,464.208248
1.177573241,464.2250552
1.17787102,464.2439749
1.178168799,464.2651017
1.178468995,464.2891403
1.178764756,464.3127611
1.179060119,464.3404313
1.179359915,464.3686689
1.179657694,464.3987005
1.179955473,464.430204
1.180253252,464.4630463
1.180551031,464.4968494
1.18084881,464.5313218
1.181146589,464.5658657
1.181444368,464.599199
1.181742147,464.6306049
1.090028131,469.30257
1.089728424,469.3517497
1.090325183,469.2536928
1.089430645,469.3995602
1.090621034,469.2034367
1.089132866,469.4464106
1.085857297,469.9021904
1.085559518,469.9412766
1.081390611,470.4960591
1.081092832,470.5305757
1.09091954,469.1527531
1.088835087,469.4922447
1.085261739,469.9806974
1.086155076,469.8632519
1.092706215,468.8525235
1.093003994,468.8055154
1.08168839,470.4596998
1.080795053,470.5632493
1.091217319,469.1016675
1.088537308,469.5368861
1.088239529,469.5805152
1.08794175,469.6231017
1.084963959,470.0200444
1.086452855,469.8243605
1.092408435,468.9005159
1.093301773,468.759939
1.081986169,470.4219374
1.080497274,470.5939026
1.091515098,469.0505971
1.087643971,469.6647747
1.086750634,469.7852594
1.08466618,470.0601417
1.092110656,468.9498145
1.093599552,468.716807
1.082283948,470.3831392
1.080199495,470.6221537
1.083177285,470.2628569
1.083475064,470.2221487
1.091812877,468.9998003
1.087346192,469.7055575
