x [m],Heat flux [MW/m^2]
1.604516655000000069e-01,1.132219916999999965e-01
1.611216068000000112e-01,1.131422044000000016e-01
1.617915480999999878e-01,1.130629437000000015e-01
1.624615043000000036e-01,1.129838541000000030e-01
1.631314456000000079e-01,1.129046820000000062e-01
1.638013869999999927e-01,1.128254285000000051e-01
1.644713282999999970e-01,1.127463219000000016e-01
1.651412696000000013e-01,1.126677987000000020e-01
1.658112257999999894e-01,1.125902446999999945e-01
1.664811670999999937e-01,1.125137061999999938e-01
1.671511083999999980e-01,1.124377089999999968e-01
1.678210497000000023e-01,1.123612762999999931e-01
1.684909910000000066e-01,1.122832535999999937e-01
1.691609471999999947e-01,1.122026614000000005e-01
1.698308884999999990e-01,1.121190898000000019e-01
1.705008298000000033e-01,1.120327718999999944e-01
1.711707711000000076e-01,1.119447196000000061e-01
1.718407124000000119e-01,1.118564553999999989e-01
1.725106686000000000e-01,1.117697156999999941e-01
1.731806099000000043e-01,1.116861011000000042e-01
1.738505512000000086e-01,1.116066812999999963e-01
1.745204925999999934e-01,1.115316382000000051e-01
1.751904338999999977e-01,1.114604534000000063e-01
1.758603901000000136e-01,1.113920402000000004e-01
1.765303313999999901e-01,1.113250483000000068e-01
1.772002726999999944e-01,1.112581680999999989e-01
1.778702139999999987e-01,1.111904623999999953e-01
1.785401553000000030e-01,1.111215353000000045e-01
1.792101114999999911e-01,1.110516024000000046e-01
1.798800527999999954e-01,1.109814526000000023e-01
1.805499940999999997e-01,1.109122711999999955e-01
1.812199354000000040e-01,1.108452785999999995e-01
1.818898767000000083e-01,1.107813990999999970e-01
1.825598328999999964e-01,1.107208823999999980e-01
1.832297742000000007e-01,1.106631388999999993e-01
1.838997155000000050e-01,1.106067867999999954e-01
1.845696568000000093e-01,1.105500202999999959e-01
1.852395981999999941e-01,1.104910857000000052e-01
1.859095544000000100e-01,1.104287478000000045e-01
1.865794956999999865e-01,1.103624244000000060e-01
1.872494369999999908e-01,1.102923734000000044e-01
1.879193782999999951e-01,1.102194969000000052e-01
1.885893195999999994e-01,1.101450273999999979e-01
1.892592757999999875e-01,1.100703457000000024e-01
