x [m],Heat flux [MW/m^2]
1.215948909999999966e-01,1.288616362999999987e-01
1.222648397000000026e-01,1.287255811000000139e-01
1.229347810000000069e-01,1.285903610999999946e-01
1.236047297999999933e-01,1.284563629000000096e-01
1.242746710999999976e-01,1.283240035999999862e-01
1.249446124000000019e-01,1.281936911999999873e-01
1.256145536999999923e-01,1.280656428999999985e-01
1.262845099000000082e-01,1.279398985999999905e-01
1.269544512000000125e-01,1.278162415999999912e-01
1.276243924999999890e-01,1.276943080999999869e-01
1.282943337999999933e-01,1.275736856999999946e-01
1.289642750999999976e-01,1.274540638999999975e-01
1.296342313000000135e-01,1.273352878000000021e-01
1.303041725999999900e-01,1.272173903999999911e-01
1.309741138999999943e-01,1.271005149999999972e-01
1.316440551999999986e-01,1.269847011999999942e-01
1.323139966000000112e-01,1.268698957000000127e-01
1.329839527999999993e-01,1.267558750999999984e-01
1.336538941000000036e-01,1.266423748999999932e-01
1.343238354000000079e-01,1.265291896000000083e-01
1.349937767000000122e-01,1.264162430000000115e-01
1.356637179999999887e-01,1.263036295999999947e-01
1.363336742000000046e-01,1.261915389999999915e-01
1.370036155000000089e-01,1.260802188000000046e-01
1.376735568000000132e-01,1.259698680999999931e-01
1.383434980999999897e-01,1.258605691000000137e-01
1.390134393999999940e-01,1.257524533999999916e-01
1.396833956000000099e-01,1.256453489000000090e-01
1.403533368999999864e-01,1.255392238999999965e-01
1.410232781999999907e-01,1.254339019000000055e-01
1.416932194999999950e-01,1.253292864999999978e-01
1.423631607999999993e-01,1.252253929000000099e-01
1.430331170999999957e-01,1.251222533999999942e-01
1.437030584000000000e-01,1.250199412000000121e-01
1.443729997000000043e-01,1.249185203999999966e-01
1.450429410000000086e-01,1.248179945999999957e-01
1.457128971999999967e-01,1.247183186999999971e-01
1.463828385000000010e-01,1.246194067999999988e-01
1.470527798000000053e-01,1.245211090000000048e-01
1.477227211000000096e-01,1.244235068999999944e-01
1.483926624000000138e-01,1.243262088000000043e-01
1.490626036999999904e-01,1.242294617000000018e-01
1.497325599000000063e-01,1.241337817999999954e-01
1.504025012000000106e-01,1.240387777000000052e-01
1.510724424999999871e-01,1.239444890000000049e-01
1.517423837999999914e-01,1.238509369999999943e-01
1.524123400000000073e-01,1.237580808000000032e-01
1.530822813999999921e-01,1.236658246000000017e-01
1.537522226999999964e-01,1.235740978000000045e-01
1.544221640000000006e-01,1.234828778000000016e-01
1.550921053000000049e-01,1.233921736999999963e-01
1.557620466000000092e-01,1.233020563000000042e-01
1.564320027999999974e-01,1.232125565000000006e-01
1.571019441000000016e-01,1.231237124999999960e-01
1.577718854000000059e-01,1.230355389999999993e-01
