Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Shear Stress: Magnitude (Pa)
2.230817707,73.04738597
2.231115486,73.04252378
2.231413265,73.03787942
2.231711044,73.03359066
2.232008823,73.02949868
2.232306602,73.02565119
2.232604381,73.02208616
2.232901839,73.01870665
2.233196288,73.01558677
2.233494388,73.01250797
2.233795497,73.00965664
2.234093276,73.00693099
2.234391055,73.00429614
2.234688834,73.00177278
2.234986613,72.9993383
2.235284392,72.9969192
2.235582172,72.99460063
2.235879951,72.99231775
2.23617773,72.99008506
2.236475509,72.98791434
2.236773288,72.98572117
2.237071067,72.98372391
2.237368846,72.9816702
2.237666625,72.97965964
2.237964404,72.97787291
2.238262183,72.97604584
2.238559962,72.97443734
2.238857741,72.97285146
2.239156276,72.97144184
2.239451749,72.97017084
2.239748773,72.96887911
2.240048857,72.96768545
2.240346636,72.96656756
2.240644415,72.96547721
2.240942194,72.96427928
2.241239973,72.96304375
2.241537752,72.96181781
2.241835531,72.96046469
2.24213331,72.9589964
2.242431089,72.95743584
2.242728868,72.9557266
2.243026648,72.95386366
2.243324427,72.95187943
2.243622206,72.94975251
2.243919985,72.94751235
2.244217764,72.9451646
2.244515543,72.94278021
2.244813322,72.94032829
2.245111101,72.93787999
2.245410714,72.93548752
2.245705748,72.93314641
2.246001694,72.93097673
2.246302217,72.9286965
2.246599996,72.92674651
2.246897775,72.92472541
2.247195554,72.92280965
2.247493333,72.92108668
2.247791112,72.91946068
2.100095032,72.64953505
2.099794929,72.64246953
2.09949715,72.63550857
2.099199371,72.62847556
2.098901592,72.62134172
2.098603813,72.61412753
2.098306034,72.60692407
2.098008255,72.59965896
2.097710476,72.59236362
2.097412697,72.58507699
2.097114918,72.57773346
2.096817138,72.57041148
2.096519359,72.5630732
2.09622158,72.55566737
2.095923801,72.5482848
2.095626022,72.54084649
2.095328243,72.53338726
2.095030464,72.52591709
2.085203756,72.49188083
2.085501535,72.48582258
2.094732685,72.51845435
2.076270385,72.90843766
2.075972606,72.92668818
2.079248175,72.72875868
2.079545954,72.71196074
2.084905977,72.49845577
2.085799314,72.48046953
