Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Distance (m)
1.530724589,6.32E-07
1.531320122,6.32E-07
1.533700423,6.32E-07
1.53469434,6.32E-07
1.53529034,6.32E-07
1.536682176,6.32E-07
1.537275449,6.32E-07
1.538268003,6.32E-07
1.539657579,6.32E-07
1.53985609,6.32E-07
1.528540969,6.32E-07
1.52873948,6.32E-07
1.523179115,6.32E-07
1.523578196,6.32E-07
1.524570751,6.32E-07
1.524967773,6.32E-07
1.52516695,6.32E-07
1.525365461,6.32E-07
1.526359378,6.32E-07
1.530526078,6.32E-07
1.531518632,6.32E-07
1.533503741,6.32E-07
1.534892851,6.32E-07
1.535091829,6.32E-07
1.536880686,6.32E-07
1.537076938,6.32E-07
1.538466514,6.32E-07
1.539459069,6.32E-07
1.540054601,6.32E-07
1.528342458,6.32E-07
1.528937991,6.32E-07
1.529335013,6.32E-07
1.529136502,6.32E-07
1.527153431,6.32E-07
1.527351942,6.32E-07
1.523377626,6.32E-07
1.524769262,6.32E-07
1.52655586,6.32E-07
1.530327567,6.32E-07
1.531717143,6.32E-07
1.533305231,6.32E-07
1.538665025,6.32E-07
1.539260558,6.32E-07
1.540253112,6.32E-07
1.528143947,6.32E-07
1.529533523,6.32E-07
1.526952882,6.32E-07
1.527548414,6.32E-07
1.526754371,6.32E-07
1.530129056,6.32E-07
1.531915654,6.32E-07
1.53310672,6.32E-07
1.538863536,6.32E-07
1.539062047,6.32E-07
1.540451623,6.32E-07
1.542238221,6.32E-07
1.542436732,6.32E-07
1.529732034,6.32E-07
1.527945436,6.32E-07
1.527746925,6.32E-07
1.529930545,6.32E-07
1.532114165,6.32E-07
1.532906291,6.32E-07
1.540650134,6.32E-07
1.548193548,6.32E-07
1.548392059,6.32E-07
1.545017374,6.32E-07
1.545215648,6.32E-07
1.543032265,6.32E-07
1.54203971,6.32E-07
1.542635243,6.32E-07
1.532312676,6.32E-07
1.53270778,6.32E-07
1.540848645,6.32E-07
1.546408077,6.32E-07
1.546605461,6.32E-07
1.547995037,6.32E-07
1.54859057,6.32E-07
1.544818863,6.32E-07
1.545414159,6.32E-07
1.543228996,6.32E-07
1.543427507,6.32E-07
1.543627797,6.32E-07
1.542833754,6.32E-07
1.541841199,6.32E-07
1.532511187,6.32E-07
1.541047156,6.32E-07
1.546209566,6.32E-07
1.546803972,6.32E-07
1.548789081,6.32E-07
1.547796526,6.32E-07
1.545811417,6.32E-07
1.545612906,6.32E-07
1.544620352,6.32E-07
1.543826308,6.32E-07
1.541642688,6.32E-07
1.541444178,6.32E-07
1.541245667,6.32E-07
1.551568234,6.32E-07
1.551766744,6.32E-07
1.549980146,6.32E-07
1.550178657,6.32E-07
1.546009928,6.32E-07
1.547002483,6.32E-07
1.548987592,6.32E-07
1.547598016,6.32E-07
1.544420242,6.32E-07
1.544024819,6.32E-07
1.551369723,6.32E-07
1.551965255,6.32E-07
1.549781635,6.32E-07
1.550377168,6.32E-07
1.547203484,6.32E-07
1.549186103,6.32E-07
1.547401994,6.32E-07
1.544221731,6.32E-07
1.55295781,6.32E-07
1.551171212,6.32E-07
1.552163766,6.32E-07
1.549583125,6.32E-07
1.550575679,6.32E-07
1.549384614,6.32E-07
1.553156321,6.32E-07
1.552759299,6.32E-07
1.552362277,6.32E-07
1.550972701,6.32E-07
1.55077419,6.32E-07
1.553354832,6.32E-07
1.552560788,6.32E-07
1.553553343,6.32E-07
1.553750212,6.32E-07
1.553948723,6.32E-07
1.554148875,6.32E-07
1.554347386,6.32E-07
1.554545897,6.32E-07
1.554743039,6.32E-07
1.55494155,6.32E-07
1.55514143,6.32E-07
1.555339941,6.32E-07
1.555538452,6.32E-07
1.555736956,6.32E-07
1.555935467,6.32E-07
1.556133984,6.32E-07
1.556332495,6.32E-07
1.556531006,6.32E-07
1.556730874,6.32E-07
1.556929385,6.32E-07
1.557126539,6.32E-07
1.55732505,6.32E-07
1.557523561,6.32E-07
1.557723705,6.32E-07
1.557922216,6.32E-07
1.558119093,6.32E-07
1.558317604,6.32E-07
1.558516115,6.32E-07
1.558714626,6.32E-07
1.558913137,6.32E-07
1.559111648,6.32E-07
1.559310159,6.32E-07
1.55950867,6.32E-07
1.559707181,6.32E-07
1.559905691,6.32E-07
1.560104202,6.32E-07
1.560302713,6.32E-07
1.560501224,6.32E-07
1.560699735,6.32E-07
