Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Boundary Heat Flux (W/m^2)
1.474746756,37173.31224
1.474548245,37170.27072
1.472957916,37147.92086
1.473554327,37155.78941
1.464818969,37184.05739
1.466605567,37150.8877
1.468789187,37129.34011
1.467796633,37136.38469
1.471965362,37136.9629
1.468987698,37128.49612
1.470573856,37127.94242
1.470377275,37127.35704
1.474943025,37176.34248
1.474347493,37167.27679
1.473752838,37158.59276
1.472758921,37145.47653
1.466804078,37147.99239
1.467598122,37138.31989
1.472163873,37138.90474
1.474148982,37164.33377
1.475141536,37179.41678
1.473950471,37161.43673
1.47256041,37143.163
1.467002589,37145.31271
1.467399611,37140.48389
1.472362384,37140.96214
1.475737069,37188.67693
1.477920689,37221.35033
1.4781192,37224.13326
1.476531113,37200.91723
1.476729623,37203.92329
1.47593558,37191.76219
1.475340047,37182.49905
1.4672011,37142.78859
1.475538558,37185.58769
1.480699841,37256.97609
1.480501331,37254.68263
1.479508776,37242.61362
1.479707287,37245.10358
1.477722178,37218.52515
1.478317711,37226.88306
1.476332602,37197.88534
1.476928134,37206.91075
1.476134091,37194.83036
1.480898352,37259.21497
1.48030282,37252.34483
1.479310265,37240.07698
1.479905798,37247.55379
1.477523667,37215.67251
1.478516222,37229.59379
1.477126645,37209.86024
1.481493885,37265.67646
1.481692396,37267.72669
1.481095073,37261.4021
1.480104309,37249.97359
1.479111754,37237.51345
1.478714732,37232.27202
1.477325156,37212.78236
1.482286311,37273.532
1.4820878,37271.65274
1.481293584,37263.55699
1.481890907,37269.7196
1.478913243,37234.91062
1.48248644,37275.36169
1.482684951,37277.11575
1.482883461,37278.81133
1.483081718,37280.42978
1.483280229,37281.99166
1.483478994,37283.47388
1.483677505,37284.88726
1.483876016,37286.23811
1.484075636,37287.51327
1.484274146,37288.7233
1.484471549,37289.85242
1.48467006,37290.92684
1.48486857,37291.93889
1.485069553,37292.89913
1.485268064,37293.79227
1.485464103,37294.62075
1.485662614,37295.4221
1.485861125,37296.17265
1.486059636,37296.88724
1.486258147,37297.57522
1.486456658,37298.23647
1.486655169,37298.88117
1.486853679,37299.50939
1.48705219,37300.13325
1.487250701,37300.75278
1.487449212,37301.37478
1.487647723,37302.0004
1.487846234,37302.63359
1.488044745,37303.29157
1.488243256,37303.95563
1.488441767,37304.64395
1.488640278,37305.35777
1.488838788,37306.09359
1.489037299,37306.86082
1.48923581,37307.6504
1.489434321,37308.47441
1.489632832,37309.3294
1.489831343,37310.20731
1.490029854,37311.12107
1.490228365,37312.05873
1.490426876,37313.02817
1.490625387,37314.02262
1.490823898,37315.04226
1.491022408,37316.08459
1.491220919,37317.15595
1.49141943,37318.22923
1.491616289,37319.34314
1.4918148,37320.45742
1.492014963,37321.60976
1.492213474,37322.76785
1.492411985,37323.93097
1.492609108,37325.11405
1.492807619,37326.31283
1.493007517,37327.52745
1.493206028,37328.7521
1.493404539,37329.99532
1.493603026,37331.23451
1.493801537,37332.50759
1.494000072,37333.77773
1.494198583,37335.06966
1.494397094,37336.37059
1.494596944,37337.69298
1.494795454,37339.02138
1.494992626,37340.35716
1.495191137,37341.70801
1.495389648,37343.06499
1.495589782,37344.43105
1.495788293,37345.79868
1.495985181,37347.16476
1.496183692,37348.52169
1.496382203,37349.88528
1.496580714,37351.23104
1.496779225,37352.55838
1.496977735,37353.87105
1.497176246,37355.17012
1.497374757,37356.43472
1.497573268,37357.67148
1.497771779,37358.87398
1.49797029,37360.0336
1.498168801,37361.15683
1.498367312,37362.22102
1.498565823,37363.23727
1.498764334,37364.18891
1.498962844,37365.07923
1.499161355,37365.8842
1.499359866,37366.62018
1.499558377,37367.26558
1.499756888,37367.82039
1.499955399,37368.26923
1.50015391,37368.61129
1.500352421,37368.84719
1.500550932,37368.958
1.500749443,37368.95555
1.500947954,37368.8089
1.501146464,37368.54001
1.501344975,37368.12766
1.501543486,37367.58768
1.501741997,37366.8875
1.501940508,37366.03245
1.502136499,37365.05617
1.50233501,37363.93307
1.502536041,37362.64424
1.502734552,37361.23956
1.502933063,37359.70219
1.503130416,37358.04611
1.503328927,37356.25218
1.503528595,37354.293
1.503727106,37352.22926
1.503925617,37350.05052
1.504124334,37347.76503
1.504322845,37345.38542
1.50452115,37342.94583
1.504719661,37340.42152
1.504918172,37337.83848
1.505118252,37335.19854
1.505316762,37332.52181
1.505513704,37329.82132
1.505712215,37327.0674
1.505910726,37324.29336
1.506110998,37321.47482
1.506309509,37318.65893
1.506506259,37315.84437
1.50670477,37313.01163
1.506903281,37310.1631
1.507101791,37307.31812
1.507300302,37304.47257
1.507498813,37301.63261
1.507697324,37298.78933
1.507895835,37295.95217
1.508094346,37293.12605
1.508292857,37290.31185
1.508491368,37287.51184
1.508689879,37284.712
1.50888839,37281.94581
1.509086901,37279.19252
1.509285411,37276.46856
1.509483922,37273.77512
1.509682433,37271.1183
1.509880944,37268.49804
1.510079455,37265.9364
1.510277966,37263.42163
1.510476477,37260.96818
1.510674988,37258.5826
1.510873499,37256.27158
1.51107201,37254.04269
1.51127052,37251.88928
1.511469031,37249.84184
1.511667542,37247.87761
1.511866053,37246.04505
1.512064564,37244.30468
1.512263075,37242.69278
1.512461586,37241.19657
1.512657807,37239.84514
1.512856318,37238.60763
1.513057119,37237.48016
1.513255629,37236.51004
1.428888496,37391.86737
1.429087007,37395.4107
1.443977075,37733.88171
1.429285518,37399.08089
1.443776814,37734.51721
1.429482366,37402.87946
1.443578303,37734.81094
1.429680877,37406.84883
1.443379792,37734.88055
1.429881051,37411.00113
1.443182832,37734.62952
1.430079561,37415.27738
1.442984321,37734.12418
1.430278072,37419.67729
1.442784259,37733.31247
1.430475178,37424.19345
1.442585748,37732.25463
1.438814041,37672.45805
1.439012552,37677.11456
1.430673689,37428.87248
1.442387237,37730.92129
1.437225954,37630.27082
1.437424465,37635.97381
1.43861553,37667.64247
1.439211063,37681.6294
1.430873605,37433.74698
1.431072116,37438.72348
1.442188914,37729.35004
1.437027443,37624.4472
1.437622976,37641.56631
1.438417019,37662.69062
1.439409574,37685.98104
1.434049779,37528.00919
1.433851269,37521.43994
1.433455859,37508.46797
1.433654369,37514.94215
1.431270627,37443.83371
1.440402128,37705.37717
1.440600639,37708.76552
1.441990403,37727.50653
1.436828932,37618.51049
1.437821487,37647.03768
1.438218508,37657.60437
1.439608085,37690.1911
1.435439356,37574.37535
1.435637867,37580.9109
1.435240845,37567.80306
1.435042334,37561.1838
1.43424829,37534.61771
1.433255736,37502.04747
1.432263181,37471.43676
1.432463013,37477.36007
1.431469095,37449.08544
1.440201079,37701.79009
1.44079915,37711.9933
1.441791705,37725.44483
1.436630421,37612.47313
1.438019998,37652.38529
1.439806596,37694.22299
1.43643191,37606.33734
1.436233399,37600.09977
1.435836378,37587.37483
1.434843823,37554.54957
1.434446801,37541.25448
1.433057225,37495.73027
1.43206467,37465.65851
1.432661524,37483.3897
1.431667606,37454.47153
1.440002568,37698.05994
1.440996486,37715.04112
1.441593194,37723.14052
1.436034889,37593.78109
1.432858714,37489.49408
1.434645312,37547.90105
1.43186616,37459.99935
1.441194997,37717.93084
1.441394683,37720.64382
1.645066868,36485.60862
1.645265379,36483.729
1.640900061,36544.89298
1.641098572,36541.36407
1.647051978,36470.44586
1.644868358,36487.575
1.64546389,36481.94408
1.640699629,36548.51819
1.641295161,36537.88966
1.646853467,36471.62374
1.644669847,36489.62816
1.645662401,36480.23373
1.639707074,36566.95331
1.639907421,36563.17607
1.640501118,36552.15078
1.641493672,36534.4526
1.646652921,36472.90193
1.644471336,36491.78041
1.645860912,36478.61372
1.641692183,36531.076
1.639508563,36570.70009
1.640105931,36559.47659
1.640302607,36555.8089
1.643478781,36503.89339
1.643677292,36501.2949
1.638317498,36593.21485
1.638118096,36596.94001
1.64645441,36474.21909
1.644272825,36494.01524
1.646059423,36477.06411
1.642089205,36524.50709
1.642287716,36521.32246
1.641890694,36527.75162
1.639310052,36574.45409
1.64328027,36506.59359
1.643875803,36498.77135
1.638516009,36589.4864
1.637919585,36600.64847
1.646257934,36475.60568
1.644074314,36496.35538
1.642486227,36518.21742
1.639112014,36578.21005
1.643081759,36509.37291
1.63871452,36585.73291
1.637721965,36604.29641
1.638913503,36581.97173
1.642684738,36515.19213
1.642883249,36512.23624
1.636729411,36622.15239
1.636925668,36618.70157
1.637523454,36607.9405
1.635538345,36641.96371
1.635339834,36645.03424
1.633553236,36668.87575
1.633354725,36671.05254
1.6365309,36625.59188
1.637124179,36615.1724
1.637324943,36611.5561
1.635736856,36638.81422
1.635141323,36648.02976
1.633751747,36666.59616
1.633156214,36673.13807
1.630577356,36691.25209
1.630774084,36690.415
1.636332389,36628.99219
1.635935367,36635.6044
1.634942812,36650.95443
1.633950258,36664.2237
1.632957703,36675.11893
1.630378845,36692.01199
1.630972594,36689.48809
1.636133878,36632.32352
1.634744302,36653.78143
1.634148769,36661.75148
1.632759193,36677.0007
1.627596788,36692.94874
1.627398277,36692.37786
1.628788975,36694.70328
1.628590706,36694.63169
1.630178551,36692.68641
1.631171105,36688.47875
1.634545791,36656.52762
1.63434728,36659.18492
1.632560682,36678.78898
1.62779642,36693.4501
1.627200887,36691.73222
1.628987485,36694.68796
1.628392195,36694.45903
1.625811311,36685.67413
1.626009822,36686.67556
1.62998004,36693.26372
1.631369616,36687.38814
1.632362171,36680.46931
1.627994931,36693.87492
1.627002376,36691.03012
1.629185996,36694.58395
1.628193442,36694.21381
1.6256128,36684.67028
1.626208333,36687.62316
1.622039604,36674.6592
1.622238115,36674.35666
1.629781529,36693.73238
1.631568127,36686.19998
1.63216366,36682.05798
1.626803865,36690.25442
1.629386113,36694.38909
1.625414289,36683.63864
1.62640436,36688.54218
1.621841093,36675.07105
1.622436626,36674.21144
1.624223224,36677.91482
1.624421735,36678.77607
1.619857629,36686.62909
1.620056139,36684.87071
1.629584623,36694.10429
1.631766638,36684.91875
1.631965149,36683.53765
1.626602871,36689.42617
1.625215778,36682.61681
1.621642582,36675.63357
1.622635137,36674.17505
1.624024713,36677.1465
1.624620246,36679.66934
1.618664918,36699.80527
1.618864805,36697.32408
1.619657473,36688.56268
1.620253006,36683.22338
1.620650028,36680.36795
1.620848538,36679.13313
1.625017267,36681.60669
1.624818756,36680.62096
1.621444071,36676.30187
1.622833647,36674.28301
1.623826202,36676.42154
1.618466408,36702.37464
1.619063315,36694.96859
1.620451517,36681.7298
1.619458962,36690.58117
1.621047049,36678.06539
1.62124556,36677.10429
1.623032158,36674.48689
1.623627691,36675.80177
1.618267897,36705.027
1.619260451,36692.72284
1.61707548,36722.78117
1.623230669,36674.83045
1.62342918,36675.25479
1.616876969,36726.02269
1.618069398,36707.77765
1.617275342,36719.60089
1.616679809,36729.30216
1.617870887,36710.61303
1.617473853,36716.53348
1.616481299,36732.69187
1.617672364,36713.52621
1.616282788,36736.15058
1.616082647,36739.70129
1.615884136,36743.31324
1.615687255,36746.96477
1.615488744,36750.69775
1.615290233,36754.51791
1.615091722,36758.39332
1.614893211,36762.3474
1.6146947,36766.3533
1.61449619,36770.42666
1.614297679,36774.55866
1.614099168,36778.75868
1.613900657,36782.99944
1.613702146,36787.31127
1.613503635,36791.66468
1.613305124,36796.07569
1.613106613,36800.52323
1.612908102,36805.0196
1.612709591,36809.55621
1.612511081,36814.12705
1.61231257,36818.7323
1.612114059,36823.35363
1.611915548,36828.01429
1.611717037,36832.68908
1.611518526,36837.37279
1.611320015,36842.07176
1.611121504,36846.77523
1.610922993,36851.48018
1.610724482,36856.18567
1.610525972,36860.8757
1.610327461,36865.56426
1.61012895,36870.23766
1.609930439,36874.89049
1.609731928,36879.5224
1.609535925,36884.10465
1.609337414,36888.68922
1.609136395,36893.31354
1.608937884,36897.86688
1.608739373,36902.39828
1.608542007,36906.89246
1.608343497,36911.36916
1.608143841,36915.85613
1.60794533,36920.29585
1.607746819,36924.70623
1.60754809,36929.09339
1.607349579,36933.44535
1.607151286,36937.77185
1.606952775,36942.05825
1.606754264,36946.31658
1.606554172,36950.56423
1.606355661,36954.73632
1.606158732,36958.84672
1.605960221,36962.93913
1.60576171,36966.99391
1.60556143,36971.02563
1.605362919,36974.96489
