Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Position[Y] (m)
1.887920144,0.231807446
1.887672551,0.231777045
1.887424412,0.231746578
1.887175729,0.231716043
1.88692759,0.231685576
1.886679451,0.231655108
1.886431313,0.23162464
1.886183174,0.231594173
1.885935035,0.231563705
1.885684716,0.23153297
1.885436577,0.231502502
1.88519062,0.231472302
1.884942481,0.231441835
1.884694342,0.231411367
1.884446204,0.2313809
1.884198065,0.231350432
1.883949926,0.231319964
1.883698838,0.231289135
1.883450699,0.231258667
1.883205511,0.231228562
1.882957372,0.231198094
1.882709233,0.231167627
1.882461095,0.231137159
1.882212956,0.231106691
1.881964817,0.231076224
1.881716679,0.231045756
1.88146854,0.231015289
1.881220402,0.230984821
1.880972263,0.230954353
1.880724124,0.230923886
1.880475986,0.230893418
1.880227847,0.230862951
1.879979708,0.230832483
1.87973157,0.230802015
1.879483431,0.230771548
1.879235292,0.23074108
1.878987154,0.230710613
1.878739015,0.230680145
1.878490877,0.230649677
1.876753906,0.230436404
1.877002045,0.230466872
1.873775819,0.230070741
1.874023957,0.230101209
1.876505768,0.230405937
1.877250183,0.230497339
1.878242738,0.23061921
1.873528104,0.230040326
1.87427252,0.230131728
1.876257629,0.230375469
1.877498322,0.230527807
1.877997623,0.230589113
1.873279965,0.230009858
1.874520659,0.230162196
1.876011792,0.230345284
1.877749484,0.230558646
1.870302302,0.229644247
1.870052039,0.229613519
1.873031827,0.22997939
1.874768797,0.230192664
1.875763654,0.230314817
1.870550441,0.229674714
1.8698039,0.229583051
1.872783688,0.229948923
1.875016936,0.230223131
1.875513213,0.230284066
1.870798579,0.229705182
1.869557886,0.229552844
1.87253555,0.229918455
1.875265074,0.230253599
1.871046718,0.22973565
1.869309747,0.229522377
1.872287411,0.229887988
1.865835807,0.22909583
1.865587668,0.229065363
1.871294856,0.229766117
1.868069054,0.229370039
1.868317193,0.229400506
1.869061609,0.229491909
1.872036122,0.229857133
1.852686561,0.227481306
1.852438423,0.227450838
1.861369311,0.228547414
1.86161745,0.228577881
1.866086401,0.229126599
1.865339529,0.229034895
1.871542995,0.229796585
1.867820916,0.229339571
1.868565332,0.229430974
1.86881347,0.229461441
1.871787983,0.229826666
1.852932598,0.227511515
1.852188182,0.227420113
1.861121173,0.228516946
1.861865589,0.228608349
1.863602559,0.228821622
1.86335442,0.228791154
1.865091391,0.229004427
1.86633454,0.229157067
1.867572777,0.229309103
1.853180737,0.227541983
1.851940043,0.227389645
1.859136064,0.228273205
1.858887925,0.228242738
1.86211506,0.22863898
1.860873034,0.228486478
1.863850698,0.228852089
1.863106282,0.228760687
1.864843252,0.22897396
1.866580222,0.229187233
1.867324638,0.229278636
1.853428875,0.227572451
1.851691905,0.227359177
1.859384202,0.228303673
1.858639786,0.22821227
1.862363199,0.228669448
1.860624895,0.228456011
1.864101275,0.228882857
1.862858143,0.228730219
1.864595113,0.228943492
1.866828361,0.229217701
1.8670765,0.229248168
1.853677014,0.227602918
1.851443766,0.22732871
1.854669568,0.227724789
1.854917707,0.227755256
1.859632341,0.22833414
1.858389173,0.228181499
1.862610004,0.228699752
1.860375363,0.228425372
1.864349414,0.228913324
1.849706796,0.227115437
1.849954934,0.227145904
1.847473548,0.226841228
1.847721687,0.226871696
1.853925152,0.227633386
1.851195628,0.227298242
1.85442143,0.227694321
1.855165846,0.227785724
1.856406539,0.227938062
1.856654677,0.227968529
1.85988048,0.228364608
1.858141034,0.228151031
1.860127225,0.228394905
1.849458657,0.227084969
1.850203073,0.227176372
1.84722541,0.226810761
1.847969825,0.226902164
1.854173291,0.227663853
1.850947489,0.227267775
1.855413984,0.227816191
1.8561584,0.227907594
1.856902816,0.227998997
1.857895371,0.228120867
1.850454301,0.227207219
1.849210519,0.227054502
1.846977271,0.226780293
1.848217964,0.226932631
1.85070244,0.227237686
1.855662123,0.227846659
1.855910261,0.227877127
1.857150955,0.228029464
1.857647232,0.2280904
1.84896238,0.227024034
1.84672677,0.226749536
1.848466466,0.226963143
1.845488439,0.226597488
1.845240301,0.22656702
1.857399093,0.228059932
1.848714605,0.226993611
1.846478631,0.226719068
1.845736578,0.226627955
1.844992162,0.226536552
1.846232855,0.22668889
1.845984716,0.226658423
1.844740963,0.226505709
1.844492824,0.226475242
1.844247746,0.22644515
1.843999607,0.226414682
1.843751469,0.226384215
1.84350333,0.226353747
1.843255191,0.226323279
1.843007053,0.226292812
1.842758914,0.226262344
1.842510776,0.226231877
1.842262637,0.226201409
1.842014498,0.226170941
1.84176636,0.226140474
1.841518221,0.226110006
1.841270082,0.226079539
1.841021944,0.226049071
1.840773805,0.226018603
1.840525667,0.225988136
