Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: 1_cellAspectRatio
2.059594758,38.16236787
2.059296979,38.16236787
2.0589992,38.16236787
2.058701421,38.16236572
2.058403642,38.16236787
2.058105863,38.16236787
2.057808084,38.16236787
2.057510305,38.16236787
2.057212526,38.16236787
2.056914747,38.16236787
2.056614115,38.88410473
2.056318082,36.99886672
2.056023157,38.60413327
2.055723631,38.1623676
2.055425852,38.16236733
2.055128073,38.16236787
2.054830294,38.16236787
2.054532515,38.16236787
2.054234736,38.1623668
2.053936957,38.16236787
2.053639178,38.16236787
2.053341399,38.16236787
2.05304362,38.1623668
2.05274584,38.16236787
2.052448061,38.16236787
2.052150282,38.16236787
2.051852503,38.16236787
2.051554724,38.16236787
2.051256945,38.16236572
2.050959166,38.16236787
2.050661387,38.16236787
2.05036122,38.76653901
2.050064109,37.38902817
2.049768719,38.33153732
2.049470271,38.1623676
2.049172492,38.16236733
2.048874713,38.16236787
2.048576934,38.16236787
2.048279155,38.16236787
2.047981376,38.1623668
2.047683597,38.16236787
2.047385818,38.16236787
2.047088039,38.16236787
2.04679026,38.16236787
2.046492481,38.16236787
2.046194702,38.16236572
2.045896923,38.16236787
2.045599143,38.16236787
2.045301364,38.16236787
2.045003585,38.16236787
2.044705806,38.16236787
2.044408027,38.16236787
2.044106835,39.02567542
2.043808647,37.40237714
2.043514282,38.05905126
2.043216911,38.1623676
2.042919132,38.16236787
2.042621353,38.16236733
2.042323574,38.16236787
2.042025795,38.16236787
2.041728016,38.1623668
2.041430237,38.16236787
2.041132458,38.16236787
2.040834679,38.16236787
2.0405369,38.1623668
2.040239121,38.16236787
2.039941342,38.16236787
2.039643563,38.16236787
2.039345784,38.16236787
2.039048005,38.16236787
2.038750226,38.16236572
2.038452447,38.16236787
2.038154667,38.16236787
2.037854341,38.80663834
2.03755638,37.56406879
2.037263448,37.53482487
2.036965851,38.7439407
2.036665772,38.16236787
2.036367993,38.16236733
2.036070214,38.16236787
2.035772435,38.16236787
2.035474656,38.1623668
2.035176877,38.16236787
2.034879098,38.16236787
2.034581319,38.16236787
2.03428354,38.16236787
2.033985761,38.16236787
2.033687982,38.16236572
2.033390203,38.16236787
2.033092424,38.16236787
2.032794645,38.16236787
2.032496866,38.16236787
2.032199087,38.16236787
2.031901308,38.16236787
2.031603529,38.16236787
2.031304223,38.5485193
2.031009254,37.06541847
2.030713002,38.87316643
2.030412412,38.16236787
2.030114633,38.16236733
2.029816854,38.16236787
2.029519075,38.16236787
2.029221296,38.1623668
2.028923517,38.16236787
2.028625738,38.16236787
2.028327959,38.16236787
2.02803018,38.1623668
2.027732401,38.16236787
2.027434622,38.16236787
2.027136843,38.16236787
2.026839064,38.16236787
2.026541285,38.16236787
2.026243506,38.16236572
2.025945727,38.16236787
2.025647948,38.16236787
2.025350169,38.16236787
2.025049518,38.88870265
2.024753471,36.99795418
2.024458564,38.60044871
2.024159053,38.1623676
2.023861274,38.1623676
2.023563494,38.16236787
2.023265715,38.16236787
2.022967936,38.1623668
2.022670157,38.16236787
2.022372378,38.16236787
2.022074599,38.16236787
2.02177682,38.1623668
2.021479041,38.16236894
2.021181262,38.16236572
2.020883483,38.16236787
2.020585704,38.16236787
2.020287925,38.16236787
2.019990146,38.16236787
2.019692367,38.16236787
2.019394588,38.16236787
2.019096809,38.16236787
2.018796627,38.77003888
2.018499502,37.38920995
2.018204126,38.32785433
2.017905693,38.1623676
2.017607914,38.1623676
2.017310135,38.16236787
2.103070498,38.16236787
2.102772719,38.16236787
2.103368277,38.16236787
2.10247494,38.16236787
2.106643467,38.0664144
2.106346068,38.16236773
2.103666056,38.1623668
2.102177161,38.16236787
2.106937861,37.40201974
2.106048289,38.16236733
2.103963835,38.16236787
2.101879382,38.16236787
2.101283824,38.16236573
2.101581603,38.16236787
2.10575051,38.16236787
2.10723602,39.01867006
2.104261615,38.16236787
2.100983523,38.8003685
2.114386102,38.16236787
2.114683881,38.16236787
2.111408311,38.16236787
2.111706091,38.16236733
