x [m],Heat flux [MW/m^2]
1.494056880000000087e-01,5.775279049999999526e-01
1.500741690000000073e-01,5.771609419000000019e-01
1.507426500000000058e-01,5.767963509000000322e-01
1.514111310000000044e-01,5.764343298999999865e-01
1.520796120000000029e-01,5.760746168999999473e-01
1.527480930000000015e-01,5.757173004000000205e-01
1.534165740000000000e-01,5.753620154999999903e-01
1.540850549999999985e-01,5.750087996999999618e-01
1.547535359999999971e-01,5.746574557000000416e-01
1.554220169999999956e-01,5.743081822000000169e-01
1.560904979999999942e-01,5.739608366999999767e-01
1.567589789999999927e-01,5.736155099999999951e-01
1.574274749000000029e-01,5.732719563000000518e-01
1.580959557999999932e-01,5.729301109000000114e-01
1.587644367999999917e-01,5.725898383999999952e-01
1.594329177999999902e-01,5.722510766999999721e-01
1.601013987999999888e-01,5.719137457999999841e-01
1.607698797999999873e-01,5.715780428000000191e-01
1.614383608000000137e-01,5.712438359000000521e-01
1.621068418000000122e-01,5.709111666999999724e-01
1.627753228000000107e-01,5.705798548999999609e-01
1.634438038000000093e-01,5.702497412000000487e-01
1.641122848000000078e-01,5.699205000000000521e-01
1.647807658000000064e-01,5.695921794999999621e-01
1.654492468000000049e-01,5.692647601000000446e-01
1.661177278000000035e-01,5.689384879000000117e-01
1.667862086999999938e-01,5.686134399000000172e-01
1.674546896999999923e-01,5.682898070999999884e-01
1.681231706999999909e-01,5.679677118000000524e-01
1.687916516999999894e-01,5.676470948999999822e-01
1.694601475999999995e-01,5.673288572000000363e-01
1.701286285999999981e-01,5.670106476999999812e-01
1.707971095999999966e-01,5.666939091999999567e-01
1.714655905999999952e-01,5.663805598000000163e-01
1.721340715999999937e-01,5.660679124999999923e-01
1.728025525999999923e-01,5.657563969000000137e-01
1.734710335999999908e-01,5.654464210999999851e-01
1.741395145999999894e-01,5.651370260000000423e-01
1.748079955999999879e-01,5.648304661999999920e-01
1.754764765999999865e-01,5.645254923000000424e-01
1.761449575000000045e-01,5.642198746000000042e-01
1.768134385000000031e-01,5.639164312000000123e-01
1.774819195000000016e-01,5.636148045000000106e-01
1.781504005000000002e-01,5.633147493000000283e-01
1.788188814999999987e-01,5.630161486000000437e-01
1.794873624999999973e-01,5.627189929999999451e-01
1.801558434999999958e-01,5.624231678000000123e-01
1.808243394000000059e-01,5.621286651000000356e-01
1.814928204000000045e-01,5.618354181000000391e-01
1.821613014000000030e-01,5.615435102000000400e-01
1.828297824000000016e-01,5.612528750999999927e-01
