x [m],Heat flux [MW/m^2]
1.193240061000000046e-01,6.440544360000000079e-01
1.199924871000000032e-01,6.434583069000000544e-01
1.206609681000000017e-01,6.428688515999999575e-01
1.213294491000000003e-01,6.422877984000000540e-01
1.219979300999999988e-01,6.417126388999999653e-01
1.226664110999999974e-01,6.411403129999999617e-01
1.233348920999999959e-01,6.405693009999999799e-01
1.240033804999999961e-01,6.399998479999999823e-01
1.246718614999999947e-01,6.394330556999999748e-01
1.253403425000000071e-01,6.388692110000000479e-01
1.260088235000000056e-01,6.383081359000000177e-01
1.266773045000000042e-01,6.377501778999999926e-01
1.273457855000000027e-01,6.371973640000000438e-01
1.280142665000000013e-01,6.366518727000000100e-01
1.286827474999999998e-01,6.361135896999999817e-01
1.293512284999999984e-01,6.355802954999999477e-01
1.300197094999999969e-01,6.350493078000000180e-01
1.306881904999999955e-01,6.345193900000000164e-01
1.313566714999999940e-01,6.339907772999999747e-01
1.320251524000000121e-01,6.334642634999999578e-01
1.326936482999999944e-01,6.329399660000000205e-01
1.333621292999999930e-01,6.324176540000000513e-01
1.340306102999999915e-01,6.318972106000000366e-01
1.346990912999999901e-01,6.313798600000000150e-01
1.353675722999999886e-01,6.308675456000000237e-01
1.360360532999999872e-01,6.303616145999999532e-01
1.367045343000000135e-01,6.298613446999999921e-01
1.373730153000000120e-01,6.293645123000000119e-01
1.380414963000000106e-01,6.288689484999999690e-01
1.387099773000000091e-01,6.283741821999999644e-01
1.393784583000000077e-01,6.278807237000000319e-01
1.400469393000000062e-01,6.273890735999999579e-01
1.407154201999999965e-01,6.268998636999999485e-01
1.413839011999999951e-01,6.264129537000000525e-01
1.420523821999999936e-01,6.259281141000000437e-01
1.427208631999999922e-01,6.254459170999999706e-01
1.433893441999999907e-01,6.249677552000000302e-01
1.440578251999999893e-01,6.244953963999999580e-01
1.447263210999999994e-01,6.240294672999999737e-01
1.453948020999999979e-01,6.235682663999999598e-01
1.460632830999999965e-01,6.231096573000000083e-01
1.467317640999999950e-01,6.226517815000000011e-01
1.474002450999999936e-01,6.221947061000000501e-01
1.480687260999999921e-01,6.217385109999999937e-01
1.487372070999999907e-01,6.212849825999999798e-01
1.494056880000000087e-01,6.208319078999999796e-01
1.500741690000000073e-01,6.203803471000000069e-01
1.507426500000000058e-01,6.199321236000000512e-01
1.514111310000000044e-01,6.194836661000000522e-01
1.520796120000000029e-01,6.190388695999999857e-01
1.527480930000000015e-01,6.185988413999999880e-01
1.534165740000000000e-01,6.181626382999999558e-01
1.540850549999999985e-01,6.177323207999999566e-01
1.547535359999999971e-01,6.173053377999999647e-01
1.554220169999999956e-01,6.168795917999999601e-01
1.560904979999999942e-01,6.164539895999999741e-01
1.567589789999999927e-01,6.160290223000000065e-01
1.574274749000000029e-01,6.156052931000000061e-01
1.580959557999999932e-01,6.151834841000000109e-01
1.587644367999999917e-01,6.147635527999999461e-01
1.594329177999999902e-01,6.143453381000000268e-01
1.601013987999999888e-01,6.139283879000000388e-01
1.607698797999999873e-01,6.135127554000000538e-01
1.614383608000000137e-01,6.130987650000000455e-01
1.621068418000000122e-01,6.126877389999999535e-01
1.627753228000000107e-01,6.122809432000000385e-01
1.634438038000000093e-01,6.118789494999999912e-01
1.641122848000000078e-01,6.114808766999999534e-01
1.647807658000000064e-01,6.110849890999999756e-01
1.654492468000000049e-01,6.106897955000000211e-01
1.661177278000000035e-01,6.102945079999999578e-01
1.667862086999999938e-01,6.099004986999999600e-01
1.674546896999999923e-01,6.095061400000000296e-01
1.681231706999999909e-01,6.091132385999999954e-01
1.687916516999999894e-01,6.087241423999999457e-01
1.694601475999999995e-01,6.083361092000000303e-01
1.701286285999999981e-01,6.079495306000000099e-01
1.707971095999999966e-01,6.075643254999999465e-01
1.714655905999999952e-01,6.071805416000000122e-01
1.721340715999999937e-01,6.067985309000000216e-01
1.728025525999999923e-01,6.064195789999999864e-01
1.734710335999999908e-01,6.060444452000000037e-01
1.741395145999999894e-01,6.056738594999999670e-01
1.748079955999999879e-01,6.053063370000000276e-01
1.754764765999999865e-01,6.049402565999999482e-01
1.761449575000000045e-01,6.045747430000000255e-01
1.768134385000000031e-01,6.042091966999999508e-01
