x [m],Heat flux [MW/m^2]
5.916064232999999895e-02,6.370827259000000353e-01
5.982912331999999667e-02,6.359565407999999698e-01
6.049760431000000133e-02,6.348515563000000084e-01
6.116608529999999905e-02,6.337678879000000487e-01
6.183456629999999760e-02,6.327067817000000538e-01
6.250304729000000226e-02,6.316635480000000191e-01
6.317152827999999998e-02,6.306376849999999479e-01
6.384001672000000349e-02,6.296301999000000205e-01
6.450849771000000121e-02,6.286345017000000146e-01
6.517697870999999976e-02,6.276492137000000415e-01
6.584545969999999748e-02,6.266745206999999596e-01
6.651394068999999520e-02,6.257113202999999846e-01
6.718242168000000680e-02,6.247607333000000374e-01
6.785090268000000535e-02,6.238235193000000178e-01
6.851938367000000307e-02,6.228997691000000003e-01
6.918786466000000079e-02,6.219889133999999542e-01
6.985635310000000431e-02,6.210903454999999740e-01
7.052483410000000286e-02,6.202037743999999631e-01
7.119331509000000058e-02,6.193288622999999493e-01
7.186179607999999830e-02,6.184653987999999547e-01
7.253027706999999602e-02,6.176126116000000277e-01
7.319875806999999457e-02,6.167702082999999558e-01
7.386723906000000617e-02,6.159361172999999745e-01
7.453572005000000389e-02,6.151138283999999512e-01
7.520420104000000161e-02,6.143018733999999759e-01
7.587268949000000595e-02,6.134966576000000504e-01
7.654117048000000367e-02,6.127014050000000323e-01
7.720965147000000139e-02,6.119152679999999567e-01
7.787813245999999912e-02,6.111375345999999764e-01
7.854661344999999684e-02,6.103682004999999577e-01
7.921509444999999539e-02,6.096075225000000541e-01
7.988357543999999311e-02,6.088554900999999520e-01
8.055205643000000471e-02,6.081115290999999923e-01
8.122053742000000243e-02,6.073746263999999506e-01
8.188902587000000677e-02,6.066437515999999475e-01
8.255750686000000449e-02,6.059190083000000060e-01
8.322598785000000221e-02,6.052019365999999900e-01
8.389446883999999993e-02,6.044950611999999612e-01
8.456294983999999848e-02,6.038009251000000521e-01
8.523143082999999620e-02,6.031205370000000121e-01
8.589991181999999392e-02,6.024525660999999754e-01
8.656839281000000552e-02,6.017935274000000279e-01
8.723687381000000407e-02,6.011389064000000060e-01
8.790536224999999371e-02,6.004845607000000030e-01
8.857384324000000531e-02,5.998282454000000152e-01
8.924232423000000303e-02,5.991701434999999742e-01
8.991080523000000158e-02,5.985125004000000359e-01
9.057928621999999930e-02,5.978581791999999506e-01
9.124776720999999702e-02,5.972100496000000147e-01
9.191624819999999474e-02,5.965697293999999706e-01
9.258472919000000634e-02,5.959379863999999527e-01
9.325321019000000489e-02,5.953143261000000130e-01
9.392169862999999452e-02,5.946979599999999699e-01
9.459017962000000612e-02,5.940879037999999834e-01
9.525866061000000384e-02,5.934833307000000335e-01
9.592714161000000239e-02,5.928835232000000399e-01
9.659562260000000011e-02,5.922879975000000519e-01
9.726410358999999783e-02,5.916968352000000486e-01
9.793258457999999556e-02,5.911104952000000301e-01
