x [m],Pressure [kPa]
2.704008817999999925e-01,1.540393000999999984e+01
2.710693777000000027e-01,1.540390610999999943e+01
2.717378736000000128e-01,1.540383843999999947e+01
2.724063395999999915e-01,1.540374146999999994e+01
2.730748355000000016e-01,1.540362211999999964e+01
2.737433015999999886e-01,1.540349658000000055e+01
2.744117974999999987e-01,1.540336798999999957e+01
2.750802635999999857e-01,1.540324095999999976e+01
2.757487594999999958e-01,1.540311454999999974e+01
2.764172255999999828e-01,1.540298298000000088e+01
2.770857214999999929e-01,1.540284184000000067e+01
2.777541875999999799e-01,1.540269389999999916e+01
2.784226834999999900e-01,1.540254011999999939e+01
2.790911495999999770e-01,1.540239067999999989e+01
2.797596454999999871e-01,1.540225509999999964e+01
2.804281115999999741e-01,1.540214427999999991e+01
2.810966073999999759e-01,1.540206174000000061e+01
2.817650735000000184e-01,1.540199888000000072e+01
2.824335693999999730e-01,1.540193919999999927e+01
2.831020355000000155e-01,1.540187058999999969e+01
2.837705314000000256e-01,1.540178489000000006e+01
2.844390272999999802e-01,1.540168028000000078e+01
2.851074934000000227e-01,1.540155075000000018e+01
2.857759892999999773e-01,1.540140723000000023e+01
2.864444554000000198e-01,1.540126073999999967e+01
2.871129512999999744e-01,1.540112573000000040e+01
2.877814174000000169e-01,1.540102757000000011e+01
2.884499133000000270e-01,1.540098039999999990e+01
2.891183794000000140e-01,1.540100181999999940e+01
2.897868752000000159e-01,1.540110023000000083e+01
2.904553413000000028e-01,1.540126457000000038e+01
2.911238372000000130e-01,1.540146748000000088e+01
2.917923032999999999e-01,1.540168727000000004e+01
2.924607992000000101e-01,1.540189170000000018e+01
2.931292652999999970e-01,1.540204211000000001e+01
2.937977612000000072e-01,1.540211921999999944e+01
2.944662272999999941e-01,1.540210940000000051e+01
2.951347232000000043e-01,1.540201311000000040e+01
2.958032191000000144e-01,1.540183125000000075e+01
2.964716852000000014e-01,1.540158695999999949e+01
2.971401811000000115e-01,1.540129828999999972e+01
2.978086471999999985e-01,1.540098633000000028e+01
2.984771430000000003e-01,1.540067067999999928e+01
2.991456090999999873e-01,1.540037382000000044e+01
2.998141049999999974e-01,1.540010602000000084e+01
3.004825710999999844e-01,1.539987396000000075e+01
3.011510669999999945e-01,1.539967586000000033e+01
3.018195330999999815e-01,1.539951654000000048e+01
3.024880289999999916e-01,1.539939576999999993e+01
3.031564950999999786e-01,1.539930632000000088e+01
3.038249909999999887e-01,1.539923794000000079e+01
3.044934570999999757e-01,1.539917495000000081e+01
3.051619529999999858e-01,1.539910202999999989e+01
3.058304190999999728e-01,1.539901571000000047e+01
3.064989149999999829e-01,1.539891120000000058e+01
3.071673810000000171e-01,1.539879694999999948e+01
3.078358769000000272e-01,1.539867646999999984e+01
3.085043727999999819e-01,1.539855473000000075e+01
3.091728389000000243e-01,1.539843360000000061e+01
3.098413347999999790e-01,1.539831299999999992e+01
3.105098009000000214e-01,1.539819123999999917e+01
3.111782967999999761e-01,1.539807322999999961e+01
3.118467629000000185e-01,1.539795254000000035e+01
3.125152587999999731e-01,1.539782899999999977e+01
3.131837249000000156e-01,1.539769590999999949e+01
3.138522208000000258e-01,1.539754856999999966e+01
3.145206869000000127e-01,1.539738533999999959e+01
3.151891828000000229e-01,1.539720136000000039e+01
3.158576488000000015e-01,1.539700975999999955e+01
3.165261447000000117e-01,1.539681584999999941e+01
3.171946107999999986e-01,1.539663419000000033e+01
3.178631067000000088e-01,1.539647622999999932e+01
3.185315727999999957e-01,1.539636128000000070e+01
3.192000687000000059e-01,1.539629421000000065e+01
3.198685646000000160e-01,1.539628107000000057e+01
3.205370307000000030e-01,1.539632154999999969e+01
3.212055266000000131e-01,1.539641035000000002e+01
3.218739927000000001e-01,1.539652960999999998e+01
3.225424886000000102e-01,1.539666770999999912e+01
3.232109546999999972e-01,1.539680685000000082e+01
3.238794506000000073e-01,1.539693246000000038e+01
3.245479166999999943e-01,1.539702561000000003e+01
3.252164124999999961e-01,1.539707356999999988e+01
3.258848785999999831e-01,1.539706709000000018e+01
3.265533744999999932e-01,1.539700631999999914e+01
3.272218405999999802e-01,1.539688869999999987e+01
3.278903364999999903e-01,1.539672391999999945e+01
3.285588025999999773e-01,1.539652026999999990e+01
3.292272984999999874e-01,1.539629043999999958e+01
3.298957645999999744e-01,1.539603484999999949e+01
3.305642604999999845e-01,1.539576927999999967e+01
3.312327266000000270e-01,1.539551420999999998e+01
3.319012224999999816e-01,1.539528514000000037e+01
3.325697183999999917e-01,1.539509619999999934e+01
3.332381844999999787e-01,1.539495643000000058e+01
3.339066802999999806e-01,1.539487173999999925e+01
3.345751464000000230e-01,1.539482925000000080e+01
3.352436422999999777e-01,1.539481344000000007e+01
3.359121084000000201e-01,1.539481782000000010e+01
3.365806042999999748e-01,1.539482834999999916e+01
3.372490704000000172e-01,1.539483103999999969e+01
3.379175663000000274e-01,1.539481997999999940e+01
3.385860324000000143e-01,1.539479511999999950e+01
3.392545283000000245e-01,1.539475501000000079e+01
3.399229944000000114e-01,1.539469811999999926e+01
3.405914903000000216e-01,1.539462325999999948e+01
3.412599564000000085e-01,1.539454105000000084e+01
3.419284523000000187e-01,1.539445459000000049e+01
3.425969182999999973e-01,1.539436989000000011e+01
3.432654142000000075e-01,1.539428711999999955e+01
3.439338802999999944e-01,1.539420619999999928e+01
3.446023762000000046e-01,1.539413163000000040e+01
3.452708721000000147e-01,1.539406478999999983e+01
3.459393382000000017e-01,1.539399981999999945e+01
3.466078341000000118e-01,1.539394107000000034e+01
3.472763001999999988e-01,1.539388706999999989e+01
3.479447961000000089e-01,1.539383914000000075e+01
3.486132621999999959e-01,1.539379152000000062e+01
3.492817581000000060e-01,1.539374557000000010e+01
3.499502241999999930e-01,1.539370274000000016e+01
3.506187201000000031e-01,1.539366593999999999e+01
3.512871860999999818e-01,1.539362786999999955e+01
3.519556819999999919e-01,1.539359143000000074e+01
3.526241480999999789e-01,1.539355809999999991e+01
3.532926439999999890e-01,1.539352330000000002e+01
3.539611100999999760e-01,1.539348284999999983e+01
3.546296059999999861e-01,1.539343084999999967e+01
3.552980720999999731e-01,1.539337021999999955e+01
3.559665679999999832e-01,1.539330243000000031e+01
3.566350638999999934e-01,1.539322478000000061e+01
3.573035299999999803e-01,1.539313865999999997e+01
3.579720258999999905e-01,1.539304128000000027e+01
3.586404919999999774e-01,1.539293252999999950e+01
3.593089878999999875e-01,1.539280980000000021e+01
3.599774539000000217e-01,1.539267599999999980e+01
3.606459497999999764e-01,1.539254266000000015e+01
3.613144159000000188e-01,1.539241980999999981e+01
3.619829117999999735e-01,1.539231187000000034e+01
3.626513779000000159e-01,1.539222301000000037e+01
3.633198738000000261e-01,1.539215448000000031e+01
3.639883399000000130e-01,1.539209899999999998e+01
3.646568358000000232e-01,1.539204950000000061e+01
3.653253019000000101e-01,1.539200306000000040e+01
3.659937978000000203e-01,1.539195536000000075e+01
3.666622639000000072e-01,1.539190488000000023e+01
3.673307598000000174e-01,1.539184904000000031e+01
3.679992557000000275e-01,1.539178773999999983e+01
3.686677217000000062e-01,1.539172100999999948e+01
3.693362176000000163e-01,1.539165303000000051e+01
