x [m],Pressure [kPa]
1.346990912999999901e-01,1.541012103999999994e+01
1.353675722999999886e-01,1.540992469000000042e+01
1.360360532999999872e-01,1.540972726999999942e+01
1.367045343000000135e-01,1.540953095999999967e+01
1.373730153000000120e-01,1.540934305000000037e+01
1.380414963000000106e-01,1.540916086999999912e+01
1.387099773000000091e-01,1.540898688000000050e+01
1.393784583000000077e-01,1.540881641000000002e+01
1.400469393000000062e-01,1.540864213999999954e+01
1.407154201999999965e-01,1.540846488999999941e+01
1.413839011999999951e-01,1.540828458999999917e+01
1.420523821999999936e-01,1.540809879000000038e+01
1.427208631999999922e-01,1.540790823000000032e+01
1.433893441999999907e-01,1.540770859000000037e+01
1.440578251999999893e-01,1.540749645000000001e+01
1.447263210999999994e-01,1.540727537000000069e+01
1.453948020999999979e-01,1.540704567999999952e+01
1.460632830999999965e-01,1.540681623000000044e+01
1.467317640999999950e-01,1.540658896000000055e+01
1.474002450999999936e-01,1.540636894999999917e+01
1.480687260999999921e-01,1.540615453999999929e+01
1.487372070999999907e-01,1.540595071000000083e+01
1.494056880000000087e-01,1.540575575999999991e+01
1.500741690000000073e-01,1.540557459999999956e+01
1.507426500000000058e-01,1.540540720999999991e+01
1.514111310000000044e-01,1.540526009000000052e+01
1.520796120000000029e-01,1.540512803999999925e+01
1.527480930000000015e-01,1.540500897999999985e+01
1.534165740000000000e-01,1.540489786000000016e+01
1.540850549999999985e-01,1.540479432000000060e+01
1.547535359999999971e-01,1.540469517000000010e+01
1.554220169999999956e-01,1.540460344000000070e+01
1.560904979999999942e-01,1.540451926999999976e+01
1.567589789999999927e-01,1.540444236999999994e+01
1.574274749000000029e-01,1.540436786000000069e+01
1.580959557999999932e-01,1.540429388000000088e+01
1.587644367999999917e-01,1.540421734000000065e+01
1.594329177999999902e-01,1.540413646999999919e+01
1.601013987999999888e-01,1.540405310999999955e+01
1.607698797999999873e-01,1.540396871999999995e+01
1.614383608000000137e-01,1.540388193000000072e+01
1.621068418000000122e-01,1.540379412000000059e+01
1.627753228000000107e-01,1.540369757000000028e+01
1.634438038000000093e-01,1.540359053999999972e+01
1.641122848000000078e-01,1.540346392000000009e+01
1.647807658000000064e-01,1.540332238999999959e+01
1.654492468000000049e-01,1.540316170000000007e+01
1.661177278000000035e-01,1.540299124000000042e+01
1.667862086999999938e-01,1.540281442999999939e+01
1.674546896999999923e-01,1.540263584000000030e+01
1.681231706999999909e-01,1.540245720999999968e+01
1.687916516999999894e-01,1.540227989999999991e+01
1.694601475999999995e-01,1.540210562000000039e+01
1.701286285999999981e-01,1.540194024000000006e+01
1.707971095999999966e-01,1.540177326999999963e+01
1.714655905999999952e-01,1.540160896000000079e+01
1.721340715999999937e-01,1.540144908000000079e+01
1.728025525999999923e-01,1.540129332000000062e+01
1.734710335999999908e-01,1.540113889000000036e+01
1.741395145999999894e-01,1.540098698999999982e+01
1.748079955999999879e-01,1.540082598000000047e+01
