"Region: Body 1.Ramp1: Position[X] (m)","Region: Body 1.Ramp1: Absolute Pressure (Pa)","Region: Body 1.Ramp2: Position[X] (m)","Region: Body 1.Ramp2: Absolute Pressure (Pa)"
1.78208902841191,3108.6617003907754,2.3873471477661763,77527.12250754531
1.7815927511569738,3108.938393851649,2.3869640068416986,77203.72006691304
1.7810964739020396,3109.2055811997507,2.3865808659194836,76878.5349009652
1.7805957140951059,3109.4656091994707,2.386197724999537,76553.40242502035
1.7800994360070814,3109.7113003689406,2.385814584077457,76233.88955251698
1.7796076421457212,3109.942682872599,2.385426604794071,75890.24148038756
1.7791113648907957,3110.1668225732724,2.385043460588543,75517.87534300308
1.7786150876358688,3110.381563460383,2.38466516131162,75102.42899798421
1.7781188103894208,3110.5889020836457,2.384282020389809,74623.93215632565
1.777622533134499,3110.7910270009056,2.383898879468066,74085.72669812023
1.7771262558795788,3110.9890180557145,2.383515738546391,73493.50284045105
1.7766240053254114,3111.1879479933614,2.3831325976247846,72887.3574927762
