"Region: Body 1.Ramp1: Position[X] (m)","Region: Body 1.Ramp1: Boundary Heat Flux (W/m^2)","Region: Body 1.Ramp2: Position[X] (m)","Region: Body 1.Ramp2: Boundary Heat Flux (W/m^2)"
1.8024363957725873,165600.6469178181,2.403052445593111,1761195.6577897351
1.8019401185260546,165606.54576801322,2.402672784691975,1759813.7677421756
1.801443841271048,165610.8510738276,2.4022896437693952,1757789.0665921671
1.8009475640160435,165613.61619596928,2.4019065028446778,1754424.6845872607
1.8004512867631592,165615.08785023913,2.4015233619178176,1759138.9543110924
1.7999550095138634,165615.92227161117,2.4011402209976143,1763838.796918124
1.7994587322567461,165616.33583415765,2.400761232640276,1770372.3484699782
1.798962455004516,165616.76240287907,2.400378094419243,1778640.3458006708
1.7984661777495219,165617.49010543805,2.3999907982241697,1787263.448170185
1.797969900494526,165618.86206428986,2.3996076573031084,1792583.5179190757
1.797473623248009,165621.38291138038,2.3992245163744093,1799151.4310040185
1.7969773459930183,165625.2060821196,2.3988413754512647,1797147.558979432
1.7964810687401478,165630.66434685793,2.3984582345314833,1795076.2521199882
1.7959847914871896,165637.27583757322,2.3980750936029662,1791063.9425843488
1.7954885142385595,165645.55197508913,2.397691952674507,1785550.2543973466
1.7949922369815483,165655.14417670574,2.3973088117549057,1781256.9149626978
1.7944959597265646,165666.0910455808,2.3969296429315197,1780034.4936420498
1.7939996824800597,165678.43433872983,2.3965465046189984,1777267.7915944764
1.7935034052250813,165691.93096249737,2.396159388983279,1783097.3410538444
1.7930071279701045,165706.63472713158,2.3957762480639264,1787370.9042610982
1.7925151426591084,165722.233636613,2.3953931071358388,1792362.333643714
1.7920188662049732,165738.92943777796,2.3950099662122075,1797370.2850025864
1.7915182962136602,165756.6573685333,2.394626825293042,1802515.9694033833
1.791022018958689,165774.95639389753,2.3942436843739356,1802872.64262213
1.7905257417037224,165793.82142308634,2.3938605434548945,1803948.781401473
1.7900294644487544,165813.12314819638,2.3934774025271195,1804044.235187442
1.7895331872022655,165832.58188771456,2.393095296843212,1803389.2761365874
1.7890369099473027,165852.2315012077,2.392712156612904,1803551.1646536533
1.7885444887111928,165871.90127448924,2.3923279797573644,1804658.7363016168
1.7880482121696992,165891.85445093364,2.3919448388309394,1805862.7898334144
1.7875480781908992,165912.2233665986,2.3915616979122767,1808894.059819433
1.787051800935945,165932.62653793115,2.3911785569925796,1811343.5069914414
1.7865555236809896,165953.41041556373,2.390795416067449,1814847.543588805
1.7860592464345133,165974.5791663574,2.3904122751445795,1817508.5052758446
1.785562969179563,165996.13657595217,2.390029134223976,1819925.2037819568
1.7850666919246143,166018.08528788853,2.38964599329684,1821822.9613778181
1.784571383872664,166040.2598443497,2.389260950795516,1822716.243647105
1.7840751068059206,166062.75236147363,2.388877808599803,1823183.859573775
1.7835778601682548,166085.2708460223,2.388496570529015,1823096.495454777
1.7830815829133118,166107.69213228952,2.388113429604336,1822248.3102023872
1.7825853056668477,166129.87037696503,2.3877302886863223,1820925.6670892173
1.78208902841191,166151.61894230638,2.3873471477661763,1819631.4155828338
1.7815927511569738,166172.80248234142,2.3869640068416986,1818244.9105560621
1.7810964739020396,166193.302503285,2.3865808659194836,1816915.8848046642
1.7805957140951059,166213.36526612658,2.386197724999537,1815979.1290607043
1.7800994360070814,166232.78541504405,2.385814584077457,1815014.994005913
1.7796076421457212,166251.41554695368,2.385426604794071,1813490.2318917299
1.7791113648907957,166269.75903590955,2.385043460588543,1811366.466424726
1.7786150876358688,166287.74445443042,2.38466516131162,1808190.9619837087
1.7781188103894208,166305.44648521766,2.384282020389809,1804117.054737229
1.777622533134499,166322.95462551247,2.383898879468066,1799035.7006497793
1.7771262558795788,166340.42822773475,2.383515738546391,1793544.7767702052
1.7766240053254114,166358.12326148432,2.3831325976247846,1788295.4834621716
1.776127726966334,166375.75743685383,2.3827494567032463,1783601.9006865919
1.7756374241233055,166393.33921593614,2.382366315781777,1779260.2676398223
1.7751411468683913,166411.43258961756,2.381983174860376,1776002.7864953466
1.774644869621956,166430.0460719457,2.381600033939044,1772677.6179673625
1.7741485923670466,166449.2289061807,2.3812168930177817,1769557.2217626348
1.7736523151121393,166469.0288556656,2.380833752096589,1766016.5108484458
1.773156037857234,166489.40675167833,2.380450611175466,1761818.4043000536
1.7726597606007486,166510.5622517392,2.3800674702544127,1756841.5446368447
1.7721634833458464,166532.3474586904,2.3796843293334295,1751290.1494531985
1.7716672061010021,166554.80206381995,2.379301188412517,1744799.089182227
1.7711709288461055,166577.76316760015,2.378921003780778,1737867.5595479915
1.7706746515912077,166601.06024674047,2.3785378649016056,1731444.9647360146
1.7701783743447888,166624.6370167965,2.378151765650203,1725640.642817894
1.769682097089896,166648.12653646804,2.3777686247306735,1721420.6265487066
1.7691858198339458,166671.55866044387,2.3773854838101163,1717822.8483693153
1.76868954257344,166694.47458648216,2.37700234288853,1715478.616914221
