Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Shear Stress[i] (Pa)
1.027197485,389.8669419
1.02690047,389.9019137
1.026599268,389.9394095
1.026301489,389.9779957
1.02600371,390.017822
1.025705931,390.0586031
1.025408152,390.1001393
1.025110373,390.1420315
1.024812594,390.1842722
1.024514815,390.225822
1.024217035,390.2664873
1.023919256,390.3062658
1.023621477,390.3443532
1.023323698,390.3799526
1.023025919,390.4131052
1.02272814,390.4429813
1.022430361,390.4696567
1.022132582,390.4932292
1.021834803,390.5124537
1.021537024,390.5272003
1.021237137,390.5388546
1.020941701,390.5459234
1.020646031,390.5487102
1.020345908,390.5486435
1.020048129,390.5452728
1.01975035,390.5384312
1.019452571,390.5281061
1.019154792,390.514454
1.018857013,390.4986579
1.018559234,390.480793
1.018261455,390.4615001
1.017963676,390.4412734
1.017665897,390.4210388
1.017368118,390.4011892
1.017070339,390.381964
1.016772559,390.3644438
1.01647478,390.3486268
1.016177001,390.3351361
1.015879222,390.3229315
1.015581443,390.3134924
1.015283664,390.3054619
1.014984064,390.3009165
1.014687551,390.2966868
0.86162968,400.6875605
0.861927459,400.6533647
0.862225238,400.6185552
0.864309692,400.3544695
0.864607471,400.3147425
0.862523017,400.5829389
0.864011913,400.3938497
0.86490525,400.2747065
0.862823068,400.5456236
0.863714134,400.4326419
0.865203029,400.2343285
0.863118647,400.5095188
0.863414156,400.4712207
0.865500808,400.1938277
0.868180819,399.8399105
0.868478598,399.8042424
0.865798587,400.1533258
0.866691924,400.0320624
0.866989703,399.9923843
0.86788304,399.8766865
0.868776377,399.7693723
0.866096366,400.112664
0.866394145,400.072289
0.867287482,399.9530241
0.867585261,399.9147001
0.869077506,399.7350146
0.87115861,399.5279606
0.871456389,399.5013763
0.86937443,399.70286
0.873243063,399.3495174
0.873540842,399.3241822
0.87086083,399.5550441
0.871754168,399.4754239
0.877709748,398.9443761
0.878007527,398.9129437
0.86966886,399.6714249
0.872945284,399.3745482
0.873838621,399.2988099
0.872051947,399.4497869
0.870563051,399.5826798
0.88336755,398.2209041
0.883069771,398.2626069
0.877411969,398.9751016
0.878305306,398.8805285
0.869967493,399.6407546
0.875327516,399.1691648
0.875625786,399.1427378
0.872647505,399.3995608
0.8741364,399.2733439
0.872349726,399.4248617
0.870265272,399.6113547
0.887834236,397.5982653
0.888133222,397.5586445
0.883665329,398.1787349
0.882771992,398.304043
0.87711419,399.0045932
0.878603085,398.8472462
0.875029737,399.1954866
0.875921476,399.1163881
0.874434179,399.2475011
0.887536457,397.6379737
0.888429124,397.5204553
0.883963108,398.1365603
0.880687539,398.5893188
0.880985318,398.5495913
0.882471312,398.346076
0.876816411,399.0334626
0.878900865,398.8128561
0.876218765,399.0890628
0.874731958,399.2217717
0.889918689,397.336767
0.887238678,397.6783095
0.888725696,397.4822935
0.88962091,397.3721327
0.885749782,397.8842631
0.886047561,397.8425728
0.884260887,398.0944719
0.88038976,398.6284339
0.881283097,398.5094488
0.882173663,398.3878176
0.876518632,399.061554
0.879198644,398.7776325
0.890216468,397.3022819
0.889025352,397.4445256
0.886940899,397.7188357
0.889323131,397.4081864
0.885452003,397.926136
0.88634534,397.8014347
0.884558666,398.0525875
0.880091981,398.66686
0.881580876,398.4690243
