x, heatflux
2.016693808000000310e+00,4.038887476000000024e+05
2.030199847000000002e+00,4.035617473999999929e+05
2.043288820999999977e+00,4.032512544999999809e+05
2.055966895000000072e+00,4.029423904999999795e+05
2.068241650999999681e+00,4.026516177000000025e+05
2.080119382999999544e+00,4.023686106000000145e+05
2.091608855999999683e+00,4.021015365999999922e+05
2.102717484999999886e+00,4.018408033000000287e+05
2.113453902999999467e+00,4.015990021999999881e+05
2.123825028999999809e+00,4.013614822000000277e+05
2.133840703999999810e+00,4.011389778999999980e+05
2.143509019999999765e+00,4.009211161999999895e+05
2.152839098999999923e+00,4.007205155999999843e+05
2.161838660999999995e+00,4.005226567999999970e+05
2.170517391999999823e+00,4.003394810999999754e+05
2.178883566000000105e+00,4.001587510999999940e+05
2.186946309000000088e+00,3.999880847000000067e+05
2.194713093999999920e+00,3.998130781999999890e+05
2.202193696999999784e+00,3.996534136999999755e+05
2.209396248000000007e+00,3.994967910999999731e+05
2.216329576999999773e+00,3.993589057000000030e+05
2.223001196999999429e+00,3.992223595000000205e+05
2.229420114999999925e+00,3.991015291999999899e+05
2.235594034999999646e+00,3.989823567000000039e+05
2.241531243999999923e+00,3.988834879000000074e+05
2.247238550999999696e+00,3.987853721999999834e+05
2.252724562000000041e+00,3.987027393000000156e+05
2.257996429999999499e+00,3.986228217999999761e+05
2.263061794999999599e+00,3.985618314000000246e+05
2.267927114999999993e+00,3.985023935000000056e+05
2.272600026999999745e+00,3.984591980999999796e+05
2.277087002999999665e+00,3.984188446000000113e+05
2.281394946999999895e+00,3.983991795000000275e+05
2.285529426999999725e+00,3.983819179000000004e+05
2.289497550999999742e+00,3.983817404000000097e+05
2.293305099999999985e+00,3.983860594000000274e+05
2.296958270999999829e+00,3.984107643999999855e+05
2.300462116999999918e+00,3.984397370000000228e+05
2.303822821999999437e+00,3.984874873999999836e+05
2.307045413999999628e+00,3.985411413000000175e+05
2.310135362000000026e+00,3.986182946000000229e+05
2.313096699999999561e+00,3.987012688000000198e+05
2.315935219999999628e+00,3.988060505000000121e+05
2.318655233999999954e+00,3.989198429999999935e+05
2.321261588999999681e+00,3.990566587000000291e+05
2.323757690999999959e+00,3.991957795000000042e+05
2.326148566999999723e+00,3.993614136999999755e+05
2.328437658999999549e+00,3.995320167999999830e+05
2.330629148999999956e+00,3.997596279000000213e+05
2.332724842999999826e+00,3.999345687000000034e+05
2.334729891999999918e+00,4.004898482000000076e+05
2.336646767999999597e+00,3.992530045999999857e+05
2.338479100999999893e+00,4.039344327000000048e+05
2.340227258999999727e+00,3.534381865000000107e+05
2.341895721999999846e+00,3.416891731000000145e+05
2.343484719000000105e+00,3.996420331000000006e+05
2.344996328999999768e+00,3.507351832000000286e+05
2.346423680000000012e+00,2.059489435999999987e+05
2.347773481999999579e+00,2.144363760999999940e+05
2.349040738999999878e+00,2.388008685000000114e+05
2.350222828999999791e+00,3.655578912000000128e+05
2.351294604999999649e+00,4.715148134999999893e+05
2.352250331999999666e+00,4.988861122999999789e+05
2.353051327999999831e+00,5.408189268000000156e+05
2.353485300999999641e+00,5.825292210999999661e+05
2.354039606999999812e+00,7.100276289000000106e+05
2.354624277000000099e+00,8.843132393999999622e+05
2.355250319999999675e+00,1.032610706000000006e+06
2.355933223999999715e+00,1.389941949999999953e+06
2.356672702000000008e+00,1.670778884000000078e+06
2.357464623999999898e+00,1.866054074999999953e+06
2.358306777999999770e+00,2.031506773999999976e+06
2.359197178999999700e+00,2.196781311000000220e+06
2.360135569999999738e+00,2.354102924999999814e+06
2.361119190999999784e+00,2.473542625000000000e+06
2.362147868999999734e+00,2.531440274999999907e+06
2.363220717999999998e+00,2.558035527999999933e+06
2.364338704999999763e+00,2.572195308999999892e+06
2.365500675999999469e+00,2.580515276000000071e+06
2.366707235999999881e+00,2.580978731999999844e+06
2.367958267999999755e+00,2.578963995000000112e+06
2.369254990999999588e+00,2.568833961999999825e+06
2.370596544999999722e+00,2.556904592000000179e+06
2.371983377999999920e+00,2.538816864000000060e+06
2.373415342999999567e+00,2.505382972000000067e+06
2.374893045999999508e+00,2.478310570999999996e+06
2.376415943999999669e+00,2.447217356999999844e+06
2.377984179999999892e+00,2.418330294000000227e+06
2.379597403999999639e+00,2.392511291000000201e+06
2.381255835000000154e+00,2.366100038000000175e+06
2.382958538999999654e+00,2.341228240000000224e+06
2.384705144000000221e+00,2.311174287000000011e+06
2.386494845999999725e+00,2.280368362999999896e+06
2.388327153999999730e+00,2.251313117999999784e+06
2.390200841999999604e+00,2.224381336999999825e+06
2.392114979999999669e+00,2.198534146999999881e+06
2.394068254999999645e+00,2.172545492999999784e+06
2.396059624999999915e+00,2.147985205999999773e+06
2.398087273999999880e+00,2.126995165000000037e+06
2.400149660999999934e+00,2.108983317999999970e+06
2.402244910999999927e+00,2.091436560999999987e+06
2.404371294999999797e+00,2.073590956000000006e+06
2.406526572999999836e+00,2.056689014999999898e+06
2.408708651999999617e+00,2.042157933999999892e+06
2.410915167999999831e+00,2.030474239000000060e+06
2.413143907999999893e+00,2.019356354999999981e+06
2.415392162999999925e+00,2.007644256999999983e+06
2.417657391999999739e+00,1.995570800999999978e+06
2.419936855999999636e+00,1.984347608000000007e+06
