x (mm),P (Pa)
424.32,2076.02
424.982,2076.02
425.645,2076.01
426.307,2076.01
426.97,2076
427.633,2075.99
428.295,2075.98
428.958,2075.97
429.62,2075.96
430.283,2075.95
430.946,2075.95
431.608,2075.94
432.271,2075.93
432.933,2075.92
433.596,2075.91
434.259,2075.9
434.921,2075.89
435.584,2075.88
436.246,2075.86
436.909,2075.85
437.571,2075.84
438.234,2075.83
438.897,2075.82
439.559,2075.8
440.222,2075.79
440.884,2075.77
441.547,2075.75
442.21,2075.73
442.872,2075.72
443.535,2075.7
444.197,2075.68
444.86,2075.66
445.523,2075.65
446.185,2075.63
446.848,2075.62
447.51,2075.6
448.173,2075.59
448.835,2075.57
449.498,2075.56
450.161,2075.54
450.823,2075.53
451.486,2075.52
452.148,2075.51
452.811,2075.49
453.474,2075.48
454.136,2075.46
454.799,2075.45
455.461,2075.44
456.124,2075.42
456.786,2075.41
457.449,2075.39
458.112,2075.37
458.774,2075.36
459.437,2075.34
460.099,2075.32
460.762,2075.31
461.425,2075.29
462.087,2075.27
462.75,2075.26
463.412,2075.24
464.075,2075.22
464.738,2075.21
465.4,2075.19
466.063,2075.17
466.725,2075.16
467.388,2075.14
468.05,2075.13
468.713,2075.12
469.376,2075.1
470.038,2075.09
470.701,2075.08
471.363,2075.07
472.026,2075.05
472.689,2075.04
473.351,2075.03
474.014,2075.02
474.676,2075
475.339,2074.99
476.001,2074.98
476.664,2074.96
477.327,2074.95
477.989,2074.94
478.652,2074.92
479.314,2074.9
479.977,2074.89
480.64,2074.87
481.302,2074.86
481.965,2074.84
482.627,2074.82
483.29,2074.8
483.953,2074.79
484.615,2074.77
485.278,2074.75
485.94,2074.74
486.603,2074.72
487.265,2074.7
487.928,2074.68
488.591,2074.67
489.253,2074.65
489.916,2074.63
490.578,2074.61
491.241,2074.6
491.904,2074.58
492.566,2074.57
493.229,2074.55
493.891,2074.54
494.554,2074.52
495.216,2074.5
495.879,2074.49
496.542,2074.47
497.204,2074.46
497.867,2074.44
498.529,2074.43
499.192,2074.41
499.855,2074.4
500.517,2074.38
501.18,2074.37
501.842,2074.35
502.505,2074.34
503.168,2074.32
503.83,2074.31
504.493,2074.3
505.155,2074.28
505.818,2074.27
506.48,2074.25
507.143,2074.24
507.806,2074.22
508.468,2074.21
509.131,2074.19
509.793,2074.18
510.456,2074.17
510.456,2074.17
511.119,2074.15
511.781,2074.14
512.444,2074.12
513.106,2074.11
513.769,2074.09
514.431,2074.08
515.094,2074.06
515.757,2074.05
516.419,2074.03
517.082,2074.02
517.744,2074
518.407,2073.99
519.07,2073.97
519.732,2073.96
520.395,2073.94
521.057,2073.93
521.72,2073.91
522.382,2073.9
523.045,2073.88
523.708,2073.87
524.37,2073.85
525.033,2073.84
525.695,2073.82
526.358,2073.81
527.021,2073.79
527.683,2073.78
528.346,2073.76
529.008,2073.75
529.671,2073.73
530.334,2073.72
530.996,2073.7
531.659,2073.69
532.321,2073.67
532.984,2073.66
533.646,2073.64
534.309,2073.63
534.972,2073.62
535.634,2073.6
536.297,2073.59
536.959,2073.57
537.622,2073.56
538.285,2073.54
538.947,2073.53
539.61,2073.51
540.272,2073.5
540.935,2073.48
541.598,2073.47
542.26,2073.45
542.923,2073.44
543.585,2073.42
544.248,2073.41
544.91,2073.4
545.573,2073.38
546.236,2073.37
546.898,2073.36
547.561,2073.34
548.223,2073.33
548.886,2073.32
549.549,2073.3
550.211,2073.29
550.874,2073.27
551.536,2073.26
552.199,2073.25
552.862,2073.23
553.524,2073.22
554.187,2073.21
554.849,2073.19
555.512,2073.18
556.174,2073.17
556.837,2073.15
557.5,2073.14
558.162,2073.12
558.825,2073.11
