x (mm),Q (W/m2)
395.829,104559
396.491,104531
397.154,104504
397.816,104477
398.479,104450
399.141,104423
399.804,104396
400.467,104369
401.129,104342
401.792,104315
402.454,104288
403.117,104261
403.78,104234
404.442,104207
405.105,104180
405.767,104153
406.43,104126
407.093,104099
407.755,104072
408.418,104046
409.08,104019
409.743,103993
410.405,103967
411.068,103941
411.731,103916
412.393,103890
413.056,103865
413.718,103839
414.381,103814
415.044,103789
415.706,103764
416.369,103738
417.031,103713
417.694,103688
418.356,103663
419.019,103637
419.682,103612
420.344,103587
421.007,103562
421.669,103537
422.332,103512
422.995,103486
423.657,103461
424.32,103436
424.982,103412
425.645,103387
426.307,103362
426.97,103337
427.633,103312
428.295,103288
428.958,103263
429.62,103239
430.283,103214
430.946,103189
431.608,103165
432.271,103140
432.933,103115
433.596,103091
434.259,103066
434.921,103041
435.584,103016
436.246,102992
436.909,102967
437.571,102943
438.234,102918
438.897,102894
439.559,102870
440.222,102845
440.884,102821
441.547,102797
442.21,102773
442.872,102749
443.535,102725
444.197,102702
444.86,102678
445.523,102653
446.185,102629
446.848,102605
447.51,102581
448.173,102557
448.835,102533
449.498,102509
450.161,102485
450.823,102461
451.486,102437
452.148,102413
452.811,102389
453.474,102366
454.136,102343
454.799,102319
455.461,102296
456.124,102273
456.786,102250
457.449,102227
458.112,102204
458.774,102181
459.437,102158
460.099,102135
460.762,102112
461.425,102089
462.087,102066
462.75,102043
463.412,102019
464.075,101996
464.738,101973
465.4,101950
466.063,101927
466.725,101904
467.388,101881
468.05,101858
468.713,101835
469.376,101812
470.038,101789
470.701,101767
471.363,101744
472.026,101722
472.689,101700
473.351,101677
474.014,101655
474.676,101633
475.339,101611
476.001,101589
476.664,101567
477.327,101545
477.989,101523
478.652,101501
479.314,101479
479.977,101457
480.64,101435
481.302,101413
481.965,101391
482.627,101369
483.29,101347
483.953,101325
484.615,101303
485.278,101281
485.94,101259
486.603,101237
487.265,101215
487.928,101193
488.591,101171
489.253,101149
489.916,101128
490.578,101106
491.241,101084
491.904,101062
492.566,101041
493.229,101019
493.891,100998
494.554,100976
495.216,100955
495.879,100934
496.542,100913
497.204,100891
497.867,100870
498.529,100849
499.192,100828
499.855,100807
500.517,100786
501.18,100765
501.842,100744
502.505,100724
503.168,100703
503.83,100682
504.493,100661
505.155,100640
505.818,100620
506.48,100599
507.143,100578
507.806,100558
508.468,100537
509.131,100516
509.793,100496
510.456,100475
510.456,100475
511.119,100455
511.781,100434
512.444,100414
513.106,100393
513.769,100373
514.431,100352
515.094,100332
515.757,100312
516.419,100291
517.082,100271
517.744,100251
518.407,100230
519.07,100210
519.732,100190
520.395,100170
521.057,100150
521.72,100130
522.382,100110
523.045,100089
523.708,100069
524.37,100049
525.033,100029
525.695,100010
526.358,99989.6
527.021,99969.7
527.683,99949.9
528.346,99930
529.008,99910.2
529.671,99890.4
530.334,99870.7
530.996,99851
531.659,99831.3
532.321,99811.6
532.984,99792
533.646,99772.3
534.309,99752.8
534.972,99733.2
535.634,99713.7
536.297,99694.2
536.959,99674.7
537.622,99655.3
538.285,99635.9
538.947,99616.5
539.61,99597.1
540.272,99577.8
540.935,99558.5
541.598,99539.2
542.26,99520
542.923,99500.8
543.585,99481.6
544.248,99462.4
544.91,99443.3
545.573,99424.2
546.236,99405.1
546.898,99386.1
547.561,99367.1
548.223,99348.1
548.886,99329.1
549.549,99310.2
550.211,99291.3
550.874,99272.4
551.536,99253.6
552.199,99234.8
552.862,99216
553.524,99197.2
554.187,99178.5
554.849,99159.8
555.512,99141.1
556.174,99122.4
556.837,99103.8
557.5,99085.2
558.162,99066.6
558.825,99048
559.487,99029.5
560.15,99011
560.813,98992.5
561.475,98974.1
562.138,98955.7
562.8,98937.3
563.463,98918.9
564.125,98900.6
564.788,98882.4
565.451,98864.1
566.113,98845.9
566.776,98827.8
567.438,98809.6
568.101,98791.5
568.764,98773.4
569.426,98755.4
570.089,98737.3
570.751,98719.3
571.414,98701.3
572.076,98683.4
572.739,98665.4
573.402,98647.4
574.064,98629.5
574.727,98611.5
575.389,98593.6
576.052,98575.7
576.715,98557.7
577.377,98539.8
578.04,98521.9
578.702,98504
579.365,98486.1
580.028,98468.2
580.69,98450.4
581.353,98432.5
582.015,98414.7
582.678,98396.9
583.34,98379.2
584.003,98361.4
584.666,98343.7
585.328,98326.1
585.991,98308.4
586.653,98290.9
587.316,98273.3
587.979,98255.8
588.641,98238.4
589.304,98220.9
589.966,98203.6
590.629,98186.2
591.291,98168.9
591.954,98151.7
592.617,98134.5
593.279,98117.3
593.942,98100.1
594.604,98083
595.267,98065.9
595.93,98048.8
596.592,98031.7
597.255,98014.6
597.917,97997.5
598.58,97980.5
599.243,97963.4
599.905,97946.3
600.568,97929.2
601.23,97912.1
601.893,97895
602.555,97878
603.218,97860.9
603.881,97843.8
604.543,97826.8
605.206,97809.8
605.868,97792.8
606.531,97775.9
607.194,97759
607.856,97742.1
608.519,97725.3
609.181,97708.6
609.844,97691.8
610.506,97675.1
611.169,97658.5
611.832,97641.9
612.494,97625.3
