x (mm),Q (W/m2)
476.52,9.92E+04
477.517,9.92E+04
478.514,9.92E+04
479.511,9.91E+04
480.508,9.91E+04
481.505,9.91E+04
482.502,9.90E+04
483.499,9.90E+04
484.495,9.90E+04
485.492,9.89E+04
486.489,9.89E+04
487.486,9.89E+04
488.483,9.88E+04
489.48,9.88E+04
490.477,9.88E+04
491.474,9.87E+04
492.471,9.87E+04
493.468,9.87E+04
494.464,9.86E+04
495.461,9.86E+04
496.458,9.86E+04
497.455,9.85E+04
498.452,9.85E+04
499.449,9.85E+04
500.446,9.84E+04
501.443,9.84E+04
502.44,9.84E+04
503.437,9.84E+04
504.434,9.83E+04
505.43,9.83E+04
506.427,9.83E+04
507.424,9.82E+04
508.421,9.82E+04
509.418,9.82E+04
510.415,9.81E+04
511.412,9.81E+04
512.409,9.81E+04
513.406,9.80E+04
514.403,9.80E+04
515.399,9.80E+04
516.396,9.80E+04
517.393,9.79E+04
518.39,9.79E+04
519.387,9.79E+04
520.384,9.78E+04
521.381,9.78E+04
522.378,9.78E+04
523.375,9.78E+04
524.372,9.77E+04
525.369,9.77E+04
526.365,9.77E+04
527.362,9.76E+04
528.359,9.76E+04
529.356,9.76E+04
530.353,9.76E+04
531.35,9.75E+04
532.347,9.75E+04
533.344,9.75E+04
534.341,9.74E+04
535.338,9.74E+04
536.334,9.74E+04
537.331,9.73E+04
538.328,9.73E+04
539.325,9.73E+04
540.322,9.73E+04
541.319,9.72E+04
542.316,9.72E+04
543.313,9.72E+04
544.31,9.72E+04
545.307,9.71E+04
546.303,9.71E+04
547.3,9.71E+04
548.297,9.70E+04
549.294,9.70E+04
550.291,9.70E+04
551.288,9.70E+04
552.285,9.69E+04
553.282,9.69E+04
554.279,9.69E+04
555.276,9.69E+04
556.273,9.68E+04
557.269,9.68E+04
558.266,9.68E+04
559.263,9.67E+04
560.26,9.67E+04
561.257,9.67E+04
562.254,9.67E+04
563.251,9.66E+04
564.248,9.66E+04
565.245,9.66E+04
566.242,9.66E+04
567.238,9.65E+04
568.235,9.65E+04
569.232,9.65E+04
570.229,9.65E+04
571.226,9.64E+04
572.223,9.64E+04
573.22,9.64E+04
574.217,9.63E+04
575.214,9.63E+04
576.211,9.63E+04
577.208,9.63E+04
578.204,9.62E+04
579.201,9.62E+04
580.198,9.62E+04
581.195,9.62E+04
582.192,9.61E+04
583.189,9.61E+04
584.186,9.61E+04
585.183,9.61E+04
586.18,9.60E+04
587.177,9.60E+04
588.173,9.60E+04
589.17,9.60E+04
590.167,9.59E+04
591.164,9.59E+04
592.161,9.59E+04
593.158,9.59E+04
594.155,9.58E+04
595.152,9.58E+04
596.149,9.58E+04
597.146,9.58E+04
598.143,9.57E+04
599.139,9.57E+04
600.136,9.57E+04
601.133,9.57E+04
602.13,9.56E+04
603.127,9.56E+04
604.124,9.56E+04
605.121,9.56E+04
606.118,9.55E+04
607.115,9.55E+04
608.112,9.55E+04
609.108,9.55E+04
610.105,9.54E+04
611.102,9.54E+04
612.099,9.54E+04
613.096,9.54E+04
614.093,9.54E+04
615.09,9.53E+04
616.087,9.53E+04
617.084,9.53E+04
618.081,9.53E+04
619.078,9.53E+04
620.074,9.52E+04
621.071,9.52E+04
622.068,9.52E+04
623.065,9.52E+04
624.062,9.52E+04
625.059,9.52E+04
626.056,9.52E+04
627.053,9.51E+04
628.05,9.51E+04
629.046,9.51E+04
630.043,9.51E+04
631.04,9.51E+04
632.037,9.51E+04
633.034,9.50E+04
634.031,9.50E+04
635.028,9.50E+04
636.025,9.50E+04
637.022,9.49E+04
638.019,9.49E+04
639.016,9.49E+04
640.012,9.49E+04
641.009,9.48E+04
642.006,9.48E+04
643.003,9.48E+04
644,9.48E+04
644.997,9.47E+04
645.994,9.47E+04
646.991,9.47E+04
647.988,9.46E+04
648.985,9.46E+04
649.981,9.46E+04
650.978,9.46E+04
651.975,9.45E+04
652.972,9.45E+04
653.969,9.45E+04
654.966,9.45E+04
655.963,9.44E+04
656.96,9.44E+04
657.957,9.44E+04
658.954,9.44E+04
659.951,9.43E+04
660.947,9.43E+04
661.944,9.43E+04
662.941,9.43E+04
663.938,9.42E+04
664.935,9.42E+04
665.932,9.42E+04
666.929,9.42E+04
667.926,9.42E+04
668.923,9.41E+04
669.92,9.41E+04
670.916,9.41E+04
671.913,9.41E+04
672.91,9.41E+04
673.907,9.40E+04
674.904,9.40E+04
675.901,9.40E+04
676.898,9.40E+04
677.895,9.39E+04
678.892,9.39E+04
679.889,9.39E+04
680.886,9.39E+04
681.882,9.39E+04
682.879,9.38E+04
683.876,9.38E+04
684.873,9.38E+04
685.87,9.38E+04
686.867,9.38E+04
687.864,9.37E+04
688.861,9.37E+04
689.858,9.37E+04
690.855,9.37E+04
691.851,9.37E+04
692.848,9.36E+04
693.845,9.36E+04
694.842,9.36E+04
695.839,9.36E+04
696.836,9.35E+04
697.833,9.35E+04
698.83,9.35E+04
699.827,9.35E+04
700.824,9.35E+04
701.821,9.34E+04
702.817,9.34E+04
703.814,9.34E+04
704.811,9.34E+04
705.808,9.34E+04
706.805,9.33E+04
707.802,9.33E+04
708.799,9.33E+04
709.796,9.33E+04
710.793,9.33E+04
711.79,9.32E+04
712.786,9.32E+04
713.783,9.32E+04
714.78,9.32E+04
715.777,9.32E+04
716.774,9.31E+04
717.771,9.31E+04
718.768,9.31E+04
719.765,9.31E+04
720.762,9.31E+04
721.759,9.30E+04
722.755,9.30E+04
723.752,9.30E+04
724.749,9.30E+04
725.746,9.30E+04
726.743,9.29E+04
727.74,9.29E+04
728.737,9.29E+04
729.734,9.29E+04
730.731,9.29E+04
731.728,9.28E+04
732.725,9.28E+04
733.721,9.28E+04
734.718,9.28E+04
735.715,9.28E+04
736.712,9.27E+04
737.709,9.27E+04
738.706,9.27E+04
739.703,9.27E+04
740.7,9.27E+04
741.697,9.27E+04
742.694,9.26E+04
743.69,9.26E+04
744.687,9.26E+04
745.684,9.26E+04
746.681,9.26E+04
747.678,9.25E+04
748.675,9.25E+04
749.672,9.25E+04
750.669,9.25E+04
751.666,9.25E+04
752.663,9.24E+04
753.66,9.24E+04
754.656,9.24E+04
755.653,9.24E+04
756.65,9.24E+04
757.647,9.24E+04
758.644,9.23E+04
759.641,9.23E+04
760.638,9.23E+04
761.635,9.23E+04
762.632,9.23E+04
763.629,9.22E+04
764.625,9.22E+04
765.622,9.22E+04
766.619,9.22E+04
767.616,9.22E+04
768.613,9.22E+04
769.61,9.21E+04
770.607,9.21E+04
771.604,9.21E+04
772.601,9.21E+04
773.598,9.21E+04
774.595,9.20E+04
775.591,9.20E+04
776.588,9.20E+04
777.585,9.20E+04
778.582,9.20E+04
779.579,9.20E+04
780.576,9.19E+04
781.573,9.19E+04
782.57,9.19E+04
783.567,9.19E+04
784.564,9.19E+04
785.56,9.19E+04
786.557,9.18E+04
787.554,9.18E+04
788.551,9.18E+04
789.548,9.18E+04
790.545,9.18E+04
791.542,9.17E+04
792.539,9.17E+04
793.536,9.17E+04
794.533,9.17E+04
795.53,9.17E+04
796.526,9.17E+04
797.523,9.16E+04
798.52,9.16E+04
799.517,9.16E+04
800.514,9.16E+04
801.511,9.16E+04
802.508,9.16E+04
803.505,9.15E+04
804.502,9.15E+04
805.499,9.15E+04
806.495,9.15E+04
807.492,9.15E+04
808.489,9.15E+04
809.486,9.14E+04
810.483,9.14E+04
811.48,9.14E+04
812.477,9.14E+04
813.474,9.14E+04
814.471,9.14E+04
815.468,9.13E+04
816.464,9.13E+04
817.461,9.13E+04
818.458,9.13E+04
819.455,9.13E+04
820.452,9.12E+04
821.449,9.12E+04
822.446,9.12E+04
823.443,9.12E+04
824.44,9.12E+04
825.437,9.12E+04
826.434,9.11E+04
827.43,9.11E+04
828.427,9.11E+04
829.424,9.11E+04
830.421,9.11E+04
831.418,9.11E+04
832.415,9.10E+04
833.412,9.10E+04
834.409,9.10E+04
835.406,9.10E+04
836.403,9.10E+04
837.399,9.09E+04
838.396,9.09E+04
839.393,9.09E+04
840.39,9.09E+04
841.387,9.09E+04
842.384,9.09E+04
843.381,9.08E+04
844.378,9.08E+04
845.375,9.08E+04
846.372,9.08E+04
847.369,9.08E+04
848.365,9.08E+04
849.362,9.07E+04
850.359,9.07E+04
851.356,9.07E+04
852.353,9.07E+04
853.35,9.07E+04
854.347,9.07E+04
855.344,9.06E+04
856.341,9.06E+04
857.338,9.06E+04
858.334,9.06E+04
859.331,9.06E+04
860.328,9.05E+04
861.325,9.05E+04
862.322,9.05E+04
863.319,9.05E+04
864.316,9.05E+04
865.313,9.05E+04
866.31,9.04E+04
867.307,9.04E+04
868.304,9.04E+04
869.3,9.04E+04
870.297,9.04E+04
871.294,9.04E+04
872.291,9.03E+04
873.288,9.03E+04
874.285,9.03E+04
875.282,9.03E+04
876.279,9.03E+04
877.276,9.03E+04
878.273,9.02E+04
879.269,9.02E+04
880.266,9.02E+04
881.263,9.02E+04
882.26,9.02E+04
883.257,9.02E+04
884.254,9.02E+04
885.251,9.01E+04
886.248,9.01E+04
887.245,9.01E+04
888.242,9.01E+04
889.239,9.01E+04
890.235,9.01E+04
891.232,9.00E+04
892.229,9.00E+04
893.226,9.00E+04
894.223,9.00E+04
895.22,9.00E+04
896.217,9.00E+04
897.214,8.99E+04
898.211,8.99E+04
899.208,8.99E+04
900.204,8.99E+04
901.201,8.99E+04
902.198,8.99E+04
903.195,8.98E+04
904.192,8.98E+04
905.189,8.98E+04
906.186,8.98E+04
907.183,8.98E+04
908.18,8.98E+04
909.177,8.97E+04
910.173,8.97E+04
911.17,8.97E+04
912.167,8.97E+04
913.164,8.97E+04
914.161,8.97E+04
915.158,8.97E+04
916.155,8.96E+04
917.152,8.96E+04
918.149,8.96E+04
919.146,8.96E+04
920.143,8.96E+04
921.139,8.96E+04
922.136,8.95E+04
923.133,8.95E+04
924.13,8.95E+04
925.127,8.95E+04
926.124,8.95E+04
927.121,8.95E+04
928.118,8.95E+04
929.115,8.94E+04
930.112,8.94E+04
931.108,8.94E+04
932.105,8.94E+04
933.102,8.94E+04
934.099,8.94E+04
935.096,8.93E+04
936.093,8.93E+04
937.09,8.93E+04
938.087,8.93E+04
939.084,8.93E+04
940.081,8.93E+04
941.078,8.93E+04
942.074,8.92E+04
943.071,8.92E+04
944.068,8.92E+04
945.065,8.92E+04
946.062,8.92E+04
947.059,8.92E+04
948.056,8.91E+04
949.053,8.91E+04
950.05,8.91E+04
951.047,8.91E+04
952.043,8.91E+04
953.04,8.91E+04
954.037,8.91E+04
955.034,8.90E+04
956.031,8.90E+04
957.028,8.90E+04
958.025,8.90E+04
959.022,8.90E+04
960.019,8.90E+04
961.016,8.90E+04
962.013,8.89E+04
963.009,8.89E+04
964.006,8.89E+04
965.003,8.89E+04
966,8.89E+04
966.997,8.89E+04
967.994,8.89E+04
968.991,8.88E+04
969.988,8.88E+04
970.985,8.88E+04
971.982,8.88E+04
972.978,8.88E+04
973.975,8.88E+04
974.972,8.88E+04
975.969,8.87E+04
976.966,8.87E+04
977.963,8.87E+04
978.96,8.87E+04
979.957,8.87E+04
980.954,8.87E+04
981.951,8.86E+04
982.948,8.86E+04
983.944,8.86E+04
984.941,8.86E+04
985.938,8.86E+04
986.935,8.86E+04
987.932,8.86E+04
988.929,8.85E+04
989.926,8.85E+04
990.923,8.85E+04
991.92,8.85E+04
992.917,8.85E+04
993.913,8.85E+04
994.91,8.85E+04
995.907,8.85E+04
996.904,8.84E+04
997.901,8.84E+04
998.898,8.84E+04
999.895,8.84E+04
1000.89,8.84E+04
1001.89,8.84E+04
1002.89,8.84E+04
1003.88,8.83E+04
1004.88,8.83E+04
1005.88,8.83E+04
1006.87,8.83E+04
1007.87,8.83E+04
1008.87,8.83E+04
1009.86,8.83E+04
1010.86,8.82E+04
1011.86,8.82E+04
1012.85,8.82E+04
1013.85,8.82E+04
1014.85,8.82E+04
1015.85,8.82E+04
1016.84,8.82E+04
1017.84,8.81E+04
1018.84,8.81E+04
1019.83,8.81E+04
1020.83,8.81E+04
1021.83,8.81E+04
1022.82,8.81E+04
1023.82,8.81E+04
1024.82,8.80E+04
1025.81,8.80E+04
1026.81,8.80E+04
1027.81,8.80E+04
1028.81,8.80E+04
1029.8,8.80E+04
1030.8,8.80E+04
1031.8,8.80E+04
1032.79,8.79E+04
1033.79,8.79E+04
1034.79,8.79E+04
1035.78,8.79E+04
1036.78,8.79E+04
1037.78,8.79E+04
1038.77,8.79E+04
1039.77,8.78E+04
1040.77,8.78E+04
1041.76,8.78E+04
1042.76,8.78E+04
1043.76,8.78E+04
1044.76,8.78E+04
1045.75,8.78E+04
1046.75,8.78E+04
1047.75,8.77E+04
1048.74,8.77E+04
1049.74,8.77E+04
1050.74,8.77E+04
1051.73,8.77E+04
1052.73,8.77E+04
1053.73,8.77E+04
1054.72,8.76E+04
1055.72,8.76E+04
1056.72,8.76E+04
1057.72,8.76E+04
1058.71,8.76E+04
1059.71,8.76E+04
1060.71,8.76E+04
1061.7,8.76E+04
1062.7,8.76E+04
1063.7,8.76E+04
1064.69,8.75E+04
1065.69,8.75E+04
1066.69,8.75E+04
1067.68,8.75E+04
1068.68,8.75E+04
1069.68,8.75E+04
1070.68,8.74E+04
1071.67,8.74E+04
1072.67,8.74E+04
1073.67,8.73E+04
1074.66,8.73E+04
1075.66,8.72E+04
1076.66,8.72E+04
1077.65,8.71E+04
1078.65,8.70E+04
1079.65,8.69E+04
1080.64,8.69E+04
1081.64,8.68E+04
1082.64,8.67E+04
1083.63,8.66E+04
1084.63,8.65E+04
1085.63,8.64E+04
1086.63,8.63E+04
1087.62,8.62E+04
1088.62,8.62E+04
1089.62,8.61E+04
1090.61,8.60E+04
1091.61,8.60E+04
1092.61,8.59E+04
1093.6,8.59E+04
1094.6,8.58E+04
1095.6,8.58E+04
1096.59,8.58E+04
1097.59,8.58E+04
1098.59,8.58E+04
1099.59,8.58E+04
1100.58,8.58E+04
1101.58,8.58E+04
1102.58,8.58E+04
1103.57,8.58E+04
1104.57,8.59E+04
1105.57,8.59E+04
1106.56,8.59E+04
1107.56,8.60E+04
1108.56,8.60E+04
1109.55,8.60E+04
1110.55,8.61E+04
1111.55,8.61E+04
1112.55,8.61E+04
1113.54,8.61E+04
1114.54,8.61E+04
1115.54,8.62E+04
1116.53,8.62E+04
1117.53,8.62E+04
1118.53,8.62E+04
1119.52,8.62E+04
1120.52,8.62E+04
1121.52,8.62E+04
1122.51,8.62E+04
1123.51,8.62E+04
1124.51,8.62E+04
1125.5,8.62E+04
1126.5,8.62E+04
1127.5,8.62E+04
1128.5,8.61E+04
1129.49,8.61E+04
1130.49,8.61E+04
1131.49,8.61E+04
1132.48,8.61E+04
1133.48,8.61E+04
1134.48,8.61E+04
1135.47,8.61E+04
1136.47,8.61E+04
1137.47,8.60E+04
1138.46,8.60E+04
1139.46,8.60E+04
1140.46,8.60E+04
1141.46,8.60E+04
1142.45,8.60E+04
1143.45,8.60E+04
1144.45,8.60E+04
1145.44,8.59E+04
1146.44,8.59E+04
1147.44,8.59E+04
1148.43,8.59E+04
1149.43,8.59E+04
1150.43,8.59E+04
1151.42,8.59E+04
1152.42,8.58E+04
1153.42,8.58E+04
1154.42,8.58E+04
1155.41,8.58E+04
1156.41,8.58E+04
1157.41,8.58E+04
1158.4,8.58E+04
1159.4,8.58E+04
1160.4,8.58E+04
1161.39,8.58E+04
1162.39,8.58E+04
1163.39,8.58E+04
1164.38,8.57E+04
1165.38,8.57E+04
1166.38,8.57E+04
1167.37,8.57E+04
1168.37,8.57E+04
1169.37,8.57E+04
1170.37,8.57E+04
1171.36,8.57E+04
1172.36,8.57E+04
1173.36,8.57E+04
1174.35,8.56E+04
1175.35,8.56E+04
1176.35,8.56E+04
1177.34,8.56E+04
1178.34,8.56E+04
1179.34,8.56E+04
1180.33,8.56E+04
1181.33,8.55E+04
1182.33,8.55E+04
1183.33,8.55E+04
1184.32,8.55E+04
1185.32,8.55E+04
1186.32,8.55E+04
1187.31,8.55E+04
1188.31,8.54E+04
1189.31,8.54E+04
1190.3,8.54E+04
1191.3,8.54E+04
1192.3,8.54E+04
1193.29,8.54E+04
1194.29,8.54E+04
1195.29,8.54E+04
1196.29,8.54E+04
1197.28,8.54E+04
1198.28,8.53E+04
1199.28,8.53E+04
1200.27,8.53E+04
1201.27,8.53E+04
1202.27,8.53E+04
1203.26,8.53E+04
1204.26,8.53E+04
1205.26,8.53E+04
1206.25,8.53E+04
1207.25,8.53E+04
1208.25,8.53E+04
1209.24,8.53E+04
1210.24,8.53E+04
1211.24,8.53E+04
1212.24,8.53E+04
1213.23,8.52E+04
1214.23,8.52E+04
1215.23,8.52E+04
1216.22,8.52E+04
1217.22,8.52E+04
1218.22,8.52E+04
1219.21,8.52E+04
1220.21,8.52E+04
1221.21,8.52E+04
1222.2,8.52E+04
1223.2,8.52E+04
1224.2,8.52E+04
1225.2,8.52E+04
1226.19,8.52E+04
1227.19,8.52E+04
1228.19,8.52E+04
1229.18,8.52E+04
1230.18,8.52E+04
1231.18,8.52E+04
1232.17,8.52E+04
1233.17,8.52E+04
1234.17,8.52E+04
