x (mm),P (Pa)
326.92,2087.15
327.582,2087.11
328.245,2087.07
328.907,2087.05
329.57,2087.02
330.233,2087
330.895,2086.97
331.558,2086.95
332.22,2086.92
332.883,2086.9
333.545,2086.88
334.208,2086.85
334.871,2086.82
335.533,2086.79
336.196,2086.76
336.858,2086.73
337.521,2086.7
338.184,2086.67
338.846,2086.64
339.509,2086.6
340.171,2086.57
340.834,2086.54
341.496,2086.51
342.159,2086.49
342.822,2086.47
343.484,2086.44
344.147,2086.41
344.809,2086.39
345.472,2086.36
346.135,2086.32
346.797,2086.3
347.46,2086.27
348.122,2086.24
348.785,2086.21
349.448,2086.19
350.11,2086.15
350.773,2086.12
351.435,2086.09
352.098,2086.06
352.76,2086.03
353.423,2086
354.086,2085.99
354.748,2085.96
355.411,2085.93
356.073,2085.9
356.736,2085.87
357.399,2085.84
358.061,2085.82
358.724,2085.8
359.386,2085.77
360.049,2085.74
360.711,2085.72
361.374,2085.69
362.037,2085.65
362.699,2085.63
363.362,2085.59
364.024,2085.56
364.687,2085.52
365.35,2085.5
366.012,2085.48
366.675,2085.45
367.337,2085.42
368,2085.38
368.663,2085.35
369.325,2085.32
369.988,2085.3
370.65,2085.27
371.313,2085.25
371.975,2085.23
372.638,2085.2
373.301,2085.18
373.963,2085.16
374.626,2085.13
375.288,2085.1
375.951,2085.08
376.614,2085.06
377.276,2085.04
377.939,2085.02
378.601,2085
379.264,2084.97
379.926,2084.93
380.589,2084.9
381.252,2084.88
381.914,2084.85
382.577,2084.82
383.239,2084.8
383.902,2084.77
384.565,2084.74
385.227,2084.72
385.89,2084.69
386.552,2084.66
387.215,2084.63
387.878,2084.61
388.54,2084.58
389.203,2084.56
389.865,2084.54
390.528,2084.52
391.19,2084.48
391.853,2084.44
392.516,2084.42
393.178,2084.39
393.841,2084.36
394.503,2084.34
395.166,2084.32
395.829,2084.29
396.491,2084.27
397.154,2084.24
397.816,2084.22
398.479,2084.19
399.141,2084.18
399.804,2084.15
400.467,2084.13
401.129,2084.11
401.792,2084.1
402.454,2084.07
403.117,2084.04
403.78,2084.01
404.442,2083.98
405.105,2083.96
405.767,2083.93
406.43,2083.91
407.093,2083.89
407.755,2083.87
408.418,2083.85
409.08,2083.83
409.743,2083.82
410.405,2083.81
411.068,2083.8
411.731,2083.79
412.393,2083.79
413.056,2083.79
413.718,2083.78
414.381,2083.79
415.044,2083.79
415.706,2083.78
416.369,2083.77
417.031,2083.77
417.694,2083.77
418.356,2083.76
419.019,2083.76
419.682,2083.75
420.344,2083.74
421.007,2083.73
421.669,2083.73
422.332,2083.72
422.995,2083.71
423.657,2083.7
424.32,2083.69
424.982,2083.68
425.645,2083.67
426.307,2083.67
426.97,2083.65
427.633,2083.63
428.295,2083.62
428.958,2083.6
429.62,2083.59
430.283,2083.58
430.946,2083.56
431.608,2083.54
432.271,2083.52
432.933,2083.51
433.596,2083.5
434.259,2083.48
434.921,2083.46
435.584,2083.44
436.246,2083.42
436.909,2083.41
437.571,2083.39
438.234,2083.37
438.897,2083.36
439.559,2083.34
440.222,2083.31
440.884,2083.29
441.547,2083.28
442.21,2083.26
442.872,2083.23
443.535,2083.21
444.197,2083.2
444.86,2083.18
445.523,2083.16
446.185,2083.15
446.848,2083.13
447.51,2083.11
448.173,2083.1
448.835,2083.08
449.498,2083.06
450.161,2083.05
450.823,2083.03
451.486,2083.01
452.148,2082.98
452.811,2082.96
453.474,2082.94
454.136,2082.92
454.799,2082.9
455.461,2082.88
456.124,2082.87
456.786,2082.85
457.449,2082.83
458.112,2082.82
458.774,2082.8
459.437,2082.78
460.099,2082.77
460.762,2082.75
461.425,2082.73
462.087,2082.73
462.75,2082.72
463.412,2082.69
464.075,2082.68
464.738,2082.66
465.4,2082.63
466.063,2082.61
466.725,2082.6
467.388,2082.58
468.05,2082.56
468.713,2082.54
469.376,2082.52
470.038,2082.49
470.701,2082.48
471.363,2082.45
472.026,2082.43
472.026,2082.43
472.689,2082.4
473.351,2082.4
474.014,2082.38
474.676,2082.36
475.339,2082.34
476.001,2082.32
476.664,2082.29
477.327,2082.28
477.989,2082.26
478.652,2082.25
479.314,2082.23
479.977,2082.22
480.64,2082.2
481.302,2082.18
481.965,2082.17
482.627,2082.15
483.29,2082.13
483.953,2082.11
484.615,2082.1
485.278,2082.09
485.94,2082.08
486.603,2082.07
487.265,2082.04
487.928,2082.01
488.591,2082
489.253,2081.98
489.916,2081.95
490.578,2081.93
491.241,2081.91
491.904,2081.89
492.566,2081.87
493.229,2081.85
493.891,2081.83
494.554,2081.81
495.216,2081.78
495.879,2081.77
496.542,2081.75
497.204,2081.73
497.867,2081.73
498.529,2081.71
499.192,2081.67
499.855,2081.65
500.517,2081.64
501.18,2081.62
501.842,2081.6
502.505,2081.58
503.168,2081.55
503.83,2081.54
504.493,2081.53
505.155,2081.5
505.818,2081.49
506.48,2081.47
507.143,2081.45
507.806,2081.43
508.468,2081.42
509.131,2081.4
509.793,2081.39
510.456,2081.38
511.119,2081.36
511.781,2081.34
512.444,2081.33
513.106,2081.3
513.769,2081.28
514.431,2081.26
515.094,2081.25
515.757,2081.23
516.419,2081.21
517.082,2081.2
517.744,2081.18
518.407,2081.16
519.07,2081.14
519.732,2081.13
520.395,2081.11
521.057,2081.09
521.72,2081.08
522.382,2081.07
523.045,2081.05
523.708,2081.04
524.37,2081.01
525.033,2080.99
525.695,2080.98
526.358,2080.95
527.021,2080.93
527.683,2080.91
528.346,2080.9
529.008,2080.88
529.671,2080.86
530.334,2080.84
530.996,2080.83
531.659,2080.81
532.321,2080.79
532.984,2080.78
533.646,2080.76
534.309,2080.75
534.972,2080.74
535.634,2080.71
536.297,2080.69
536.959,2080.68
537.622,2080.65
538.285,2080.63
538.947,2080.61
539.61,2080.6
540.272,2080.59
540.935,2080.56
541.598,2080.55
542.26,2080.54
542.923,2080.51
543.585,2080.5
544.248,2080.48
544.91,2080.46
545.573,2080.45
546.236,2080.45
546.898,2080.42
547.561,2080.4
548.223,2080.39
548.886,2080.36
549.549,2080.34
550.211,2080.32
550.874,2080.31
551.536,2080.3
552.199,2080.28
552.862,2080.26
553.524,2080.25
554.187,2080.22
554.849,2080.21
555.512,2080.2
556.174,2080.17
556.837,2080.16
557.5,2080.15
558.162,2080.14
558.825,2080.12
559.487,2080.11
560.15,2080.08
560.813,2080.06
561.475,2080.04
562.138,2080.03
562.8,2080.02
563.463,2080
564.125,2079.98
564.788,2079.97
565.451,2079.95
566.113,2079.94
566.776,2079.93
567.438,2079.91
568.101,2079.89
568.764,2079.88
569.426,2079.87
570.089,2079.86
570.751,2079.85
571.414,2079.82
572.076,2079.79
572.739,2079.77
573.402,2079.76
574.064,2079.75
574.727,2079.73
575.389,2079.71
576.052,2079.69
576.715,2079.67
577.377,2079.65
578.04,2079.64
578.702,2079.62
579.365,2079.6
580.028,2079.58
580.69,2079.56
581.353,2079.55
582.015,2079.55
582.678,2079.52
583.34,2079.49
584.003,2079.47
584.666,2079.46
585.328,2079.45
585.991,2079.43
586.653,2079.42
587.316,2079.41
587.979,2079.39
588.641,2079.37
589.304,2079.36
589.966,2079.34
590.629,2079.33
591.291,2079.32
591.954,2079.3
592.617,2079.29
593.279,2079.28
593.942,2079.26
594.604,2079.25
595.267,2079.23
595.93,2079.22
596.592,2079.2
597.255,2079.18
597.917,2079.17
598.58,2079.15
599.243,2079.13
599.905,2079.12
600.568,2079.1
601.23,2079.08
601.893,2079.06
602.555,2079.05
603.218,2079.03
603.881,2079.02
604.543,2079
605.206,2078.98
605.868,2078.96
606.531,2078.94
607.194,2078.93
607.856,2078.92
608.519,2078.9
609.181,2078.89
609.844,2078.88
610.506,2078.86
611.169,2078.85
611.832,2078.85
612.494,2078.84
613.157,2078.83
613.819,2078.81
614.482,2078.78
615.145,2078.77
615.807,2078.75
616.47,2078.73
617.132,2078.71
617.795,2078.69
618.458,2078.68
619.12,2078.67
619.783,2078.65
620.445,2078.64
621.108,2078.62
621.77,2078.6
622.433,2078.59
623.096,2078.58
623.758,2078.56
624.421,2078.55
625.083,2078.54
625.746,2078.52
626.409,2078.5
627.071,2078.49
627.734,2078.47
628.396,2078.45
629.059,2078.44
629.722,2078.43
630.384,2078.42
631.047,2078.4
631.709,2078.38
632.372,2078.37
633.034,2078.35
633.697,2078.34
634.36,2078.33
635.022,2078.31
635.685,2078.31
636.347,2078.31
637.01,2078.29
637.673,2078.27
638.335,2078.25
638.998,2078.23
639.66,2078.2
640.323,2078.19
640.985,2078.18
641.648,2078.17
642.311,2078.15
642.973,2078.13
643.636,2078.12
644.298,2078.1
644.961,2078.09
645.624,2078.08
646.286,2078.06
646.949,2078.04
647.611,2078.03
648.274,2078.02
648.937,2078
649.599,2077.99
650.262,2077.97
650.924,2077.95
651.587,2077.94
652.249,2077.93
652.912,2077.92
653.575,2077.9
654.237,2077.89
654.9,2077.88
655.562,2077.86
656.225,2077.85
656.888,2077.84
657.55,2077.81
658.213,2077.8
658.875,2077.79
659.538,2077.78
660.2,2077.79
660.863,2077.78
661.526,2077.75
662.188,2077.72
662.851,2077.7
663.513,2077.69
664.176,2077.68
664.839,2077.66
665.501,2077.65
666.164,2077.64
666.826,2077.62
667.489,2077.61
668.151,2077.6
668.814,2077.58
669.477,2077.57
670.139,2077.56
670.802,2077.54
671.464,2077.53
672.127,2077.52
672.79,2077.5
673.452,2077.48
674.115,2077.47
674.777,2077.46
675.44,2077.45
676.103,2077.43
676.765,2077.42
677.428,2077.41
678.09,2077.39
678.753,2077.38
679.415,2077.37
680.078,2077.35
680.741,2077.33
681.403,2077.32
682.066,2077.3
682.728,2077.29
683.391,2077.28
684.054,2077.27
684.716,2077.28
685.379,2077.27
686.041,2077.24
686.704,2077.21
687.366,2077.19
688.029,2077.18
688.692,2077.18
689.354,2077.16
690.017,2077.15
690.679,2077.14
691.342,2077.12
692.005,2077.1
692.667,2077.1
693.33,2077.08
693.992,2077.06
694.655,2077.05
695.318,2077.03
695.98,2077.02
696.643,2077.01
697.305,2076.99
697.968,2076.97
698.63,2076.96
699.293,2076.95
699.956,2076.94
700.618,2076.92
701.281,2076.91
701.943,2076.9
702.606,2076.89
703.269,2076.88
703.931,2076.87
704.594,2076.85
705.256,2076.84
705.919,2076.83
706.581,2076.81
707.244,2076.8
707.907,2076.8
708.569,2076.8
709.232,2076.79
709.894,2076.76
710.557,2076.74
711.22,2076.73
711.882,2076.72
712.545,2076.7
713.207,2076.69
713.87,2076.67
714.533,2076.66
715.195,2076.65
715.858,2076.63
716.52,2076.62
717.183,2076.61
717.845,2076.59
718.508,2076.58
719.171,2076.57
719.833,2076.54
720.496,2076.52
721.158,2076.51
721.821,2076.5
722.484,2076.49
723.146,2076.48
723.809,2076.47
724.471,2076.46
725.134,2076.44
725.797,2076.43
726.459,2076.42
727.122,2076.4
727.784,2076.39
728.447,2076.38
729.109,2076.37
729.772,2076.36
730.435,2076.35
731.097,2076.33
731.76,2076.32
732.422,2076.33
733.085,2076.32
733.748,2076.31
734.41,2076.28
735.073,2076.27
735.735,2076.26
736.398,2076.24
737.06,2076.24
737.723,2076.23
738.386,2076.21
739.048,2076.2
739.711,2076.19
740.373,2076.17
741.036,2076.16
741.699,2076.15
742.361,2076.14
743.024,2076.12
743.686,2076.1
744.349,2076.1
745.012,2076.09
745.674,2076.07
746.337,2076.06
746.999,2076.05
747.662,2076.03
748.324,2076.02
748.987,2076.01
749.65,2075.99
750.312,2075.98
750.975,2075.97
751.637,2075.95
752.3,2075.94
752.963,2075.93
753.625,2075.91
754.288,2075.89
754.95,2075.88
755.613,2075.88
756.275,2075.89
756.938,2075.87
757.601,2075.85
758.263,2075.83
758.926,2075.81
