x (mm),Q (W/m2)
208.979,1.08E+05
209.642,1.08E+05
210.304,1.08E+05
210.967,1.08E+05
211.63,1.08E+05
212.292,1.08E+05
212.955,1.08E+05
213.617,1.08E+05
214.28,1.08E+05
214.942,1.08E+05
215.605,1.08E+05
216.268,1.08E+05
216.93,1.08E+05
217.593,1.08E+05
218.255,1.08E+05
218.918,1.07E+05
219.581,1.07E+05
220.243,1.07E+05
220.906,1.07E+05
221.568,1.07E+05
222.231,1.07E+05
222.894,1.07E+05
223.556,1.07E+05
224.219,1.07E+05
224.881,1.07E+05
225.544,1.07E+05
226.206,1.07E+05
226.869,1.07E+05
227.532,1.07E+05
228.194,1.07E+05
228.857,1.07E+05
229.519,1.07E+05
230.182,1.07E+05
230.845,1.06E+05
231.507,1.06E+05
232.17,1.06E+05
232.832,1.06E+05
233.495,1.06E+05
234.158,1.06E+05
234.82,1.06E+05
235.483,1.06E+05
236.145,1.06E+05
236.808,1.06E+05
237.47,1.06E+05
238.133,1.06E+05
238.796,1.06E+05
239.458,1.06E+05
240.121,1.06E+05
240.783,1.06E+05
241.446,1.06E+05
242.109,1.06E+05
242.771,1.06E+05
243.434,1.06E+05
244.096,1.05E+05
244.759,1.05E+05
245.421,1.05E+05
246.084,1.05E+05
246.747,1.05E+05
247.409,1.05E+05
248.072,1.05E+05
248.734,1.05E+05
249.397,1.05E+05
250.06,1.05E+05
250.722,1.05E+05
251.385,1.05E+05
252.047,1.05E+05
252.71,1.05E+05
253.372,1.05E+05
254.035,1.05E+05
254.698,1.05E+05
255.36,1.05E+05
256.023,1.05E+05
256.685,1.05E+05
257.348,1.05E+05
258.011,1.04E+05
258.673,1.04E+05
259.336,1.04E+05
259.998,1.04E+05
260.661,1.04E+05
261.324,1.04E+05
261.986,1.04E+05
262.649,1.04E+05
263.311,1.04E+05
263.974,1.04E+05
264.636,1.04E+05
265.299,1.04E+05
265.962,1.04E+05
266.624,1.04E+05
267.287,1.04E+05
267.949,1.04E+05
268.612,1.04E+05
269.275,1.04E+05
269.937,1.04E+05
270.6,1.04E+05
271.262,1.04E+05
271.925,1.04E+05
272.588,1.03E+05
273.25,1.03E+05
273.913,1.03E+05
274.575,1.03E+05
275.238,1.03E+05
275.9,1.03E+05
276.563,1.03E+05
277.226,1.03E+05
277.888,1.03E+05
278.551,1.03E+05
279.213,1.03E+05
279.876,1.03E+05
280.539,1.03E+05
281.201,1.03E+05
281.864,1.03E+05
282.526,1.03E+05
283.189,1.03E+05
283.851,1.03E+05
284.514,1.03E+05
285.177,1.03E+05
285.839,1.03E+05
286.502,1.03E+05
287.164,1.03E+05
287.827,1.03E+05
288.49,1.03E+05
289.152,1.02E+05
289.815,1.02E+05
290.477,1.02E+05
291.14,1.02E+05
291.802,1.02E+05
292.465,1.02E+05
293.128,1.02E+05
293.79,1.02E+05
294.453,1.02E+05
295.115,1.02E+05
295.778,1.02E+05
296.441,1.02E+05
297.103,1.02E+05
297.766,1.02E+05
298.428,1.02E+05
299.091,1.02E+05
299.754,1.02E+05
300.416,1.02E+05
301.079,1.02E+05
301.741,1.02E+05
302.404,1.02E+05
303.066,1.02E+05
303.729,1.02E+05
304.392,1.02E+05
305.054,1.02E+05
305.717,1.02E+05
306.379,1.02E+05
307.042,1.01E+05
307.705,1.01E+05
308.367,1.01E+05
309.03,1.01E+05
309.692,1.01E+05
310.355,1.01E+05
311.018,1.01E+05
311.68,1.01E+05
312.343,1.01E+05
313.005,1.01E+05
313.668,1.01E+05
314.33,1.01E+05
314.993,1.01E+05
315.656,1.01E+05
316.318,1.01E+05
316.981,1.01E+05
317.643,1.01E+05
318.306,1.01E+05
318.969,1.01E+05
319.631,1.01E+05
320.294,1.01E+05
320.956,1.01E+05
321.619,1.01E+05
322.281,1.01E+05
322.944,1.01E+05
323.607,1.01E+05
324.269,1.01E+05
324.932,1.01E+05
325.594,1.01E+05
326.257,1.00E+05
326.92,1.00E+05
