x, heatflux
9.743012530000000337e-01,5.101645674999999756e+04
1.002440988000000033e+00,5.131143912999999884e+04
1.030898592000000002e+00,5.164584425000000192e+04
1.059650428000000089e+00,5.196956074000000081e+04
1.088670849999999968e+00,5.223019322000000102e+04
1.117934842000000151e+00,5.238614151000000129e+04
1.147414037000000109e+00,5.241905722999999853e+04
1.177080775999999940e+00,5.233630273999999918e+04
1.206905958999999973e+00,5.216842979999999807e+04
1.236860843999999959e+00,5.195867384000000311e+04
1.266914898000000012e+00,5.175083294000000024e+04
1.297038050999999914e+00,5.157711224999999831e+04
1.327199497000000061e+00,5.145236007999999856e+04
1.357368997000000022e+00,5.137416382999999769e+04
1.387515290999999928e+00,5.132882003000000259e+04
1.417607801000000167e+00,5.129934569999999803e+04
1.447615981000000218e+00,5.127295691000000079e+04
1.477509790000000045e+00,5.124347129000000132e+04
1.507259514999999883e+00,5.121138994000000093e+04
1.536836046999999983e+00,5.118157779999999912e+04
1.566211044999999968e+00,5.116220818999999756e+04
1.595356647999999877e+00,5.116120951000000059e+04
1.624246440000000069e+00,5.118376153000000340e+04
1.652854545999999925e+00,5.122936374999999680e+04
1.681156492000000169e+00,5.129311998999999923e+04
1.709128305999999986e+00,5.136764906000000337e+04
1.736748174000000144e+00,5.144709277000000293e+04
1.763994789000000063e+00,5.152847026000000187e+04
1.790848723999999947e+00,5.161296493999999802e+04
1.817290685999999988e+00,5.170384098999999696e+04
1.843304642000000104e+00,5.180563276999999653e+04
1.868874649000000110e+00,5.192159975999999733e+04
1.893986938000000064e+00,5.205339450000000215e+04
1.918627881000000146e+00,5.219971093999999721e+04
1.942787056000000012e+00,5.235740118000000075e+04
1.966454082000000048e+00,5.252134750999999960e+04
1.989620887000000060e+00,5.268653542000000016e+04
2.012278883000000018e+00,5.284748359999999957e+04
2.034423621999999821e+00,5.299991649999999936e+04
2.056050015999999481e+00,5.314027569999999832e+04
2.077155266999999750e+00,5.326676028999999835e+04
2.097736076999999977e+00,5.337782757999999740e+04
2.117792627999999677e+00,5.347314680999999837e+04
2.137324449999999487e+00,5.355242794000000140e+04
2.156333252999999672e+00,5.361691522999999870e+04
2.174819494999999936e+00,5.366695191999999952e+04
2.192787873999999526e+00,5.370352429000000120e+04
2.210241698999999560e+00,5.372742470999999932e+04
2.227186268000000080e+00,5.374054176000000007e+04
2.243625744999999672e+00,5.374360672999999952e+04
2.259567512999999916e+00,5.373807368000000133e+04
2.275017700999999892e+00,5.372461149999999907e+04
2.289984199999999692e+00,5.370575953000000300e+04
2.304473127999999704e+00,5.368185244999999850e+04
2.318494421000000028e+00,5.365410050000000047e+04
2.332056157999999879e+00,5.362298604999999952e+04
2.345167931999999844e+00,5.359066307000000234e+04
2.357837832999999605e+00,5.355689603000000352e+04
2.370076627999999630e+00,5.352295176999999967e+04
2.381893523999999651e+00,5.348841754000000219e+04
2.393299004000000174e+00,5.345592364999999700e+04
2.404301616999999780e+00,5.342425057999999990e+04
2.414913037999999901e+00,5.339439970999999787e+04
2.425142986000000001e+00,5.336557388000000356e+04
2.435002232999999627e+00,5.333997699999999895e+04
2.444499976999999991e+00,5.331590447000000131e+04
2.453647488999999737e+00,5.329463792000000103e+04
2.462454460999999650e+00,5.327463689999999769e+04
2.470931450999999779e+00,5.325882779999999912e+04
2.479087186999999748e+00,5.324472873999999865e+04
2.486932825999999874e+00,5.323363201000000117e+04
2.494477714999999929e+00,5.322389291999999841e+04
2.501731903000000035e+00,5.321812090999999782e+04
2.508703978999999862e+00,5.321380831999999646e+04
2.515404099999999588e+00,5.321255322000000160e+04
2.521840981999999620e+00,5.321236116999999649e+04
2.528023929000000170e+00,5.321648348000000260e+04
2.533960608999999753e+00,5.322196605000000272e+04
2.539660613000000122e+00,5.323046732999999949e+04
2.545131923999999657e+00,5.324007271999999648e+04
2.550383032999999688e+00,5.325363605999999709e+04
2.555421089999999840e+00,5.326847228999999788e+04
2.560254543999999743e+00,5.328647681000000011e+04
2.564890520000000063e+00,5.330557779000000301e+04
2.569336615999999740e+00,5.332909844999999768e+04
2.573598886999999724e+00,5.335412711999999738e+04
2.577685156999999894e+00,5.338258428999999887e+04
2.581601717999999934e+00,5.341252418000000034e+04
2.585355341000000085e+00,5.344690961999999854e+04
2.588951429999999831e+00,5.348309429999999702e+04
2.592396761999999910e+00,5.352337997999999789e+04
2.595696714999999877e+00,5.356558309000000008e+04
2.598857217999999580e+00,5.361337260999999853e+04
2.601882417999999753e+00,5.366374689999999828e+04
2.604778689999999841e+00,5.371917035999999644e+04
2.607550569999999901e+00,5.377759156000000075e+04
2.610203287999999677e+00,5.384214618999999948e+04
2.612740211999999840e+00,5.391196441000000050e+04
2.615166851000000126e+00,5.398174646999999823e+04
2.617486656999999717e+00,5.407761448999999993e+04
2.619704052999999977e+00,5.414745103999999992e+04
2.621820426999999842e+00,5.449273548999999912e+04
2.623841420999999841e+00,5.416412614999999641e+04
2.625769325999999459e+00,5.412447522000000026e+04
2.627607841999999749e+00,4.182363943000000290e+04
2.629356708999999626e+00,2.716187806999999884e+04
2.631020399999999704e+00,1.931149570999999924e+04
2.632598670999999779e+00,2.470030543000000034e+04
2.634093124999999702e+00,3.129575927999999840e+04
2.635500603000000108e+00,3.510148892999999953e+04
2.636822060999999717e+00,3.757475424999999814e+04
2.638054182999999941e+00,4.466137486000000354e+04
2.639194379999999729e+00,5.540092405000000144e+04
2.640248530999999677e+00,7.078372192999999970e+04
2.641213038000000068e+00,9.233796197999999276e+04
2.642261497999999875e+00,1.094107084999999934e+05
2.643005280999999762e+00,1.585173800000000047e+05
2.643598508000000180e+00,2.277997165000000095e+05
2.644179971000000240e+00,3.462726881000000285e+05
2.644785485999999963e+00,4.471183772999999928e+05
2.645451256999999501e+00,5.968409081999999471e+05
2.646177100999999698e+00,6.879981450000000186e+05
2.646967130000000168e+00,7.506591010000000242e+05
2.647821748999999780e+00,7.915432765999999829e+05
2.648741932000000077e+00,8.170277500000000000e+05
2.649727867999999820e+00,8.486931859000000404e+05
2.650779888000000195e+00,8.847985145000000484e+05
2.651899262999999785e+00,9.252098708999999799e+05
2.653086710000000181e+00,9.748339579000000376e+05
2.654344685999999953e+00,1.021960547000000020e+06
2.655673413999999788e+00,1.070910827000000048e+06
2.657075141999999612e+00,1.117993229999999981e+06
2.658551246000000035e+00,1.157719063000000082e+06
2.660104864999999652e+00,1.196574331999999937e+06
2.661736351999999695e+00,1.225159635000000009e+06
2.663447880999999740e+00,1.247585111999999965e+06
2.665240749999999714e+00,1.266290226999999955e+06
2.667117395999999641e+00,1.277742831999999937e+06
2.669078472999999896e+00,1.288532676999999909e+06
2.671125677999999670e+00,1.290486466999999946e+06
2.673259881999999976e+00,1.286329851999999955e+06
2.675482842000000083e+00,1.281234269000000088e+06
2.677794351000000184e+00,1.272039747999999905e+06
2.680195056000000076e+00,1.267107699999999953e+06
2.682684768999999747e+00,1.260546317000000039e+06
2.685263743999999786e+00,1.252964710999999894e+06
2.687930823999999941e+00,1.244538804999999935e+06
2.690685232999999510e+00,1.236014608000000007e+06
2.693525353000000067e+00,1.226913767999999924e+06
2.696449905000000147e+00,1.217750834999999963e+06
2.699456018999999873e+00,1.209326183999999892e+06
2.702541146000000172e+00,1.200732685999999987e+06
2.705701914999999680e+00,1.191675418999999994e+06
2.708935042999999876e+00,1.182847760000000009e+06
2.712236073999999775e+00,1.174863450999999885e+06
2.715600637999999734e+00,1.166559827000000048e+06
2.719023640999999714e+00,1.157638191000000108e+06
2.722500111000000000e+00,1.148465641999999993e+06
2.726023925999999875e+00,1.139817912999999942e+06
2.729589137999999693e+00,1.131159796000000089e+06
2.733189252999999930e+00,1.121730810999999987e+06
2.736817859999999492e+00,1.111709272000000114e+06
2.740467889000000046e+00,1.101341165999999968e+06
2.744132421999999849e+00,1.091177033999999985e+06
2.747804256999999861e+00,1.080382357000000076e+06
2.751476416000000036e+00,1.068744102999999886e+06
2.755141524999999980e+00,1.055973465000000084e+06
2.758792520000000081e+00,1.042629640000000014e+06
2.762422338999999560e+00,1.028879050999999978e+06
2.766024218000000090e+00,1.014734807000000030e+06
2.769591450000000066e+00,9.998679864000000525e+05
2.773117688999999775e+00,9.844348048000000417e+05
2.776596849000000145e+00,9.686100241000000387e+05
2.780023228000000124e+00,9.527458412000000244e+05
2.783391461999999539e+00,9.367472565000000177e+05
2.786696598999999885e+00,9.206606994999999879e+05
2.789934128000000069e+00,9.045398456999999471e+05
2.793099928999999815e+00,8.886268064000000013e+05
2.796190419999999843e+00,8.730634255999999586e+05
2.799202397999999814e+00,8.579701530000000494e+05
2.802133176999999531e+00,8.433690385000000242e+05
2.804980386999999631e+00,8.293101041999999434e+05
2.807742325999999622e+00,8.157654074000000255e+05
2.810417555999999983e+00,8.027834362999999430e+05
2.813005144999999541e+00,7.904394764999999898e+05
2.815504395000000049e+00,7.787764590999999782e+05
2.817915213999999668e+00,7.677928819000000367e+05
2.820237667999999864e+00,7.574358290999999736e+05
2.822472265999999674e+00,7.476747898000000278e+05
2.824619566999999609e+00,7.384872312999999849e+05
2.826680789000000082e+00,7.298118310000000056e+05
2.828657113999999417e+00,7.216176053000000538e+05
2.830550082999999439e+00,7.139121567000000505e+05
2.832361174999999953e+00,7.066988240000000224e+05
2.834092400999999928e+00,6.999593138999999501e+05
2.835745607999999862e+00,6.936677593000000343e+05
2.837322945999999568e+00,6.877992075999999652e+05
2.838826205999999797e+00,6.823766659999999683e+05
2.840258010999999971e+00,6.773130677999999607e+05
2.841620463999999568e+00,6.725701443000000436e+05
2.842915999999999777e+00,6.681301561999999685e+05
2.844146356999999625e+00,6.639150274000000209e+05
2.845314362999999958e+00,6.600848682999999728e+05
2.846421614999999683e+00,6.559515293000000529e+05
2.847470041999999868e+00,6.532800143999999855e+05
2.848457108999999932e+00,6.453914120999999577e+05
2.849389072000000134e+00,6.422756003000000492e+05
2.850262672999999580e+00,5.273075030000000261e+05
2.851073147999999780e+00,2.625855925000000279e+05
